,date,county,state,fips,cases,deaths,2021-03-21_Cases_Num,2021-03-21_Deaths_Num,diff_From_2021-03-21_Cases_Num,diff_From_2021-03-21_Deaths_Num
97075,2021-03-28,Accomack,Virginia,51001,2703,37,2686,37,17,0
97076,2021-03-28,Albemarle,Virginia,51003,5258,76,5161,76,97,0
97078,2021-03-28,Alleghany,Virginia,51005,1272,49,1263,48,9,1
97079,2021-03-28,Amelia,Virginia,51007,818,28,804,26,14,2
97080,2021-03-28,Amherst,Virginia,51009,2781,33,2759,33,22,0
97081,2021-03-28,Appomattox,Virginia,51011,1475,23,1458,23,17,0
97082,2021-03-28,Arlington,Virginia,51013,14126,245,13882,242,244,3
97083,2021-03-28,Augusta,Virginia,51015,5380,66,5330,66,50,0
97084,2021-03-28,Bath,Virginia,51017,251,10,248,10,3,0
97085,2021-03-28,Bedford,Virginia,51019,6048,97,5965,96,83,1
97086,2021-03-28,Bland,Virginia,51021,639,10,632,10,7,0
97087,2021-03-28,Botetourt,Virginia,51023,2398,34,2370,34,28,0
97089,2021-03-28,Brunswick,Virginia,51025,1252,20,1239,20,13,0
97090,2021-03-28,Buchanan,Virginia,51027,1355,36,1338,36,17,0
97091,2021-03-28,Buckingham,Virginia,51029,2063,28,2054,28,9,0
97093,2021-03-28,Campbell,Virginia,51031,4193,81,4165,81,28,0
97094,2021-03-28,Caroline,Virginia,51033,1984,31,1926,31,58,0
97095,2021-03-28,Carroll,Virginia,51035,2240,65,2199,65,41,0
97096,2021-03-28,Charles City,Virginia,51036,445,15,431,15,14,0
97097,2021-03-28,Charlotte,Virginia,51037,794,16,785,16,9,0
97100,2021-03-28,Chesterfield,Virginia,51041,25271,393,24849,385,422,8
97101,2021-03-28,Clarke,Virginia,51043,885,18,862,18,23,0
97104,2021-03-28,Craig,Virginia,51045,269,5,257,5,12,0
97105,2021-03-28,Culpeper,Virginia,51047,4258,56,4207,56,51,0
97106,2021-03-28,Cumberland,Virginia,51049,416,9,412,9,4,0
97108,2021-03-28,Dickenson,Virginia,51051,904,15,893,15,11,0
97109,2021-03-28,Dinwiddie,Virginia,51053,1963,42,1934,41,29,1
97111,2021-03-28,Essex,Virginia,51057,698,8,678,8,20,0
97112,2021-03-28,Fairfax,Virginia,51059,71049,1036,69859,1037,1190,-1
97115,2021-03-28,Fauquier,Virginia,51061,4234,61,4175,61,59,0
97116,2021-03-28,Floyd,Virginia,51063,790,20,774,20,16,0
97117,2021-03-28,Fluvanna,Virginia,51065,1565,17,1454,17,111,0
97118,2021-03-28,Franklin,Virginia,51067,3825,71,3799,71,26,0
97120,2021-03-28,Frederick,Virginia,51069,7193,94,7054,96,139,-2
97123,2021-03-28,Giles,Virginia,51071,1149,18,1133,17,16,1
97124,2021-03-28,Gloucester,Virginia,51073,2042,45,1998,45,44,0
97125,2021-03-28,Goochland,Virginia,51075,1306,21,1280,20,26,1
97126,2021-03-28,Grayson,Virginia,51077,1213,31,1180,31,33,0
97127,2021-03-28,Greene,Virginia,51079,1116,15,1073,15,43,0
97128,2021-03-28,Greensville,Virginia,51081,1514,24,1495,24,19,0
97129,2021-03-28,Halifax,Virginia,51083,2655,72,2620,72,35,0
97131,2021-03-28,Hanover,Virginia,51085,7247,147,7063,145,184,2
97133,2021-03-28,Henrico,Virginia,51087,22987,568,22506,565,481,3
97134,2021-03-28,Henry,Virginia,51089,4373,120,4306,120,67,0
97135,2021-03-28,Highland,Virginia,51091,106,1,99,1,7,0
97137,2021-03-28,Isle of Wight,Virginia,51093,2902,59,2819,58,83,1
97138,2021-03-28,James City,Virginia,51095,4239,69,4113,69,126,0
97141,2021-03-28,King and Queen,Virginia,51097,352,8,337,8,15,0
97139,2021-03-28,King George,Virginia,51099,1516,18,1484,17,32,1
97140,2021-03-28,King William,Virginia,51101,1066,10,1029,10,37,0
97142,2021-03-28,Lancaster,Virginia,51103,683,15,679,15,4,0
97143,2021-03-28,Lee,Virginia,51105,2357,45,2346,44,11,1
97145,2021-03-28,Loudoun,Virginia,51107,25089,268,24552,263,537,5
97146,2021-03-28,Louisa,Virginia,51109,1782,27,1749,27,33,0
97147,2021-03-28,Lunenburg,Virginia,51111,717,10,706,9,11,1
97149,2021-03-28,Madison,Virginia,51113,559,15,554,14,5,1
97153,2021-03-28,Mathews,Virginia,51115,575,12,565,12,10,0
97154,2021-03-28,Mecklenburg,Virginia,51117,2136,61,2104,61,32,0
97155,2021-03-28,Middlesex,Virginia,51119,552,18,543,18,9,0
97156,2021-03-28,Montgomery,Virginia,51121,8730,86,8585,86,145,0
97157,2021-03-28,Nelson,Virginia,51125,861,12,847,11,14,1
97158,2021-03-28,New Kent,Virginia,51127,1380,13,1330,13,50,0
97161,2021-03-28,Northampton,Virginia,51131,749,34,731,34,18,0
97162,2021-03-28,Northumberland,Virginia,51133,707,19,691,19,16,0
97164,2021-03-28,Nottoway,Virginia,51135,1859,44,1844,43,15,1
97165,2021-03-28,Orange,Virginia,51137,1991,35,1952,34,39,1
97166,2021-03-28,Page,Virginia,51139,1905,57,1881,57,24,0
97167,2021-03-28,Patrick,Virginia,51141,1278,41,1268,40,10,1
97169,2021-03-28,Pittsylvania,Virginia,51143,5281,75,5221,75,60,0
97172,2021-03-28,Powhatan,Virginia,51145,1767,11,1732,10,35,1
97173,2021-03-28,Prince Edward,Virginia,51147,2003,31,1997,31,6,0
97174,2021-03-28,Prince George,Virginia,51149,3212,23,3154,22,58,1
97175,2021-03-28,Prince William,Virginia,51153,41710,468,41016,469,694,-1
97176,2021-03-28,Pulaski,Virginia,51155,2444,60,2406,60,38,0
97178,2021-03-28,Rappahannock,Virginia,51157,319,2,315,2,4,0
97179,2021-03-28,Richmond,Virginia,51159,1427,12,1435,11,-8,1
97181,2021-03-28,Roanoke,Virginia,51161,7738,125,7636,125,102,0
97183,2021-03-28,Rockbridge,Virginia,51163,1445,44,1434,44,11,0
97184,2021-03-28,Rockingham,Virginia,51165,6327,103,6247,102,80,1
97185,2021-03-28,Russell,Virginia,51167,2145,35,2104,35,41,0
97187,2021-03-28,Scott,Virginia,51169,1680,50,1663,50,17,0
97188,2021-03-28,Shenandoah,Virginia,51171,3881,127,3849,127,32,0
97189,2021-03-28,Smyth,Virginia,51173,2604,89,2568,89,36,0
97190,2021-03-28,Southampton,Virginia,51175,1908,52,1884,52,24,0
97191,2021-03-28,Spotsylvania,Virginia,51177,8790,107,8623,107,167,0
97192,2021-03-28,Stafford,Virginia,51179,10093,68,9928,68,165,0
97195,2021-03-28,Surry,Virginia,51181,405,9,400,9,5,0
97196,2021-03-28,Sussex,Virginia,51183,1133,21,1120,20,13,1
97197,2021-03-28,Tazewell,Virginia,51185,3363,64,3329,64,34,0
97199,2021-03-28,Warren,Virginia,51187,2535,52,2447,51,88,1
97200,2021-03-28,Washington,Virginia,51191,4457,100,4407,100,50,0
97202,2021-03-28,Westmoreland,Virginia,51193,1184,22,1159,22,25,0
97205,2021-03-28,Wise,Virginia,51195,2972,93,2946,92,26,1
97206,2021-03-28,Wythe,Virginia,51197,2236,73,2172,73,64,0
97207,2021-03-28,York,Virginia,51199,3403,50,3326,50,77,0
97077,2021-03-28,Alexandria city,Virginia,51510,10894,128,10758,128,136,0
97088,2021-03-28,Bristol city,Virginia,51520,1267,31,1244,30,23,1
97092,2021-03-28,Buena Vista city,Virginia,51530,867,19,862,19,5,0
97098,2021-03-28,Charlottesville city,Virginia,51540,3814,53,3760,53,54,0
97099,2021-03-28,Chesapeake city,Virginia,51550,19395,270,19118,265,277,5
97102,2021-03-28,Colonial Heights city,Virginia,51570,1518,57,1479,57,39,0
97103,2021-03-28,Covington city,Virginia,51580,568,12,563,12,5,0
97107,2021-03-28,Danville city,Virginia,51590,4176,122,4132,122,44,0
97110,2021-03-28,Emporia city,Virginia,51595,651,42,643,41,8,1
97113,2021-03-28,Fairfax city,Virginia,51600,520,18,509,17,11,1
97114,2021-03-28,Falls Church city,Virginia,51610,388,10,373,10,15,0
97119,2021-03-28,Franklin city,Virginia,51620,1057,28,1037,28,20,0
97121,2021-03-28,Fredericksburg city,Virginia,51630,1868,22,1838,22,30,0
97122,2021-03-28,Galax city,Virginia,51640,1025,50,1013,50,12,0
97130,2021-03-28,Hampton city,Virginia,51650,9441,151,9213,146,228,5
97132,2021-03-28,Harrisonburg city,Virginia,51660,6141,95,6051,94,90,1
97136,2021-03-28,Hopewell city,Virginia,51670,2314,64,2273,64,41,0
97144,2021-03-28,Lexington city,Virginia,51678,1150,31,1146,31,4,0
97148,2021-03-28,Lynchburg city,Virginia,51680,7150,141,7032,144,118,-3
97151,2021-03-28,Manassas city,Virginia,51683,4152,45,4119,45,33,0
97150,2021-03-28,Manassas Park city,Virginia,51685,1167,12,1150,12,17,0
97152,2021-03-28,Martinsville city,Virginia,51690,1551,72,1530,71,21,1
97159,2021-03-28,Newport News city,Virginia,51700,12564,208,12279,202,285,6
97160,2021-03-28,Norfolk city,Virginia,51710,16018,235,15702,230,316,5
97163,2021-03-28,Norton city,Virginia,51720,248,6,247,6,1,0
97168,2021-03-28,Petersburg city,Virginia,51730,3487,76,3420,74,67,2
97170,2021-03-28,Poquoson city,Virginia,51735,794,16,775,16,19,0
97171,2021-03-28,Portsmouth city,Virginia,51740,8287,169,8141,162,146,7
97177,2021-03-28,Radford city,Virginia,51750,2003,18,1962,18,41,0
97180,2021-03-28,Richmond city,Virginia,51760,15623,242,15386,235,237,7
97182,2021-03-28,Roanoke city,Virginia,51770,7960,177,7861,177,99,0
97186,2021-03-28,Salem city,Virginia,51775,1983,44,1946,44,37,0
97193,2021-03-28,Staunton city,Virginia,51790,2526,66,2506,66,20,0
97194,2021-03-28,Suffolk city,Virginia,51800,7348,174,7215,173,133,1
97198,2021-03-28,Virginia Beach city,Virginia,51810,32971,359,32361,358,610,1
97201,2021-03-28,Waynesboro city,Virginia,51820,2241,34,2207,34,34,0
97203,2021-03-28,Williamsburg city,Virginia,51830,644,11,583,11,61,0
97204,2021-03-28,Winchester city,Virginia,51840,2645,41,2592,41,53,0
