,date,county,state,fips,cases,deaths,2021-03-21_Cases_Num,2021-03-21_Deaths_Num,diff_From_2021-03-21_Cases_Num,diff_From_2021-03-21_Deaths_Num
97208,2021-03-28,Adams,Washington,53001,1985,22,1956,22,29,0
97209,2021-03-28,Asotin,Washington,53003,1332,28,1320,28,12,0
97210,2021-03-28,Benton,Washington,53005,15606,210,15455,209,151,1
97211,2021-03-28,Chelan,Washington,53007,6451,64,6373,64,78,0
97212,2021-03-28,Clallam,Washington,53009,1023,8,1015,8,8,0
97213,2021-03-28,Clark,Washington,53011,20026,246,19710,243,316,3
97214,2021-03-28,Columbia,Washington,53013,117,5,116,4,1,1
97215,2021-03-28,Cowlitz,Washington,53015,4759,75,4622,72,137,3
97216,2021-03-28,Douglas,Washington,53017,3406,22,3358,22,48,0
97217,2021-03-28,Ferry,Washington,53019,222,4,215,4,7,0
97218,2021-03-28,Franklin,Washington,53021,11531,103,11443,103,88,0
97219,2021-03-28,Garfield,Washington,53023,120,5,119,5,1,0
97220,2021-03-28,Grant,Washington,53025,9305,114,9208,114,97,0
97221,2021-03-28,Grays Harbor,Washington,53027,3542,57,3493,55,49,2
97222,2021-03-28,Island,Washington,53029,1471,28,1453,28,18,0
97223,2021-03-28,Jefferson,Washington,53031,349,2,343,2,6,0
97224,2021-03-28,King,Washington,53033,89638,1460,87628,1451,2010,9
97225,2021-03-28,Kitsap,Washington,53035,6283,91,6148,89,135,2
97226,2021-03-28,Kittitas,Washington,53037,2490,30,2431,30,59,0
97227,2021-03-28,Klickitat,Washington,53039,677,9,676,9,1,0
97228,2021-03-28,Lewis,Washington,53041,3913,52,3868,50,45,2
97229,2021-03-28,Lincoln,Washington,53043,351,6,348,6,3,0
97230,2021-03-28,Mason,Washington,53045,2426,27,2396,26,30,1
97231,2021-03-28,Okanogan,Washington,53047,2272,36,2236,36,36,0
97232,2021-03-28,Pacific,Washington,53049,782,10,777,10,5,0
97233,2021-03-28,Pend Oreille,Washington,53051,671,7,657,7,14,0
97234,2021-03-28,Pierce,Washington,53053,41940,603,40825,597,1115,6
97235,2021-03-28,San Juan,Washington,53055,127,0,122,0,5,0
97236,2021-03-28,Skagit,Washington,53057,4707,63,4644,63,63,0
97237,2021-03-28,Skamania,Washington,53059,263,1,257,1,6,0
97238,2021-03-28,Snohomish,Washington,53061,32426,558,31962,552,464,6
97239,2021-03-28,Spokane,Washington,53063,38943,608,38486,585,457,23
97240,2021-03-28,Stevens,Washington,53065,1747,26,1714,25,33,1
97241,2021-03-28,Thurston,Washington,53067,7766,83,7585,81,181,2
97242,2021-03-28,Wahkiakum,Washington,53069,101,0,101,0,0,0
97243,2021-03-28,Walla Walla,Washington,53071,4837,64,4824,64,13,0
97244,2021-03-28,Whatcom,Washington,53073,7447,87,7278,86,169,1
97245,2021-03-28,Whitman,Washington,53075,3779,46,3708,46,71,0
97246,2021-03-28,Yakima,Washington,53077,28828,428,28550,427,278,1
