,date,county,state,fips,cases,deaths,2021-03-21_Cases_Num,2021-03-21_Deaths_Num,diff_From_2021-03-21_Cases_Num,diff_From_2021-03-21_Deaths_Num
97302,2021-03-28,Adams,Wisconsin,55001,1788,15,1773,15,15,0
97303,2021-03-28,Ashland,Wisconsin,55003,1273,16,1264,16,9,0
97304,2021-03-28,Barron,Wisconsin,55005,5668,76,5652,76,16,0
97305,2021-03-28,Bayfield,Wisconsin,55007,1168,19,1157,19,11,0
97306,2021-03-28,Brown,Wisconsin,55009,33688,269,33456,261,232,8
97307,2021-03-28,Buffalo,Wisconsin,55011,1359,7,1357,7,2,0
97308,2021-03-28,Burnett,Wisconsin,55013,1366,22,1364,23,2,-1
97309,2021-03-28,Calumet,Wisconsin,55015,6195,50,6142,50,53,0
97310,2021-03-28,Chippewa,Wisconsin,55017,7360,95,7335,95,25,0
97311,2021-03-28,Clark,Wisconsin,55019,3559,62,3554,62,5,0
97312,2021-03-28,Columbia,Wisconsin,55021,5550,68,5518,67,32,1
97313,2021-03-28,Crawford,Wisconsin,55023,1731,17,1724,17,7,0
97314,2021-03-28,Dane,Wisconsin,55025,43436,311,43124,311,312,0
97315,2021-03-28,Dodge,Wisconsin,55027,12397,182,12342,182,55,0
97316,2021-03-28,Door,Wisconsin,55029,2721,26,2677,26,44,0
97317,2021-03-28,Douglas,Wisconsin,55031,4392,46,4317,45,75,1
97318,2021-03-28,Dunn,Wisconsin,55033,4735,30,4681,30,54,0
97319,2021-03-28,Eau Claire,Wisconsin,55035,11559,116,11496,116,63,0
97320,2021-03-28,Florence,Wisconsin,55037,480,12,474,12,6,0
97321,2021-03-28,Fond du Lac,Wisconsin,55039,13259,111,13205,109,54,2
97322,2021-03-28,Forest,Wisconsin,55041,1006,26,1006,26,0,0
97323,2021-03-28,Grant,Wisconsin,55043,5435,88,5410,88,25,0
97324,2021-03-28,Green,Wisconsin,55045,3456,22,3387,22,69,0
97325,2021-03-28,Green Lake,Wisconsin,55047,1968,21,1959,21,9,0
97326,2021-03-28,Iowa,Wisconsin,55049,2036,11,2023,11,13,0
97327,2021-03-28,Iron,Wisconsin,55051,683,40,677,40,6,0
97328,2021-03-28,Jackson,Wisconsin,55053,2638,28,2633,27,5,1
97329,2021-03-28,Jefferson,Wisconsin,55055,9110,126,9006,126,104,0
97330,2021-03-28,Juneau,Wisconsin,55057,3147,22,3140,22,7,0
97331,2021-03-28,Kenosha,Wisconsin,55059,17427,318,17322,319,105,-1
97332,2021-03-28,Kewaunee,Wisconsin,55061,2608,30,2602,30,6,0
97333,2021-03-28,La Crosse,Wisconsin,55063,13164,80,13098,80,66,0
97334,2021-03-28,Lafayette,Wisconsin,55065,1649,7,1640,7,9,0
97335,2021-03-28,Langlade,Wisconsin,55067,2103,45,2100,44,3,1
97336,2021-03-28,Lincoln,Wisconsin,55069,3145,78,3131,78,14,0
97337,2021-03-28,Manitowoc,Wisconsin,55071,8513,86,8473,84,40,2
97338,2021-03-28,Marathon,Wisconsin,55073,15308,218,15258,217,50,1
97339,2021-03-28,Marinette,Wisconsin,55075,4410,68,4394,68,16,0
97340,2021-03-28,Marquette,Wisconsin,55077,1506,27,1503,27,3,0
