,date,county,state,fips,cases,deaths
90896,2021-03-25,Autauga,Alabama,01001,6540,99
90897,2021-03-25,Baldwin,Alabama,01003,20417,300
90898,2021-03-25,Barbour,Alabama,01005,2218,54
90899,2021-03-25,Bibb,Alabama,01007,2534,58
90900,2021-03-25,Blount,Alabama,01009,6408,131
90901,2021-03-25,Bullock,Alabama,01011,1200,39
90902,2021-03-25,Butler,Alabama,01013,2082,66
90903,2021-03-25,Calhoun,Alabama,01015,14188,304
90904,2021-03-25,Chambers,Alabama,01017,3478,116
90905,2021-03-25,Cherokee,Alabama,01019,1798,43
90906,2021-03-25,Chilton,Alabama,01021,4014,109
90907,2021-03-25,Choctaw,Alabama,01023,583,24
90908,2021-03-25,Clarke,Alabama,01025,3467,58
90909,2021-03-25,Clay,Alabama,01027,1480,54
90910,2021-03-25,Cleburne,Alabama,01029,1447,41
90911,2021-03-25,Coffee,Alabama,01031,5368,107
90912,2021-03-25,Colbert,Alabama,01033,6150,125
90913,2021-03-25,Conecuh,Alabama,01035,1086,26
90914,2021-03-25,Coosa,Alabama,01037,942,24
90915,2021-03-25,Covington,Alabama,01039,4033,111
90916,2021-03-25,Crenshaw,Alabama,01041,1494,57
90917,2021-03-25,Cullman,Alabama,01043,9335,186
90918,2021-03-25,Dale,Alabama,01045,4741,109
90919,2021-03-25,Dallas,Alabama,01047,3509,147
90920,2021-03-25,DeKalb,Alabama,01049,8684,179
90921,2021-03-25,Elmore,Alabama,01051,9878,201
90922,2021-03-25,Escambia,Alabama,01053,3850,74
90923,2021-03-25,Etowah,Alabama,01055,13629,342
90924,2021-03-25,Fayette,Alabama,01057,2060,59
90925,2021-03-25,Franklin,Alabama,01059,4183,82
90926,2021-03-25,Geneva,Alabama,01061,2440,73
90927,2021-03-25,Greene,Alabama,01063,901,33
90928,2021-03-25,Hale,Alabama,01065,2156,72
90929,2021-03-25,Henry,Alabama,01067,1863,42
90930,2021-03-25,Houston,Alabama,01069,10280,269
90931,2021-03-25,Jackson,Alabama,01071,6711,106
90932,2021-03-25,Jefferson,Alabama,01073,74348,1455
90933,2021-03-25,Lamar,Alabama,01075,1378,33
90934,2021-03-25,Lauderdale,Alabama,01077,9070,218
90935,2021-03-25,Lawrence,Alabama,01079,2912,93
90936,2021-03-25,Lee,Alabama,01081,15355,166
90937,2021-03-25,Limestone,Alabama,01083,9699,145
90938,2021-03-25,Lowndes,Alabama,01085,1358,53
90939,2021-03-25,Macon,Alabama,01087,1527,47
90940,2021-03-25,Madison,Alabama,01089,33362,487
90941,2021-03-25,Marengo,Alabama,01091,2492,59
90942,2021-03-25,Marion,Alabama,01093,3046,99
90943,2021-03-25,Marshall,Alabama,01095,11828,216
90944,2021-03-25,Mobile,Alabama,01097,37395,785
90945,2021-03-25,Monroe,Alabama,01099,1699,39
90946,2021-03-25,Montgomery,Alabama,01101,23526,546
90947,2021-03-25,Morgan,Alabama,01103,14105,263
90948,2021-03-25,Perry,Alabama,01105,1077,27
90949,2021-03-25,Pickens,Alabama,01107,2319,57
90950,2021-03-25,Pike,Alabama,01109,3014,74
90951,2021-03-25,Randolph,Alabama,01111,1736,41
90952,2021-03-25,Russell,Alabama,01113,4201,35
90954,2021-03-25,St. Clair,Alabama,01115,9308,232
90953,2021-03-25,Shelby,Alabama,01117,22906,232
90955,2021-03-25,Sumter,Alabama,01119,1024,32
90956,2021-03-25,Talladega,Alabama,01121,7915,167
90957,2021-03-25,Tallapoosa,Alabama,01123,3841,143
90958,2021-03-25,Tuscaloosa,Alabama,01125,24931,434
90959,2021-03-25,Walker,Alabama,01127,7029,272
90960,2021-03-25,Washington,Alabama,01129,1637,38
90961,2021-03-25,Wilcox,Alabama,01131,1247,25
90962,2021-03-25,Winston,Alabama,01133,2706,71
