,date,county,state,fips,cases,yest,diff
84473,2021-03-25,Aleutians East Borough,Alaska,02013,363,363,0
84474,2021-03-25,Aleutians West Census Area,Alaska,02016,648,647,1
84475,2021-03-25,Anchorage,Alaska,02020,27858,27780,78
84476,2021-03-25,Bethel Census Area,Alaska,02050,3749,3749,0
84478,2021-03-25,Denali Borough,Alaska,02068,81,80,1
84479,2021-03-25,Dillingham Census Area,Alaska,02070,207,207,0
84480,2021-03-25,Fairbanks North Star Borough,Alaska,02090,6487,6474,13
84481,2021-03-25,Haines Borough,Alaska,02100,26,26,0
84482,2021-03-25,Juneau City and Borough,Alaska,02110,1257,1257,0
84483,2021-03-25,Kenai Peninsula Borough,Alaska,02122,4068,4061,7
84484,2021-03-25,Ketchikan Gateway Borough,Alaska,02130,372,372,0
84485,2021-03-25,Kodiak Island Borough,Alaska,02150,1063,1062,1
84486,2021-03-25,Kusilvak Census Area,Alaska,02158,1218,1218,0
84487,2021-03-25,Matanuska-Susitna Borough,Alaska,02170,9625,9590,35
84488,2021-03-25,Nome Census Area,Alaska,02180,335,334,1
84489,2021-03-25,North Slope Borough,Alaska,02185,1030,1030,0
84490,2021-03-25,Northwest Arctic Borough,Alaska,02188,596,596,0
84491,2021-03-25,Petersburg Borough,Alaska,02195,145,145,0
84492,2021-03-25,Prince of Wales-Hyder Census Area,Alaska,02198,77,77,0
84493,2021-03-25,Sitka City and Borough,Alaska,02220,317,316,1
84494,2021-03-25,Skagway Municipality,Alaska,02230,19,19,0
84495,2021-03-25,Southeast Fairbanks Census Area,Alaska,02240,590,584,6
84497,2021-03-25,Valdez-Cordova Census Area,Alaska,02261,533,532,1
84498,2021-03-25,Wrangell City and Borough,Alaska,02275,30,30,0
84500,2021-03-25,Yukon-Koyukuk Census Area,Alaska,02290,345,345,0
84477,2021-03-25,Bristol Bay plus Lake and Peninsula,Alaska,02997,184,184,0
84499,2021-03-25,Yakutat plus Hoonah-Angoon,Alaska,02998,69,69,0
84496,2021-03-25,Unknown,Alaska,,266,264,2
