,date,county,state,fips,cases,deaths
90991,2021-03-25,Apache,Arizona,04001,10785,413
90992,2021-03-25,Cochise,Arizona,04003,11563,277
90993,2021-03-25,Coconino,Arizona,04005,16978,324
90994,2021-03-25,Gila,Arizona,04007,6510,219
90995,2021-03-25,Graham,Arizona,04009,5355,76
90996,2021-03-25,Greenlee,Arizona,04011,563,10
90997,2021-03-25,La Paz,Arizona,04012,2440,74
90998,2021-03-25,Maricopa,Arizona,04013,522285,9619
90999,2021-03-25,Mohave,Arizona,04015,22003,680
91000,2021-03-25,Navajo,Arizona,04017,15627,520
91001,2021-03-25,Pima,Arizona,04019,112045,2339
91002,2021-03-25,Pinal,Arizona,04021,49087,844
91003,2021-03-25,Santa Cruz,Arizona,04023,7776,173
91004,2021-03-25,Yavapai,Arizona,04025,18291,489
91005,2021-03-25,Yuma,Arizona,04027,36679,817
