,0,1,2,3,4,5
94251,2021-03-25,Arkansas,Arkansas,05001,2068,36
94252,2021-03-25,Ashley,Arkansas,05003,1884,33
94253,2021-03-25,Baxter,Arkansas,05005,3050,99
94254,2021-03-25,Benton,Arkansas,05007,28030,399
94255,2021-03-25,Boone,Arkansas,05009,3730,78
94256,2021-03-25,Bradley,Arkansas,05011,1346,32
94257,2021-03-25,Calhoun,Arkansas,05013,409,3
94258,2021-03-25,Carroll,Arkansas,05015,2742,44
94259,2021-03-25,Chicot,Arkansas,05017,1609,38
94260,2021-03-25,Clark,Arkansas,05019,2076,40
94261,2021-03-25,Clay,Arkansas,05021,1720,49
94262,2021-03-25,Cleburne,Arkansas,05023,1937,71
94263,2021-03-25,Cleveland,Arkansas,05025,937,25
94264,2021-03-25,Columbia,Arkansas,05027,2313,55
94265,2021-03-25,Conway,Arkansas,05029,2183,32
94266,2021-03-25,Craighead,Arkansas,05031,13043,173
94267,2021-03-25,Crawford,Arkansas,05033,6952,115
94268,2021-03-25,Crittenden,Arkansas,05035,5849,95
94269,2021-03-25,Cross,Arkansas,05037,1916,49
94270,2021-03-25,Dallas,Arkansas,05039,756,15
94271,2021-03-25,Desha,Arkansas,05041,1355,24
94272,2021-03-25,Drew,Arkansas,05043,1979,39
94273,2021-03-25,Faulkner,Arkansas,05045,12136,156
94274,2021-03-25,Franklin,Arkansas,05047,1668,39
94275,2021-03-25,Fulton,Arkansas,05049,1098,47
94276,2021-03-25,Garland,Arkansas,05051,10015,251
94277,2021-03-25,Grant,Arkansas,05053,1627,32
94278,2021-03-25,Greene,Arkansas,05055,5992,74
94279,2021-03-25,Hempstead,Arkansas,05057,1969,18
94280,2021-03-25,Hot Spring,Arkansas,05059,4974,69
94281,2021-03-25,Howard,Arkansas,05061,1636,24
94282,2021-03-25,Independence,Arkansas,05063,3708,120
94283,2021-03-25,Izard,Arkansas,05065,1654,41
94284,2021-03-25,Jackson,Arkansas,05067,3201,38
94285,2021-03-25,Jefferson,Arkansas,05069,8721,161
94286,2021-03-25,Johnson,Arkansas,05071,2869,36
94287,2021-03-25,Lafayette,Arkansas,05073,541,9
94288,2021-03-25,Lawrence,Arkansas,05075,2064,42
94289,2021-03-25,Lee,Arkansas,05077,1655,34
94290,2021-03-25,Lincoln,Arkansas,05079,3175,48
94291,2021-03-25,Little River,Arkansas,05081,1215,40
94292,2021-03-25,Logan,Arkansas,05083,2206,21
94293,2021-03-25,Lonoke,Arkansas,05085,7026,114
94294,2021-03-25,Madison,Arkansas,05087,1436,22
94295,2021-03-25,Marion,Arkansas,05089,1024,30
94296,2021-03-25,Miller,Arkansas,05091,4182,36
94297,2021-03-25,Mississippi,Arkansas,05093,5735,106
94298,2021-03-25,Monroe,Arkansas,05095,859,16
94299,2021-03-25,Montgomery,Arkansas,05097,750,31
94300,2021-03-25,Nevada,Arkansas,05099,817,24
94301,2021-03-25,Newton,Arkansas,05101,704,26
94302,2021-03-25,Ouachita,Arkansas,05103,2285,60
94303,2021-03-25,Perry,Arkansas,05105,820,10
94304,2021-03-25,Phillips,Arkansas,05107,1734,37
94305,2021-03-25,Pike,Arkansas,05109,997,22
94306,2021-03-25,Poinsett,Arkansas,05111,3109,76
94307,2021-03-25,Polk,Arkansas,05113,1957,69
94308,2021-03-25,Pope,Arkansas,05115,7836,104
94309,2021-03-25,Prairie,Arkansas,05117,887,20
94310,2021-03-25,Pulaski,Arkansas,05119,38192,613
94311,2021-03-25,Randolph,Arkansas,05121,2049,47
94318,2021-03-25,St. Francis,Arkansas,05123,3498,41
94312,2021-03-25,Saline,Arkansas,05125,11690,162
94313,2021-03-25,Scott,Arkansas,05127,927,14
94314,2021-03-25,Searcy,Arkansas,05129,668,16
94315,2021-03-25,Sebastian,Arkansas,05131,14996,270
94316,2021-03-25,Sevier,Arkansas,05133,2775,24
94317,2021-03-25,Sharp,Arkansas,05135,1546,45
94319,2021-03-25,Stone,Arkansas,05137,982,29
94320,2021-03-25,Union,Arkansas,05139,3909,108
94322,2021-03-25,Van Buren,Arkansas,05141,1238,21
94323,2021-03-25,Washington,Arkansas,05143,30111,343
94324,2021-03-25,White,Arkansas,05145,7777,115
94325,2021-03-25,Woodruff,Arkansas,05147,632,12
94326,2021-03-25,Yell,Arkansas,05149,3406,64
94321,2021-03-25,Unknown,Arkansas,,2949,0
