,date,county,state,fips,cases,deaths
91140,2021-03-25,Adams,Colorado,08001,51597,640
91141,2021-03-25,Alamosa,Colorado,08003,1337,29
91142,2021-03-25,Arapahoe,Colorado,08005,52055,715
91143,2021-03-25,Archuleta,Colorado,08007,737,1
91144,2021-03-25,Baca,Colorado,08009,278,4
91145,2021-03-25,Bent,Colorado,08011,1484,21
91146,2021-03-25,Boulder,Colorado,08013,20273,250
91147,2021-03-25,Broomfield,Colorado,08014,4111,74
91148,2021-03-25,Chaffee,Colorado,08015,1489,24
91149,2021-03-25,Cheyenne,Colorado,08017,126,6
91150,2021-03-25,Clear Creek,Colorado,08019,393,2
91151,2021-03-25,Conejos,Colorado,08021,460,10
91152,2021-03-25,Costilla,Colorado,08023,201,2
91153,2021-03-25,Crowley,Colorado,08025,2126,14
91154,2021-03-25,Custer,Colorado,08027,169,1
91155,2021-03-25,Delta,Colorado,08029,2525,60
91156,2021-03-25,Denver,Colorado,08031,63306,786
91157,2021-03-25,Dolores,Colorado,08033,67,0
91158,2021-03-25,Douglas,Colorado,08035,23683,234
91159,2021-03-25,Eagle,Colorado,08037,5612,22
91161,2021-03-25,Elbert,Colorado,08039,1394,12
91160,2021-03-25,El Paso,Colorado,08041,55561,755
91162,2021-03-25,Fremont,Colorado,08043,5614,52
91163,2021-03-25,Garfield,Colorado,08045,5339,38
91164,2021-03-25,Gilpin,Colorado,08047,184,3
91165,2021-03-25,Grand,Colorado,08049,1318,6
91166,2021-03-25,Gunnison,Colorado,08051,1230,6
91167,2021-03-25,Hinsdale,Colorado,08053,17,0
91168,2021-03-25,Huerfano,Colorado,08055,332,16
91169,2021-03-25,Jackson,Colorado,08057,52,0
91170,2021-03-25,Jefferson,Colorado,08059,39806,731
91171,2021-03-25,Kiowa,Colorado,08061,91,3
91172,2021-03-25,Kit Carson,Colorado,08063,578,11
91174,2021-03-25,Lake,Colorado,08065,691,0
91173,2021-03-25,La Plata,Colorado,08067,3269,37
91175,2021-03-25,Larimer,Colorado,08069,21729,226
91176,2021-03-25,Las Animas,Colorado,08071,1037,11
91177,2021-03-25,Lincoln,Colorado,08073,1004,4
91178,2021-03-25,Logan,Colorado,08075,3794,65
91179,2021-03-25,Mesa,Colorado,08077,13648,209
91180,2021-03-25,Mineral,Colorado,08079,86,1
91181,2021-03-25,Moffat,Colorado,08081,695,22
91182,2021-03-25,Montezuma,Colorado,08083,1781,23
91183,2021-03-25,Montrose,Colorado,08085,3310,57
91184,2021-03-25,Morgan,Colorado,08087,2519,92
91185,2021-03-25,Otero,Colorado,08089,1877,63
91186,2021-03-25,Ouray,Colorado,08091,272,3
91187,2021-03-25,Park,Colorado,08093,598,5
91188,2021-03-25,Phillips,Colorado,08095,346,13
91189,2021-03-25,Pitkin,Colorado,08097,2324,4
91190,2021-03-25,Prowers,Colorado,08099,1169,21
91191,2021-03-25,Pueblo,Colorado,08101,15578,364
91192,2021-03-25,Rio Blanco,Colorado,08103,511,4
91193,2021-03-25,Rio Grande,Colorado,08105,752,13
91194,2021-03-25,Routt,Colorado,08107,2036,19
91195,2021-03-25,Saguache,Colorado,08109,328,4
91196,2021-03-25,San Juan,Colorado,08111,44,0
91197,2021-03-25,San Miguel,Colorado,08113,847,0
91198,2021-03-25,Sedgwick,Colorado,08115,199,2
91199,2021-03-25,Summit,Colorado,08117,3278,7
91200,2021-03-25,Teller,Colorado,08119,1383,14
91201,2021-03-25,Washington,Colorado,08121,431,12
91202,2021-03-25,Weld,Colorado,08123,27101,321
91203,2021-03-25,Yuma,Colorado,08125,828,17
