,0,1,2,3,4,5
94463,2021-03-25,Alachua,Florida,12001,23139,255
94464,2021-03-25,Baker,Florida,12003,3347,59
94465,2021-03-25,Bay,Florida,12005,19443,369
94466,2021-03-25,Bradford,Florida,12007,2911,54
94467,2021-03-25,Brevard,Florida,12009,36652,793
94468,2021-03-25,Broward,Florida,12011,210462,2614
94469,2021-03-25,Calhoun,Florida,12013,1647,42
94470,2021-03-25,Charlotte,Florida,12015,11313,389
94471,2021-03-25,Citrus,Florida,12017,10207,421
94472,2021-03-25,Clay,Florida,12019,17245,325
94473,2021-03-25,Collier,Florida,12021,32004,492
94474,2021-03-25,Columbia,Florida,12023,7798,162
94475,2021-03-25,DeSoto,Florida,12027,4017,81
94476,2021-03-25,Dixie,Florida,12029,1545,23
94477,2021-03-25,Duval,Florida,12031,91915,1287
94478,2021-03-25,Escambia,Florida,12033,34658,658
94479,2021-03-25,Flagler,Florida,12035,6526,95
94480,2021-03-25,Franklin,Florida,12037,1293,16
94481,2021-03-25,Gadsden,Florida,12039,5521,89
94482,2021-03-25,Gilchrist,Florida,12041,1478,37
94483,2021-03-25,Glades,Florida,12043,923,19
94484,2021-03-25,Gulf,Florida,12045,1907,41
94485,2021-03-25,Hamilton,Florida,12047,1585,23
94486,2021-03-25,Hardee,Florida,12049,2884,37
94487,2021-03-25,Hendry,Florida,12051,4446,77
94488,2021-03-25,Hernando,Florida,12053,12181,439
94489,2021-03-25,Highlands,Florida,12055,7570,314
94490,2021-03-25,Hillsborough,Florida,12057,119339,1587
94491,2021-03-25,Holmes,Florida,12059,2209,46
94492,2021-03-25,Indian River,Florida,12061,11604,278
94493,2021-03-25,Jackson,Florida,12063,6046,154
94494,2021-03-25,Jefferson,Florida,12065,1423,24
94495,2021-03-25,Lafayette,Florida,12067,1603,25
94496,2021-03-25,Lake,Florida,12069,26298,592
94497,2021-03-25,Lee,Florida,12071,61571,910
94498,2021-03-25,Leon,Florida,12073,30126,301
94499,2021-03-25,Levy,Florida,12075,3053,43
94500,2021-03-25,Liberty,Florida,12077,1051,16
94501,2021-03-25,Madison,Florida,12079,2030,43
94502,2021-03-25,Manatee,Florida,12081,34246,632
94503,2021-03-25,Marion,Florida,12083,28776,912
94504,2021-03-25,Martin,Florida,12085,11211,301
94505,2021-03-25,Miami-Dade,Florida,12086,438703,5767
94506,2021-03-25,Monroe,Florida,12087,6304,48
94507,2021-03-25,Nassau,Florida,12089,7942,118
94508,2021-03-25,Okaloosa,Florida,12091,19666,347
94509,2021-03-25,Okeechobee,Florida,12093,3695,84
94510,2021-03-25,Orange,Florida,12095,121573,1172
94511,2021-03-25,Osceola,Florida,12097,39075,479
94512,2021-03-25,Palm Beach,Florida,12099,129476,2626
94513,2021-03-25,Pasco,Florida,12101,35730,682
94514,2021-03-25,Pinellas,Florida,12103,71011,1536
94515,2021-03-25,Polk,Florida,12105,60278,1221
94516,2021-03-25,Putnam,Florida,12107,5995,133
94520,2021-03-25,St. Johns,Florida,12109,20918,201
94521,2021-03-25,St. Lucie,Florida,12111,23668,573
94517,2021-03-25,Santa Rosa,Florida,12113,17673,276
94518,2021-03-25,Sarasota,Florida,12115,28799,776
94519,2021-03-25,Seminole,Florida,12117,29388,463
94522,2021-03-25,Sumter,Florida,12119,8678,243
94523,2021-03-25,Suwannee,Florida,12121,5205,135
94524,2021-03-25,Taylor,Florida,12123,2695,45
94525,2021-03-25,Union,Florida,12125,1769,70
94527,2021-03-25,Volusia,Florida,12127,37272,703
94528,2021-03-25,Wakulla,Florida,12129,3238,53
94529,2021-03-25,Walton,Florida,12131,7284,81
94530,2021-03-25,Washington,Florida,12133,2658,49
94526,2021-03-25,Unknown,Florida,,3525,0
