,0,1,2,3,4,5
94531,2021-03-25,Appling,Georgia,13001,2252,68
94532,2021-03-25,Atkinson,Georgia,13003,990,17
94533,2021-03-25,Bacon,Georgia,13005,1476,36
94534,2021-03-25,Baker,Georgia,13007,224,9
94535,2021-03-25,Baldwin,Georgia,13009,4390,120
94536,2021-03-25,Banks,Georgia,13011,1768,34
94537,2021-03-25,Barrow,Georgia,13013,9408,125
94538,2021-03-25,Bartow,Georgia,13015,13912,211
94539,2021-03-25,Ben Hill,Georgia,13017,2069,74
94540,2021-03-25,Berrien,Georgia,13019,1780,41
94541,2021-03-25,Bibb,Georgia,13021,15345,415
94542,2021-03-25,Bleckley,Georgia,13023,1446,50
94543,2021-03-25,Brantley,Georgia,13025,1564,34
94544,2021-03-25,Brooks,Georgia,13027,1361,47
94545,2021-03-25,Bryan,Georgia,13029,3436,36
94546,2021-03-25,Bulloch,Georgia,13031,6607,104
94547,2021-03-25,Burke,Georgia,13033,2467,56
94548,2021-03-25,Butts,Georgia,13035,2815,77
94549,2021-03-25,Calhoun,Georgia,13037,569,14
94550,2021-03-25,Camden,Georgia,13039,3796,31
94551,2021-03-25,Candler,Georgia,13043,932,62
94552,2021-03-25,Carroll,Georgia,13045,10869,225
94553,2021-03-25,Catoosa,Georgia,13047,5920,66
94554,2021-03-25,Charlton,Georgia,13049,1340,30
94555,2021-03-25,Chatham,Georgia,13051,22032,405
94556,2021-03-25,Chattahoochee,Georgia,13053,3430,13
94557,2021-03-25,Chattooga,Georgia,13055,2693,67
94558,2021-03-25,Cherokee,Georgia,13057,29352,292
94559,2021-03-25,Clarke,Georgia,13059,14553,132
94560,2021-03-25,Clay,Georgia,13061,232,3
94561,2021-03-25,Clayton,Georgia,13063,24564,421
94562,2021-03-25,Clinch,Georgia,13065,934,26
94563,2021-03-25,Cobb,Georgia,13067,73566,972
94564,2021-03-25,Coffee,Georgia,13069,5255,163
94565,2021-03-25,Colquitt,Georgia,13071,4577,113
94566,2021-03-25,Columbia,Georgia,13073,16158,195
94567,2021-03-25,Cook,Georgia,13075,1773,40
94568,2021-03-25,Coweta,Georgia,13077,13512,191
94569,2021-03-25,Crawford,Georgia,13079,643,17
94570,2021-03-25,Crisp,Georgia,13081,2018,70
94571,2021-03-25,Dade,Georgia,13083,1370,11
94572,2021-03-25,Dawson,Georgia,13085,2928,38
94574,2021-03-25,Decatur,Georgia,13087,2830,66
94573,2021-03-25,DeKalb,Georgia,13089,60884,913
94575,2021-03-25,Dodge,Georgia,13091,2096,101
94576,2021-03-25,Dooly,Georgia,13093,1052,43
94577,2021-03-25,Dougherty,Georgia,13095,7222,290
94578,2021-03-25,Douglas,Georgia,13097,14137,200
94579,2021-03-25,Early,Georgia,13099,1149,45
94580,2021-03-25,Echols,Georgia,13101,465,8
94581,2021-03-25,Effingham,Georgia,13103,4378,64
94582,2021-03-25,Elbert,Georgia,13105,2266,65
94583,2021-03-25,Emanuel,Georgia,13107,2512,79
94584,2021-03-25,Evans,Georgia,13109,937,28
94585,2021-03-25,Fannin,Georgia,13111,2258,64
94586,2021-03-25,Fayette,Georgia,13113,8483,155
94587,2021-03-25,Floyd,Georgia,13115,11626,205
94588,2021-03-25,Forsyth,Georgia,13117,21272,168
94589,2021-03-25,Franklin,Georgia,13119,2608,47
94590,2021-03-25,Fulton,Georgia,13121,91064,1251
94591,2021-03-25,Gilmer,Georgia,13123,2858,80
94592,2021-03-25,Glascock,Georgia,13125,263,18
94593,2021-03-25,Glynn,Georgia,13127,7789,167
94594,2021-03-25,Gordon,Georgia,13129,7913,106
94595,2021-03-25,Grady,Georgia,13131,2061,57
94596,2021-03-25,Greene,Georgia,13133,1776,55
94597,2021-03-25,Gwinnett,Georgia,13135,96179,1039
94598,2021-03-25,Habersham,Georgia,13137,5084,151
94599,2021-03-25,Hall,Georgia,13139,26388,427
94600,2021-03-25,Hancock,Georgia,13141,898,60
94601,2021-03-25,Haralson,Georgia,13143,2529,78
94602,2021-03-25,Harris,Georgia,13145,2449,52
94603,2021-03-25,Hart,Georgia,13147,2325,50
94604,2021-03-25,Heard,Georgia,13149,826,17
94605,2021-03-25,Henry,Georgia,13151,23482,295
94606,2021-03-25,Houston,Georgia,13153,13989,239
94607,2021-03-25,Irwin,Georgia,13155,905,28
94608,2021-03-25,Jackson,Georgia,13157,9470,140
94609,2021-03-25,Jasper,Georgia,13159,1369,37
94610,2021-03-25,Jeff Davis,Georgia,13161,1834,46
94611,2021-03-25,Jefferson,Georgia,13163,1897,62
94612,2021-03-25,Jenkins,Georgia,13165,832,42
94613,2021-03-25,Johnson,Georgia,13167,1101,48
94614,2021-03-25,Jones,Georgia,13169,1952,53
94615,2021-03-25,Lamar,Georgia,13171,1949,54
94616,2021-03-25,Lanier,Georgia,13173,756,13
94617,2021-03-25,Laurens,Georgia,13175,5457,163
94618,2021-03-25,Lee,Georgia,13177,2678,55
94619,2021-03-25,Liberty,Georgia,13179,3565,59
94620,2021-03-25,Lincoln,Georgia,13181,777,26
94621,2021-03-25,Long,Georgia,13183,818,11
94622,2021-03-25,Lowndes,Georgia,13185,12130,192
94623,2021-03-25,Lumpkin,Georgia,13187,2863,66
94627,2021-03-25,McDuffie,Georgia,13189,2373,43
94628,2021-03-25,McIntosh,Georgia,13191,811,16
94624,2021-03-25,Macon,Georgia,13193,818,27
94625,2021-03-25,Madison,Georgia,13195,3151,54
94626,2021-03-25,Marion,Georgia,13197,544,18
94629,2021-03-25,Meriwether,Georgia,13199,1910,73
94630,2021-03-25,Miller,Georgia,13201,819,12
94631,2021-03-25,Mitchell,Georgia,13205,1996,78
94632,2021-03-25,Monroe,Georgia,13207,2542,97
94633,2021-03-25,Montgomery,Georgia,13209,867,21
94634,2021-03-25,Morgan,Georgia,13211,2132,25
94635,2021-03-25,Murray,Georgia,13213,4652,77
94636,2021-03-25,Muscogee,Georgia,13215,15308,412
94637,2021-03-25,Newton,Georgia,13217,10291,218
94638,2021-03-25,Oconee,Georgia,13219,3873,66
94639,2021-03-25,Oglethorpe,Georgia,13221,1442,28
94640,2021-03-25,Paulding,Georgia,13223,15630,199
94641,2021-03-25,Peach,Georgia,13225,2527,52
94642,2021-03-25,Pickens,Georgia,13227,3273,74
94643,2021-03-25,Pierce,Georgia,13229,2371,55
94644,2021-03-25,Pike,Georgia,13231,2144,36
94645,2021-03-25,Polk,Georgia,13233,5463,87
94646,2021-03-25,Pulaski,Georgia,13235,905,40
94647,2021-03-25,Putnam,Georgia,13237,2112,52
94648,2021-03-25,Quitman,Georgia,13239,161,2
94649,2021-03-25,Rabun,Georgia,13241,1618,46
94650,2021-03-25,Randolph,Georgia,13243,619,33
94651,2021-03-25,Richmond,Georgia,13245,23428,462
94652,2021-03-25,Rockdale,Georgia,13247,7126,160
94653,2021-03-25,Schley,Georgia,13249,335,4
94654,2021-03-25,Screven,Georgia,13251,934,27
94655,2021-03-25,Seminole,Georgia,13253,921,18
94656,2021-03-25,Spalding,Georgia,13255,5888,176
94657,2021-03-25,Stephens,Georgia,13257,3059,76
94658,2021-03-25,Stewart,Georgia,13259,876,22
94659,2021-03-25,Sumter,Georgia,13261,2501,96
94660,2021-03-25,Talbot,Georgia,13263,464,17
94661,2021-03-25,Taliaferro,Georgia,13265,121,3
94662,2021-03-25,Tattnall,Georgia,13267,2260,62
94663,2021-03-25,Taylor,Georgia,13269,779,25
94664,2021-03-25,Telfair,Georgia,13271,1264,54
94665,2021-03-25,Terrell,Georgia,13273,787,44
94666,2021-03-25,Thomas,Georgia,13275,4300,119
94667,2021-03-25,Tift,Georgia,13277,4772,123
94668,2021-03-25,Toombs,Georgia,13279,3295,107
94669,2021-03-25,Towns,Georgia,13281,1171,54
94670,2021-03-25,Treutlen,Georgia,13283,837,24
94671,2021-03-25,Troup,Georgia,13285,7218,207
94672,2021-03-25,Turner,Georgia,13287,984,34
94673,2021-03-25,Twiggs,Georgia,13289,697,41
94674,2021-03-25,Union,Georgia,13291,2137,68
94676,2021-03-25,Upson,Georgia,13293,3334,120
94677,2021-03-25,Walker,Georgia,13295,7001,83
94678,2021-03-25,Walton,Georgia,13297,10235,243
94679,2021-03-25,Ware,Georgia,13299,4722,157
94680,2021-03-25,Warren,Georgia,13301,512,16
94681,2021-03-25,Washington,Georgia,13303,2120,77
94682,2021-03-25,Wayne,Georgia,13305,3431,81
94683,2021-03-25,Webster,Georgia,13307,139,4
94684,2021-03-25,Wheeler,Georgia,13309,617,24
94685,2021-03-25,White,Georgia,13311,3111,76
94686,2021-03-25,Whitfield,Georgia,13313,16322,233
94687,2021-03-25,Wilcox,Georgia,13315,818,46
94688,2021-03-25,Wilkes,Georgia,13317,1062,24
94689,2021-03-25,Wilkinson,Georgia,13319,913,26
