,0,1,2,3,4,5
94697,2021-03-25,Ada,Idaho,16001,48713,448
94698,2021-03-25,Adams,Idaho,16003,336,4
94699,2021-03-25,Bannock,Idaho,16005,8315,98
94700,2021-03-25,Bear Lake,Idaho,16007,369,2
94701,2021-03-25,Benewah,Idaho,16009,645,9
94702,2021-03-25,Bingham,Idaho,16011,4633,69
94703,2021-03-25,Blaine,Idaho,16013,2235,17
94704,2021-03-25,Boise,Idaho,16015,320,2
94705,2021-03-25,Bonner,Idaho,16017,3081,38
94706,2021-03-25,Bonneville,Idaho,16019,13807,157
94707,2021-03-25,Boundary,Idaho,16021,841,10
94708,2021-03-25,Butte,Idaho,16023,202,1
94709,2021-03-25,Camas,Idaho,16025,71,0
94710,2021-03-25,Canyon,Idaho,16027,25411,287
94711,2021-03-25,Caribou,Idaho,16029,643,12
94712,2021-03-25,Cassia,Idaho,16031,2891,25
94713,2021-03-25,Clark,Idaho,16033,56,0
94714,2021-03-25,Clearwater,Idaho,16035,1027,12
94715,2021-03-25,Custer,Idaho,16037,239,3
94716,2021-03-25,Elmore,Idaho,16039,1735,13
94717,2021-03-25,Franklin,Idaho,16041,1128,16
94718,2021-03-25,Fremont,Idaho,16043,1075,14
94719,2021-03-25,Gem,Idaho,16045,1727,34
94720,2021-03-25,Gooding,Idaho,16047,1279,23
94721,2021-03-25,Idaho,Idaho,16049,1193,17
94722,2021-03-25,Jefferson,Idaho,16051,2750,22
94723,2021-03-25,Jerome,Idaho,16053,2533,23
94724,2021-03-25,Kootenai,Idaho,16055,17131,193
94725,2021-03-25,Latah,Idaho,16057,2899,8
94726,2021-03-25,Lemhi,Idaho,16059,516,9
94727,2021-03-25,Lewis,Idaho,16061,383,9
94728,2021-03-25,Lincoln,Idaho,16063,491,11
94729,2021-03-25,Madison,Idaho,16065,6774,23
94730,2021-03-25,Minidoka,Idaho,16067,2308,32
94731,2021-03-25,Nez Perce,Idaho,16069,3466,53
94732,2021-03-25,Oneida,Idaho,16071,343,4
94733,2021-03-25,Owyhee,Idaho,16073,1033,26
94734,2021-03-25,Payette,Idaho,16075,2439,32
94735,2021-03-25,Power,Idaho,16077,654,9
94736,2021-03-25,Shoshone,Idaho,16079,1043,33
94737,2021-03-25,Teton,Idaho,16081,1142,4
94738,2021-03-25,Twin Falls,Idaho,16083,9116,127
94739,2021-03-25,Valley,Idaho,16085,820,7
94740,2021-03-25,Washington,Idaho,16087,1196,21
