,date,county,state,fips,cases,yest,diff
85006,2021-03-25,Adams,Illinois,17001,8075,8066,9
85007,2021-03-25,Alexander,Illinois,17003,454,454,0
85008,2021-03-25,Bond,Illinois,17005,1927,1929,-2
85009,2021-03-25,Boone,Illinois,17007,6057,6049,8
85010,2021-03-25,Brown,Illinois,17009,679,678,1
85011,2021-03-25,Bureau,Illinois,17011,3399,3394,5
85012,2021-03-25,Calhoun,Illinois,17013,502,501,1
85013,2021-03-25,Carroll,Illinois,17015,1620,1616,4
85014,2021-03-25,Cass,Illinois,17017,1908,1907,1
85015,2021-03-25,Champaign,Illinois,17019,18803,18754,49
85016,2021-03-25,Christian,Illinois,17021,3393,3389,4
85017,2021-03-25,Clark,Illinois,17023,1716,1714,2
85018,2021-03-25,Clay,Illinois,17025,1453,1452,1
85019,2021-03-25,Clinton,Illinois,17027,5657,5658,-1
85020,2021-03-25,Coles,Illinois,17029,5396,5385,11
85021,2021-03-25,Cook,Illinois,17031,491512,490661,851
85022,2021-03-25,Crawford,Illinois,17033,2043,2037,6
85023,2021-03-25,Cumberland,Illinois,17035,1254,1251,3
85025,2021-03-25,DeKalb,Illinois,17037,8737,8720,17
85024,2021-03-25,De Witt,Illinois,17039,1311,1308,3
85026,2021-03-25,Douglas,Illinois,17041,2512,2514,-2
85027,2021-03-25,DuPage,Illinois,17043,80728,80560,168
85028,2021-03-25,Edgar,Illinois,17045,1628,1623,5
85029,2021-03-25,Edwards,Illinois,17047,537,537,0
85030,2021-03-25,Effingham,Illinois,17049,4542,4537,5
85031,2021-03-25,Fayette,Illinois,17051,3084,3081,3
85032,2021-03-25,Ford,Illinois,17053,1635,1635,0
85033,2021-03-25,Franklin,Illinois,17055,4237,4236,1
85034,2021-03-25,Fulton,Illinois,17057,3166,3140,26
85035,2021-03-25,Gallatin,Illinois,17059,449,448,1
85036,2021-03-25,Greene,Illinois,17061,1401,1401,0
85037,2021-03-25,Grundy,Illinois,17063,5379,5371,8
85038,2021-03-25,Hamilton,Illinois,17065,798,796,2
85039,2021-03-25,Hancock,Illinois,17067,1693,1687,6
85040,2021-03-25,Hardin,Illinois,17069,359,359,0
85041,2021-03-25,Henderson,Illinois,17071,513,513,0
85042,2021-03-25,Henry,Illinois,17073,4466,4459,7
85043,2021-03-25,Iroquois,Illinois,17075,2825,2820,5
85044,2021-03-25,Jackson,Illinois,17077,4701,4690,11
85045,2021-03-25,Jasper,Illinois,17079,1126,1126,0
85046,2021-03-25,Jefferson,Illinois,17081,4051,4048,3
85047,2021-03-25,Jersey,Illinois,17083,2536,2535,1
85048,2021-03-25,Jo Daviess,Illinois,17085,1651,1649,2
85049,2021-03-25,Johnson,Illinois,17087,1366,1365,1
85050,2021-03-25,Kane,Illinois,17089,52339,52233,106
85051,2021-03-25,Kankakee,Illinois,17091,12891,12865,26
85052,2021-03-25,Kendall,Illinois,17093,12009,11863,146
85053,2021-03-25,Knox,Illinois,17095,5091,5086,5
85055,2021-03-25,Lake,Illinois,17097,61652,61584,68
85054,2021-03-25,LaSalle,Illinois,17099,11178,11164,14
85056,2021-03-25,Lawrence,Illinois,17101,2359,2356,3
85057,2021-03-25,Lee,Illinois,17103,3631,3606,25
85058,2021-03-25,Livingston,Illinois,17105,4377,4372,5
85059,2021-03-25,Logan,Illinois,17107,3428,3417,11
85067,2021-03-25,McDonough,Illinois,17109,2389,2384,5
85068,2021-03-25,McHenry,Illinois,17111,25353,25307,46
85069,2021-03-25,McLean,Illinois,17113,15303,15255,48
85060,2021-03-25,Macon,Illinois,17115,9796,9782,14
85061,2021-03-25,Macoupin,Illinois,17117,4470,4469,1
85062,2021-03-25,Madison,Illinois,17119,28962,28903,59
85063,2021-03-25,Marion,Illinois,17121,4347,4342,5
85064,2021-03-25,Marshall,Illinois,17123,901,896,5
85065,2021-03-25,Mason,Illinois,17125,1324,1319,5
85066,2021-03-25,Massac,Illinois,17127,1306,1306,0
85070,2021-03-25,Menard,Illinois,17129,1112,1108,4
85071,2021-03-25,Mercer,Illinois,17131,1312,1310,2
85072,2021-03-25,Monroe,Illinois,17133,4171,4167,4
85073,2021-03-25,Montgomery,Illinois,17135,3580,3579,1
85074,2021-03-25,Morgan,Illinois,17137,3750,3744,6
85075,2021-03-25,Moultrie,Illinois,17139,1523,1522,1
85076,2021-03-25,Ogle,Illinois,17141,5313,5299,14
85077,2021-03-25,Peoria,Illinois,17143,17953,17953,0
85078,2021-03-25,Perry,Illinois,17145,3104,3100,4
85079,2021-03-25,Piatt,Illinois,17147,1382,1382,0
85080,2021-03-25,Pike,Illinois,17149,1730,1728,2
85081,2021-03-25,Pope,Illinois,17151,298,295,3
85082,2021-03-25,Pulaski,Illinois,17153,674,674,0
85083,2021-03-25,Putnam,Illinois,17155,430,430,0
85084,2021-03-25,Randolph,Illinois,17157,4017,4016,1
85085,2021-03-25,Richland,Illinois,17159,1668,1660,8
85086,2021-03-25,Rock Island,Illinois,17161,13508,13488,20
85092,2021-03-25,St. Clair,Illinois,17163,29198,29112,86
85087,2021-03-25,Saline,Illinois,17165,2412,2405,7
85088,2021-03-25,Sangamon,Illinois,17167,16761,16706,55
85089,2021-03-25,Schuyler,Illinois,17169,685,685,0
85090,2021-03-25,Scott,Illinois,17171,456,454,2
85091,2021-03-25,Shelby,Illinois,17173,2199,2198,1
85093,2021-03-25,Stark,Illinois,17175,553,554,-1
85094,2021-03-25,Stephenson,Illinois,17177,4226,4221,5
85095,2021-03-25,Tazewell,Illinois,17179,14150,14121,29
85096,2021-03-25,Union,Illinois,17181,2223,2222,1
85098,2021-03-25,Vermilion,Illinois,17183,8829,8822,7
85099,2021-03-25,Wabash,Illinois,17185,1322,1317,5
85100,2021-03-25,Warren,Illinois,17187,1673,1672,1
85101,2021-03-25,Washington,Illinois,17189,1607,1607,0
85102,2021-03-25,Wayne,Illinois,17191,1703,1702,1
85103,2021-03-25,White,Illinois,17193,1644,1644,0
85104,2021-03-25,Whiteside,Illinois,17195,6260,6226,34
85105,2021-03-25,Will,Illinois,17197,67707,67604,103
85106,2021-03-25,Williamson,Illinois,17199,7006,7002,4
85107,2021-03-25,Winnebago,Illinois,17201,28956,28926,30
85108,2021-03-25,Woodford,Illinois,17203,3937,3937,0
85097,2021-03-25,Unknown,Illinois,,0,0,0
