,date,county,state,fips,cases,deaths
91691,2021-03-25,Adair,Iowa,19001,835,31
91692,2021-03-25,Adams,Iowa,19003,319,4
91693,2021-03-25,Allamakee,Iowa,19005,1480,48
91694,2021-03-25,Appanoose,Iowa,19007,1247,47
91695,2021-03-25,Audubon,Iowa,19009,482,9
91696,2021-03-25,Benton,Iowa,19011,2459,54
91697,2021-03-25,Black Hawk,Iowa,19013,15208,300
91698,2021-03-25,Boone,Iowa,19015,2503,30
91699,2021-03-25,Bremer,Iowa,19017,2749,57
91700,2021-03-25,Buchanan,Iowa,19019,1829,30
91701,2021-03-25,Buena Vista,Iowa,19021,4178,39
91702,2021-03-25,Butler,Iowa,19023,1609,32
91703,2021-03-25,Calhoun,Iowa,19025,1321,11
91704,2021-03-25,Carroll,Iowa,19027,2727,49
91705,2021-03-25,Cass,Iowa,19029,1325,52
91706,2021-03-25,Cedar,Iowa,19031,1772,23
91707,2021-03-25,Cerro Gordo,Iowa,19033,5083,85
91708,2021-03-25,Cherokee,Iowa,19035,1531,37
91709,2021-03-25,Chickasaw,Iowa,19037,1208,15
91710,2021-03-25,Clarke,Iowa,19039,969,23
91711,2021-03-25,Clay,Iowa,19041,1988,25
91712,2021-03-25,Clayton,Iowa,19043,1620,55
91713,2021-03-25,Clinton,Iowa,19045,5150,87
91714,2021-03-25,Crawford,Iowa,19047,2587,36
91715,2021-03-25,Dallas,Iowa,19049,10567,94
91716,2021-03-25,Davis,Iowa,19051,783,24
91717,2021-03-25,Decatur,Iowa,19053,579,9
91718,2021-03-25,Delaware,Iowa,19055,1918,39
91719,2021-03-25,Des Moines,Iowa,19057,4343,63
91720,2021-03-25,Dickinson,Iowa,19059,2219,41
91721,2021-03-25,Dubuque,Iowa,19061,12647,200
91722,2021-03-25,Emmet,Iowa,19063,1208,40
91723,2021-03-25,Fayette,Iowa,19065,1813,38
91724,2021-03-25,Floyd,Iowa,19067,1512,41
91725,2021-03-25,Franklin,Iowa,19069,1108,21
91726,2021-03-25,Fremont,Iowa,19071,580,10
91727,2021-03-25,Greene,Iowa,19073,752,10
91728,2021-03-25,Grundy,Iowa,19075,1334,31
91729,2021-03-25,Guthrie,Iowa,19077,1132,28
91730,2021-03-25,Hamilton,Iowa,19079,1756,44
91731,2021-03-25,Hancock,Iowa,19081,1400,33
91732,2021-03-25,Hardin,Iowa,19083,1749,40
91733,2021-03-25,Harrison,Iowa,19085,1706,71
91734,2021-03-25,Henry,Iowa,19087,2823,37
91735,2021-03-25,Howard,Iowa,19089,1019,22
