,date,county,state,fips,cases,deaths
91791,2021-03-25,Allen,Kansas,20001,1199,1
91792,2021-03-25,Anderson,Kansas,20003,829,0
91793,2021-03-25,Atchison,Kansas,20005,1551,13
91794,2021-03-25,Barber,Kansas,20007,368,2
91795,2021-03-25,Barton,Kansas,20009,2590,21
91796,2021-03-25,Bourbon,Kansas,20011,1311,3
91797,2021-03-25,Brown,Kansas,20013,1226,32
91798,2021-03-25,Butler,Kansas,20015,7336,80
91799,2021-03-25,Chase,Kansas,20017,286,3
91800,2021-03-25,Chautauqua,Kansas,20019,265,3
91801,2021-03-25,Cherokee,Kansas,20021,2405,16
91802,2021-03-25,Cheyenne,Kansas,20023,357,10
91803,2021-03-25,Clark,Kansas,20025,247,4
91804,2021-03-25,Clay,Kansas,20027,826,27
91805,2021-03-25,Cloud,Kansas,20029,972,2
91806,2021-03-25,Coffey,Kansas,20031,721,14
91807,2021-03-25,Comanche,Kansas,20033,170,9
91808,2021-03-25,Cowley,Kansas,20035,3884,9
91809,2021-03-25,Crawford,Kansas,20037,4616,83
91810,2021-03-25,Decatur,Kansas,20039,264,1
91811,2021-03-25,Dickinson,Kansas,20041,1704,37
91812,2021-03-25,Doniphan,Kansas,20043,958,7
91813,2021-03-25,Douglas,Kansas,20045,8870,83
91814,2021-03-25,Edwards,Kansas,20047,262,0
91815,2021-03-25,Elk,Kansas,20049,178,0
91816,2021-03-25,Ellis,Kansas,20051,3715,61
91817,2021-03-25,Ellsworth,Kansas,20053,1214,4
91818,2021-03-25,Finney,Kansas,20055,6005,129
91819,2021-03-25,Ford,Kansas,20057,5667,10
91820,2021-03-25,Franklin,Kansas,20059,2488,39
91821,2021-03-25,Geary,Kansas,20061,3149,25
91822,2021-03-25,Gove,Kansas,20063,385,22
91823,2021-03-25,Graham,Kansas,20065,250,2
91824,2021-03-25,Grant,Kansas,20067,970,17
91825,2021-03-25,Gray,Kansas,20069,606,14
91826,2021-03-25,Greeley,Kansas,20071,104,0
91827,2021-03-25,Greenwood,Kansas,20073,589,8
91828,2021-03-25,Hamilton,Kansas,20075,201,0
91829,2021-03-25,Harper,Kansas,20077,621,17
91830,2021-03-25,Harvey,Kansas,20079,3519,65
91831,2021-03-25,Haskell,Kansas,20081,416,1
91832,2021-03-25,Hodgeman,Kansas,20083,209,7
91833,2021-03-25,Jackson,Kansas,20085,1373,15
91834,2021-03-25,Jefferson,Kansas,20087,1653,32
91835,2021-03-25,Jewell,Kansas,20089,209,3
91836,2021-03-25,Johnson,Kansas,20091,55825,639
91837,2021-03-25,Kearny,Kansas,20093,560,9
91838,2021-03-25,Kingman,Kansas,20095,738,11
91839,2021-03-25,Kiowa,Kansas,20097,266,5
91840,2021-03-25,Labette,Kansas,20099,2711,49
91841,2021-03-25,Lane,Kansas,20101,143,5
