,date,county,state,fips,cases,yest,diff
85407,2021-03-25,Adair,Kentucky,21001,1766,1762,4
85408,2021-03-25,Allen,Kentucky,21003,1901,1897,4
85409,2021-03-25,Anderson,Kentucky,21005,1680,1680,0
85410,2021-03-25,Ballard,Kentucky,21007,371,371,0
85411,2021-03-25,Barren,Kentucky,21009,4216,4216,0
85412,2021-03-25,Bath,Kentucky,21011,813,813,0
85413,2021-03-25,Bell,Kentucky,21013,2919,2906,13
85414,2021-03-25,Boone,Kentucky,21015,13607,13562,45
85415,2021-03-25,Bourbon,Kentucky,21017,1613,1612,1
85416,2021-03-25,Boyd,Kentucky,21019,4745,4741,4
85417,2021-03-25,Boyle,Kentucky,21021,3249,3244,5
85418,2021-03-25,Bracken,Kentucky,21023,542,542,0
85419,2021-03-25,Breathitt,Kentucky,21025,970,966,4
85420,2021-03-25,Breckinridge,Kentucky,21027,1135,1134,1
85421,2021-03-25,Bullitt,Kentucky,21029,6715,6695,20
85422,2021-03-25,Butler,Kentucky,21031,1410,1410,0
85423,2021-03-25,Caldwell,Kentucky,21033,1288,1289,-1
85424,2021-03-25,Calloway,Kentucky,21035,3439,3439,0
85425,2021-03-25,Campbell,Kentucky,21037,8464,8442,22
85426,2021-03-25,Carlisle,Kentucky,21039,451,451,0
85427,2021-03-25,Carroll,Kentucky,21041,955,952,3
85428,2021-03-25,Carter,Kentucky,21043,2128,2118,10
85429,2021-03-25,Casey,Kentucky,21045,1318,1316,2
85430,2021-03-25,Christian,Kentucky,21047,6515,6485,30
85431,2021-03-25,Clark,Kentucky,21049,2601,2597,4
85432,2021-03-25,Clay,Kentucky,21051,2563,2558,5
85433,2021-03-25,Clinton,Kentucky,21053,1424,1424,0
85434,2021-03-25,Crittenden,Kentucky,21055,584,584,0
85435,2021-03-25,Cumberland,Kentucky,21057,669,668,1
85436,2021-03-25,Daviess,Kentucky,21059,10084,10063,21
85437,2021-03-25,Edmonson,Kentucky,21061,926,926,0
85438,2021-03-25,Elliott,Kentucky,21063,938,937,1
85439,2021-03-25,Estill,Kentucky,21065,1028,1028,0
85440,2021-03-25,Fayette,Kentucky,21067,33885,33832,53
85441,2021-03-25,Fleming,Kentucky,21069,1109,1108,1
85442,2021-03-25,Floyd,Kentucky,21071,3150,3140,10
85443,2021-03-25,Franklin,Kentucky,21073,3846,3842,4
85444,2021-03-25,Fulton,Kentucky,21075,489,489,0
85445,2021-03-25,Gallatin,Kentucky,21077,677,676,1
85446,2021-03-25,Garrard,Kentucky,21079,1457,1458,-1
85447,2021-03-25,Grant,Kentucky,21081,2316,2312,4
85448,2021-03-25,Graves,Kentucky,21083,4046,4038,8
85449,2021-03-25,Grayson,Kentucky,21085,2035,2031,4
85450,2021-03-25,Green,Kentucky,21087,1168,1168,0
85451,2021-03-25,Greenup,Kentucky,21089,3415,3412,3
85452,2021-03-25,Hancock,Kentucky,21091,835,834,1
85453,2021-03-25,Hardin,Kentucky,21093,9240,9228,12
85454,2021-03-25,Harlan,Kentucky,21095,2498,2489,9
85455,2021-03-25,Harrison,Kentucky,21097,1594,1582,12
85456,2021-03-25,Hart,Kentucky,21099,1887,1887,0
85457,2021-03-25,Henderson,Kentucky,21101,4459,4453,6
85458,2021-03-25,Henry,Kentucky,21103,1288,1285,3
85459,2021-03-25,Hickman,Kentucky,21105,338,338,0
85460,2021-03-25,Hopkins,Kentucky,21107,4176,4166,10
85461,2021-03-25,Jackson,Kentucky,21109,1267,1266,1
85462,2021-03-25,Jefferson,Kentucky,21111,77290,77166,124
85463,2021-03-25,Jessamine,Kentucky,21113,4345,4341,4
85464,2021-03-25,Johnson,Kentucky,21115,1847,1846,1
85465,2021-03-25,Kenton,Kentucky,21117,16141,16090,51
85466,2021-03-25,Knott,Kentucky,21119,1103,1101,2
85467,2021-03-25,Knox,Kentucky,21121,3207,3201,6
85468,2021-03-25,Larue,Kentucky,21123,1274,1271,3
85469,2021-03-25,Laurel,Kentucky,21125,6195,6188,7
85470,2021-03-25,Lawrence,Kentucky,21127,1324,1324,0
85471,2021-03-25,Lee,Kentucky,21129,1220,1219,1
85472,2021-03-25,Leslie,Kentucky,21131,854,852,2
85473,2021-03-25,Letcher,Kentucky,21133,1760,1755,5
85474,2021-03-25,Lewis,Kentucky,21135,1125,1123,2
85475,2021-03-25,Lincoln,Kentucky,21137,2175,2172,3
85476,2021-03-25,Livingston,Kentucky,21139,782,782,0
85477,2021-03-25,Logan,Kentucky,21141,2627,2623,4
85478,2021-03-25,Lyon,Kentucky,21143,1564,1559,5
85485,2021-03-25,McCracken,Kentucky,21145,6104,6090,14
85486,2021-03-25,McCreary,Kentucky,21147,1871,1866,5
85487,2021-03-25,McLean,Kentucky,21149,853,851,2
85479,2021-03-25,Madison,Kentucky,21151,8939,8932,7
85480,2021-03-25,Magoffin,Kentucky,21153,888,888,0
85481,2021-03-25,Marion,Kentucky,21155,2203,2194,9
85482,2021-03-25,Marshall,Kentucky,21157,2619,2616,3
85483,2021-03-25,Martin,Kentucky,21159,973,971,2
85484,2021-03-25,Mason,Kentucky,21161,1503,1503,0
85488,2021-03-25,Meade,Kentucky,21163,1911,1909,2
85489,2021-03-25,Menifee,Kentucky,21165,415,415,0
85490,2021-03-25,Mercer,Kentucky,21167,2440,2436,4
85491,2021-03-25,Metcalfe,Kentucky,21169,993,993,0
85492,2021-03-25,Monroe,Kentucky,21171,1270,1269,1
85493,2021-03-25,Montgomery,Kentucky,21173,2419,2407,12
85494,2021-03-25,Morgan,Kentucky,21175,2094,2090,4
85495,2021-03-25,Muhlenberg,Kentucky,21177,2835,2834,1
85496,2021-03-25,Nelson,Kentucky,21179,4736,4730,6
85497,2021-03-25,Nicholas,Kentucky,21181,487,484,3
85498,2021-03-25,Ohio,Kentucky,21183,2428,2427,1
85499,2021-03-25,Oldham,Kentucky,21185,7246,7236,10
85500,2021-03-25,Owen,Kentucky,21187,639,639,0
85501,2021-03-25,Owsley,Kentucky,21189,471,467,4
85502,2021-03-25,Pendleton,Kentucky,21191,986,987,-1
85503,2021-03-25,Perry,Kentucky,21193,2486,2480,6
85504,2021-03-25,Pike,Kentucky,21195,5323,5313,10
85505,2021-03-25,Powell,Kentucky,21197,1056,1048,8
85506,2021-03-25,Pulaski,Kentucky,21199,6049,6040,9
85507,2021-03-25,Robertson,Kentucky,21201,196,198,-2
85508,2021-03-25,Rockcastle,Kentucky,21203,1411,1407,4
85509,2021-03-25,Rowan,Kentucky,21205,2077,2075,2
85510,2021-03-25,Russell,Kentucky,21207,1800,1796,4
85511,2021-03-25,Scott,Kentucky,21209,4515,4476,39
85512,2021-03-25,Shelby,Kentucky,21211,4467,4468,-1
85513,2021-03-25,Simpson,Kentucky,21213,1878,1861,17
85514,2021-03-25,Spencer,Kentucky,21215,1553,1551,2
85515,2021-03-25,Taylor,Kentucky,21217,2925,2917,8
85516,2021-03-25,Todd,Kentucky,21219,1025,1025,0
85517,2021-03-25,Trigg,Kentucky,21221,1148,1149,-1
85518,2021-03-25,Trimble,Kentucky,21223,644,643,1
85519,2021-03-25,Union,Kentucky,21225,1293,1291,2
85520,2021-03-25,Warren,Kentucky,21227,15030,15015,15
85521,2021-03-25,Washington,Kentucky,21229,1389,1387,2
85522,2021-03-25,Wayne,Kentucky,21231,2151,2147,4
85523,2021-03-25,Webster,Kentucky,21233,1186,1185,1
85524,2021-03-25,Whitley,Kentucky,21235,4529,4517,12
85525,2021-03-25,Wolfe,Kentucky,21237,460,460,0
85526,2021-03-25,Woodford,Kentucky,21239,2055,2052,3
