,date,county,state,fips,cases,deaths
92017,2021-03-25,Acadia,Louisiana,22001,6250,188
92018,2021-03-25,Allen,Louisiana,22003,3073,91
92019,2021-03-25,Ascension,Louisiana,22005,11458,158
92020,2021-03-25,Assumption,Louisiana,22007,2130,35
92021,2021-03-25,Avoyelles,Louisiana,22009,3987,121
92022,2021-03-25,Beauregard,Louisiana,22011,2979,71
92023,2021-03-25,Bienville,Louisiana,22013,1626,79
92024,2021-03-25,Bossier,Louisiana,22015,13210,286
92025,2021-03-25,Caddo,Louisiana,22017,25056,716
92026,2021-03-25,Calcasieu,Louisiana,22019,20955,387
92027,2021-03-25,Caldwell,Louisiana,22021,1092,26
92028,2021-03-25,Cameron,Louisiana,22023,562,6
92029,2021-03-25,Catahoula,Louisiana,22025,1066,37
92030,2021-03-25,Claiborne,Louisiana,22027,1411,52
92031,2021-03-25,Concordia,Louisiana,22029,1816,60
92032,2021-03-25,De Soto,Louisiana,22031,2695,77
92033,2021-03-25,East Baton Rouge,Louisiana,22033,37116,767
92034,2021-03-25,East Carroll,Louisiana,22035,1120,24
92035,2021-03-25,East Feliciana,Louisiana,22037,3075,111
92036,2021-03-25,Evangeline,Louisiana,22039,3431,89
92037,2021-03-25,Franklin,Louisiana,22041,2459,104
92038,2021-03-25,Grant,Louisiana,22043,2059,52
92039,2021-03-25,Iberia,Louisiana,22045,6622,150
92040,2021-03-25,Iberville,Louisiana,22047,3666,95
92041,2021-03-25,Jackson,Louisiana,22049,1829,50
92042,2021-03-25,Jefferson,Louisiana,22051,44896,876
92043,2021-03-25,Jefferson Davis,Louisiana,22053,3016,88
92045,2021-03-25,Lafayette,Louisiana,22055,22178,269
92046,2021-03-25,Lafourche,Louisiana,22057,9338,198
92044,2021-03-25,LaSalle,Louisiana,22059,1450,35
92047,2021-03-25,Lincoln,Louisiana,22061,4296,91
92048,2021-03-25,Livingston,Louisiana,22063,12782,196
92049,2021-03-25,Madison,Louisiana,22065,1561,37
92050,2021-03-25,Morehouse,Louisiana,22067,2738,71
92051,2021-03-25,Natchitoches,Louisiana,22069,3927,82
92052,2021-03-25,Orleans,Louisiana,22071,29113,779
92053,2021-03-25,Ouachita,Louisiana,22073,17847,436
92054,2021-03-25,Plaquemines,Louisiana,22075,2433,25
92055,2021-03-25,Pointe Coupee,Louisiana,22077,2441,71
92056,2021-03-25,Rapides,Louisiana,22079,11551,305
92057,2021-03-25,Red River,Louisiana,22081,866,38
92058,2021-03-25,Richland,Louisiana,22083,2383,51
92059,2021-03-25,Sabine,Louisiana,22085,2843,56
92060,2021-03-25,St. Bernard,Louisiana,22087,3916,48
92061,2021-03-25,St. Charles,Louisiana,22089,5268,90
92062,2021-03-25,St. Helena,Louisiana,22091,892,9
92063,2021-03-25,St. James,Louisiana,22093,1891,49
92064,2021-03-25,St. John the Baptist,Louisiana,22095,3607,136
92065,2021-03-25,St. Landry,Louisiana,22097,8501,247
92066,2021-03-25,St. Martin,Louisiana,22099,4969,115
92067,2021-03-25,St. Mary,Louisiana,22101,4440,128
92068,2021-03-25,St. Tammany,Louisiana,22103,24919,513
92069,2021-03-25,Tangipahoa,Louisiana,22105,12253,285
92070,2021-03-25,Tensas,Louisiana,22107,357,7
92071,2021-03-25,Terrebonne,Louisiana,22109,9823,218
92072,2021-03-25,Union,Louisiana,22111,2329,77
92074,2021-03-25,Vermilion,Louisiana,22113,5075,110
92075,2021-03-25,Vernon,Louisiana,22115,2945,100
92076,2021-03-25,Washington,Louisiana,22117,4249,127
92077,2021-03-25,Webster,Louisiana,22119,3978,107
92078,2021-03-25,West Baton Rouge,Louisiana,22121,2618,56
92079,2021-03-25,West Carroll,Louisiana,22123,1165,41
92080,2021-03-25,West Feliciana,Louisiana,22125,1121,32
92081,2021-03-25,Winn,Louisiana,22127,1488,42
92073,2021-03-25,Unknown,Louisiana,,414,0
