,date,county,state,fips,cases,yest,diff
85592,2021-03-25,Androscoggin,Maine,23001,5163,5140,23
85593,2021-03-25,Aroostook,Maine,23003,1376,1371,5
85594,2021-03-25,Cumberland,Maine,23005,13692,13640,52
85595,2021-03-25,Franklin,Maine,23007,973,970,3
85596,2021-03-25,Hancock,Maine,23009,1012,1008,4
85597,2021-03-25,Kennebec,Maine,23011,4157,4145,12
85598,2021-03-25,Knox,Maine,23013,782,779,3
85599,2021-03-25,Lincoln,Maine,23015,639,632,7
85600,2021-03-25,Oxford,Maine,23017,2458,2438,20
85601,2021-03-25,Penobscot,Maine,23019,4463,4431,32
85602,2021-03-25,Piscataquis,Maine,23021,374,373,1
85603,2021-03-25,Sagadahoc,Maine,23023,954,950,4
85604,2021-03-25,Somerset,Maine,23025,1336,1328,8
85606,2021-03-25,Waldo,Maine,23027,683,680,3
85607,2021-03-25,Washington,Maine,23029,756,755,1
85608,2021-03-25,York,Maine,23031,10371,10331,40
85605,2021-03-25,Unknown,Maine,,1,1,0
