,0,1,2,3,4,5
95344,2021-03-25,Allegany,Maryland,24001,6477,202
95345,2021-03-25,Anne Arundel,Maryland,24003,38200,561
95346,2021-03-25,Baltimore,Maryland,24005,54519,1356
95348,2021-03-25,Calvert,Maryland,24009,3856,74
95349,2021-03-25,Caroline,Maryland,24011,2092,22
95350,2021-03-25,Carroll,Maryland,24013,8068,217
95351,2021-03-25,Cecil,Maryland,24015,5279,125
95352,2021-03-25,Charles,Maryland,24017,9558,170
95353,2021-03-25,Dorchester,Maryland,24019,2450,48
95354,2021-03-25,Frederick,Maryland,24021,17902,297
95355,2021-03-25,Garrett,Maryland,24023,1894,62
95356,2021-03-25,Harford,Maryland,24025,13554,255
95357,2021-03-25,Howard,Maryland,24027,16921,225
95358,2021-03-25,Kent,Maryland,24029,1216,44
95359,2021-03-25,Montgomery,Maryland,24031,66032,1463
95360,2021-03-25,Prince George's,Maryland,24033,76979,1378
95361,2021-03-25,Queen Anne's,Maryland,24035,2680,40
95363,2021-03-25,St. Mary's,Maryland,24037,5361,121
95362,2021-03-25,Somerset,Maryland,24039,2465,36
95364,2021-03-25,Talbot,Maryland,24041,1943,36
95366,2021-03-25,Washington,Maryland,24043,13001,262
95367,2021-03-25,Wicomico,Maryland,24045,7015,148
95368,2021-03-25,Worcester,Maryland,24047,3332,92
95347,2021-03-25,Baltimore city,Maryland,24510,43373,935
95365,2021-03-25,Unknown,Maryland,,0,48
