,0,1,2,3,4,5
95369,2021-03-25,Barnstable,Massachusetts,25001,11580,437
95370,2021-03-25,Berkshire,Massachusetts,25003,5297,271
95371,2021-03-25,Bristol,Massachusetts,25005,58784,1613
95372,2021-03-25,Dukes,Massachusetts,25007,906,0
95373,2021-03-25,Essex,Massachusetts,25009,87984,2271
95374,2021-03-25,Franklin,Massachusetts,25011,2143,105
95375,2021-03-25,Hampden,Massachusetts,25013,44806,1433
95376,2021-03-25,Hampshire,Massachusetts,25015,8158,279
95377,2021-03-25,Middlesex,Massachusetts,25017,119685,3609
95378,2021-03-25,Nantucket,Massachusetts,25019,1261,0
95379,2021-03-25,Norfolk,Massachusetts,25021,48920,1706
95380,2021-03-25,Plymouth,Massachusetts,25023,43222,1368
95381,2021-03-25,Suffolk,Massachusetts,25025,83023,1773
95383,2021-03-25,Worcester,Massachusetts,25027,69278,2133
95382,2021-03-25,Unknown,Massachusetts,,37179,12
