,0,1,2,3,4,5
95384,2021-03-25,Alcona,Michigan,26001,454,25
95385,2021-03-25,Alger,Michigan,26003,593,5
95386,2021-03-25,Allegan,Michigan,26005,7964,118
95387,2021-03-25,Alpena,Michigan,26007,1564,48
95388,2021-03-25,Antrim,Michigan,26009,1363,20
95389,2021-03-25,Arenac,Michigan,26011,785,26
95390,2021-03-25,Baraga,Michigan,26013,794,34
95391,2021-03-25,Barry,Michigan,26015,4065,50
95392,2021-03-25,Bay,Michigan,26017,8024,300
95393,2021-03-25,Benzie,Michigan,26019,982,32
95394,2021-03-25,Berrien,Michigan,26021,12502,250
95395,2021-03-25,Branch,Michigan,26023,4796,111
95396,2021-03-25,Calhoun,Michigan,26025,10768,245
95397,2021-03-25,Cass,Michigan,26027,4439,68
95398,2021-03-25,Charlevoix,Michigan,26029,1395,13
95399,2021-03-25,Cheboygan,Michigan,26031,1208,38
95400,2021-03-25,Chippewa,Michigan,26033,5040,46
95401,2021-03-25,Clare,Michigan,26035,1679,69
95402,2021-03-25,Clinton,Michigan,26037,5661,75
95403,2021-03-25,Crawford,Michigan,26039,675,5
95404,2021-03-25,Delta,Michigan,26041,3244,86
95405,2021-03-25,Dickinson,Michigan,26043,2418,71
95406,2021-03-25,Eaton,Michigan,26045,7095,160
95407,2021-03-25,Emmet,Michigan,26047,1950,39
95408,2021-03-25,Genesee,Michigan,26049,28745,774
95409,2021-03-25,Gladwin,Michigan,26051,1569,43
95410,2021-03-25,Gogebic,Michigan,26053,1316,49
95411,2021-03-25,Grand Traverse,Michigan,26055,4769,76
95412,2021-03-25,Gratiot,Michigan,26057,5788,109
95413,2021-03-25,Hillsdale,Michigan,26059,3582,79
95414,2021-03-25,Houghton,Michigan,26061,2797,39
95415,2021-03-25,Huron,Michigan,26063,2755,62
95416,2021-03-25,Ingham,Michigan,26065,18445,296
95417,2021-03-25,Ionia,Michigan,26067,7418,79
95418,2021-03-25,Iosco,Michigan,26069,1334,67
95419,2021-03-25,Iron,Michigan,26071,932,51
95420,2021-03-25,Isabella,Michigan,26073,4273,77
95421,2021-03-25,Jackson,Michigan,26075,15974,262
95422,2021-03-25,Kalamazoo,Michigan,26077,16661,327
95423,2021-03-25,Kalkaska,Michigan,26079,732,15
95424,2021-03-25,Kent,Michigan,26081,54841,733
95425,2021-03-25,Keweenaw,Michigan,26083,154,2
95426,2021-03-25,Lake,Michigan,26085,407,11
95427,2021-03-25,Lapeer,Michigan,26087,6468,136
95428,2021-03-25,Leelanau,Michigan,26089,973,15
95429,2021-03-25,Lenawee,Michigan,26091,8230,136
95430,2021-03-25,Livingston,Michigan,26093,11712,154
95431,2021-03-25,Luce,Michigan,26095,1104,2
95432,2021-03-25,Mackinac,Michigan,26097,475,3
95433,2021-03-25,Macomb,Michigan,26099,67879,2016
95434,2021-03-25,Manistee,Michigan,26101,1616,23
95435,2021-03-25,Marquette,Michigan,26103,4994,57
95436,2021-03-25,Mason,Michigan,26105,1314,27
95437,2021-03-25,Mecosta,Michigan,26107,2143,21
95438,2021-03-25,Menominee,Michigan,26109,1918,41
95439,2021-03-25,Midland,Michigan,26111,5439,66
95440,2021-03-25,Missaukee,Michigan,26113,1019,19
95441,2021-03-25,Monroe,Michigan,26115,10977,210
95442,2021-03-25,Montcalm,Michigan,26117,5911,97
95443,2021-03-25,Montmorency,Michigan,26119,386,18
95444,2021-03-25,Muskegon,Michigan,26121,13097,318
95445,2021-03-25,Newaygo,Michigan,26123,3228,54
95446,2021-03-25,Oakland,Michigan,26125,83444,2050
95447,2021-03-25,Oceana,Michigan,26127,1955,51
95448,2021-03-25,Ogemaw,Michigan,26129,1155,34
95449,2021-03-25,Ontonagon,Michigan,26131,430,21
95450,2021-03-25,Osceola,Michigan,26133,1225,23
95451,2021-03-25,Oscoda,Michigan,26135,426,20
95452,2021-03-25,Otsego,Michigan,26137,1804,28
95453,2021-03-25,Ottawa,Michigan,26139,23885,360
95454,2021-03-25,Presque Isle,Michigan,26141,716,28
95455,2021-03-25,Roscommon,Michigan,26143,1428,39
95456,2021-03-25,Saginaw,Michigan,26145,16920,542
95460,2021-03-25,St. Clair,Michigan,26147,10878,270
95461,2021-03-25,St. Joseph,Michigan,26149,5064,89
95457,2021-03-25,Sanilac,Michigan,26151,2698,82
95458,2021-03-25,Schoolcraft,Michigan,26153,276,5
95459,2021-03-25,Shiawassee,Michigan,26155,4225,84
95462,2021-03-25,Tuscola,Michigan,26157,3726,140
95464,2021-03-25,Van Buren,Michigan,26159,5398,98
95465,2021-03-25,Washtenaw,Michigan,26161,20778,257
95466,2021-03-25,Wayne,Michigan,26163,113003,4239
95467,2021-03-25,Wexford,Michigan,26165,1927,24
95463,2021-03-25,Unknown,Michigan,,0,12
