,date,county,state,fips,cases,deaths
92223,2021-03-25,Aitkin,Minnesota,27001,1207,36
92224,2021-03-25,Anoka,Minnesota,27003,34868,405
92225,2021-03-25,Becker,Minnesota,27005,3241,47
92226,2021-03-25,Beltrami,Minnesota,27007,3492,54
92227,2021-03-25,Benton,Minnesota,27009,4818,95
92228,2021-03-25,Big Stone,Minnesota,27011,537,4
92229,2021-03-25,Blue Earth,Minnesota,27013,6407,38
92230,2021-03-25,Brown,Minnesota,27015,2680,39
92231,2021-03-25,Carlton,Minnesota,27017,3092,51
92232,2021-03-25,Carver,Minnesota,27019,8589,41
92233,2021-03-25,Cass,Minnesota,27021,2283,26
92234,2021-03-25,Chippewa,Minnesota,27023,1417,35
92235,2021-03-25,Chisago,Minnesota,27025,5146,48
92236,2021-03-25,Clay,Minnesota,27027,7206,89
92237,2021-03-25,Clearwater,Minnesota,27029,732,14
92238,2021-03-25,Cook,Minnesota,27031,135,0
92239,2021-03-25,Cottonwood,Minnesota,27033,1434,20
92240,2021-03-25,Crow Wing,Minnesota,27035,5421,85
92241,2021-03-25,Dakota,Minnesota,27037,38523,408
92242,2021-03-25,Dodge,Minnesota,27039,1590,4
92243,2021-03-25,Douglas,Minnesota,27041,4097,70
92244,2021-03-25,Faribault,Minnesota,27043,1352,18
92245,2021-03-25,Fillmore,Minnesota,27045,1458,9
92246,2021-03-25,Freeborn,Minnesota,27047,3030,26
92247,2021-03-25,Goodhue,Minnesota,27049,4105,69
92248,2021-03-25,Grant,Minnesota,27051,510,8
92249,2021-03-25,Hennepin,Minnesota,27053,105974,1640
92250,2021-03-25,Houston,Minnesota,27055,1598,14
92251,2021-03-25,Hubbard,Minnesota,27057,1625,41
92252,2021-03-25,Isanti,Minnesota,27059,3247,58
92253,2021-03-25,Itasca,Minnesota,27061,3342,51
92254,2021-03-25,Jackson,Minnesota,27063,984,10
92255,2021-03-25,Kanabec,Minnesota,27065,1170,21
92256,2021-03-25,Kandiyohi,Minnesota,27067,5990,79
92257,2021-03-25,Kittson,Minnesota,27069,422,22
92258,2021-03-25,Koochiching,Minnesota,27071,656,11
92259,2021-03-25,Lac qui Parle,Minnesota,27073,710,21
92260,2021-03-25,Lake,Minnesota,27075,760,19
92261,2021-03-25,Lake of the Woods,Minnesota,27077,245,2
92262,2021-03-25,Le Sueur,Minnesota,27079,2493,22
92263,2021-03-25,Lincoln,Minnesota,27081,525,2
92264,2021-03-25,Lyon,Minnesota,27083,3252,46
92268,2021-03-25,McLeod,Minnesota,27085,3585,54
92265,2021-03-25,Mahnomen,Minnesota,27087,455,7
92266,2021-03-25,Marshall,Minnesota,27089,818,16
92267,2021-03-25,Martin,Minnesota,27091,2003,29
92269,2021-03-25,Meeker,Minnesota,27093,2153,36
92270,2021-03-25,Mille Lacs,Minnesota,27095,2457,47
92271,2021-03-25,Morrison,Minnesota,27097,3574,54
92272,2021-03-25,Mower,Minnesota,27099,4319,31
92273,2021-03-25,Murray,Minnesota,27101,970,8
92274,2021-03-25,Nicollet,Minnesota,27103,2780,42
92275,2021-03-25,Nobles,Minnesota,27105,3903,47
92276,2021-03-25,Norman,Minnesota,27107,492,9
92277,2021-03-25,Olmsted,Minnesota,27109,12232,93
92278,2021-03-25,Otter Tail,Minnesota,27111,5072,71
92279,2021-03-25,Pennington,Minnesota,27113,1469,18
92280,2021-03-25,Pine,Minnesota,27115,2932,20
92281,2021-03-25,Pipestone,Minnesota,27117,1042,24
92282,2021-03-25,Polk,Minnesota,27119,3497,65
92283,2021-03-25,Pope,Minnesota,27121,900,6
92284,2021-03-25,Ramsey,Minnesota,27123,44649,835
92285,2021-03-25,Red Lake,Minnesota,27125,371,5
92286,2021-03-25,Redwood,Minnesota,27127,1528,34
92287,2021-03-25,Renville,Minnesota,27129,1590,43
92288,2021-03-25,Rice,Minnesota,27131,7031,98
92289,2021-03-25,Rock,Minnesota,27133,1187,17
92290,2021-03-25,Roseau,Minnesota,27135,1852,18
92294,2021-03-25,St. Louis,Minnesota,27137,15500,289
92291,2021-03-25,Scott,Minnesota,27139,14322,110
92292,2021-03-25,Sherburne,Minnesota,27141,9323,77
92293,2021-03-25,Sibley,Minnesota,27143,1243,10
92295,2021-03-25,Stearns,Minnesota,27145,19518,209
92296,2021-03-25,Steele,Minnesota,27147,3277,11
92297,2021-03-25,Stevens,Minnesota,27149,771,9
92298,2021-03-25,Swift,Minnesota,27151,919,18
92299,2021-03-25,Todd,Minnesota,27153,2570,30
92300,2021-03-25,Traverse,Minnesota,27155,341,5
92302,2021-03-25,Wabasha,Minnesota,27157,1932,3
92303,2021-03-25,Wadena,Minnesota,27159,1358,20
92304,2021-03-25,Waseca,Minnesota,27161,2174,20
92305,2021-03-25,Washington,Minnesota,27163,22997,272
92306,2021-03-25,Watonwan,Minnesota,27165,1208,9
92307,2021-03-25,Wilkin,Minnesota,27167,718,11
92308,2021-03-25,Winona,Minnesota,27169,4276,49
92309,2021-03-25,Wright,Minnesota,27171,13225,120
92310,2021-03-25,Yellow Medicine,Minnesota,27173,1019,17
92301,2021-03-25,Unknown,Minnesota,,561,78
