,date,county,state,fips,cases,yest,diff
85821,2021-03-25,Adams,Mississippi,28001,2410,2408,2
85822,2021-03-25,Alcorn,Mississippi,28003,2948,2948,0
85823,2021-03-25,Amite,Mississippi,28005,1177,1172,5
85824,2021-03-25,Attala,Mississippi,28007,2125,2123,2
85825,2021-03-25,Benton,Mississippi,28009,960,959,1
85826,2021-03-25,Bolivar,Mississippi,28011,4732,4728,4
85827,2021-03-25,Calhoun,Mississippi,28013,1615,1615,0
85828,2021-03-25,Carroll,Mississippi,28015,1205,1204,1
85829,2021-03-25,Chickasaw,Mississippi,28017,2033,2032,1
85830,2021-03-25,Choctaw,Mississippi,28019,723,722,1
85831,2021-03-25,Claiborne,Mississippi,28021,1007,1005,2
85832,2021-03-25,Clarke,Mississippi,28023,1738,1737,1
85833,2021-03-25,Clay,Mississippi,28025,1814,1813,1
85834,2021-03-25,Coahoma,Mississippi,28027,2871,2870,1
85835,2021-03-25,Copiah,Mississippi,28029,2871,2870,1
85836,2021-03-25,Covington,Mississippi,28031,2529,2529,0
85837,2021-03-25,DeSoto,Mississippi,28033,20389,20349,40
85838,2021-03-25,Forrest,Mississippi,28035,7456,7452,4
85839,2021-03-25,Franklin,Mississippi,28037,801,799,2
85840,2021-03-25,George,Mississippi,28039,2360,2359,1
85841,2021-03-25,Greene,Mississippi,28041,1293,1293,0
85842,2021-03-25,Grenada,Mississippi,28043,2523,2522,1
85843,2021-03-25,Hancock,Mississippi,28045,3641,3636,5
85844,2021-03-25,Harrison,Mississippi,28047,17283,17263,20
85845,2021-03-25,Hinds,Mississippi,28049,19586,19559,27
85846,2021-03-25,Holmes,Mississippi,28051,1846,1845,1
85847,2021-03-25,Humphreys,Mississippi,28053,939,938,1
85848,2021-03-25,Issaquena,Mississippi,28055,168,168,0
85849,2021-03-25,Itawamba,Mississippi,28057,2939,2939,0
85850,2021-03-25,Jackson,Mississippi,28059,12977,12967,10
85851,2021-03-25,Jasper,Mississippi,28061,2183,2182,1
85852,2021-03-25,Jefferson,Mississippi,28063,638,637,1
85853,2021-03-25,Jefferson Davis,Mississippi,28065,1040,1040,0
85854,2021-03-25,Jones,Mississippi,28067,8226,8214,12
85855,2021-03-25,Kemper,Mississippi,28069,940,937,3
85856,2021-03-25,Lafayette,Mississippi,28071,5899,5892,7
85857,2021-03-25,Lamar,Mississippi,28073,6031,6030,1
85858,2021-03-25,Lauderdale,Mississippi,28075,7012,7001,11
85859,2021-03-25,Lawrence,Mississippi,28077,1244,1242,2
85860,2021-03-25,Leake,Mississippi,28079,2591,2588,3
85861,2021-03-25,Lee,Mississippi,28081,9795,9793,2
85862,2021-03-25,Leflore,Mississippi,28083,3453,3450,3
85863,2021-03-25,Lincoln,Mississippi,28085,3827,3819,8
85864,2021-03-25,Lowndes,Mississippi,28087,6214,6213,1
85865,2021-03-25,Madison,Mississippi,28089,9775,9757,18
85866,2021-03-25,Marion,Mississippi,28091,2636,2635,1
85867,2021-03-25,Marshall,Mississippi,28093,4205,4202,3
85868,2021-03-25,Monroe,Mississippi,28095,4039,4038,1
85869,2021-03-25,Montgomery,Mississippi,28097,1249,1249,0
85870,2021-03-25,Neshoba,Mississippi,28099,3943,3939,4
85871,2021-03-25,Newton,Mississippi,28101,2408,2405,3
85872,2021-03-25,Noxubee,Mississippi,28103,1249,1249,0
85873,2021-03-25,Oktibbeha,Mississippi,28105,4508,4506,2
85874,2021-03-25,Panola,Mississippi,28107,4408,4408,0
85875,2021-03-25,Pearl River,Mississippi,28109,4362,4356,6
85876,2021-03-25,Perry,Mississippi,28111,1244,1243,1
85877,2021-03-25,Pike,Mississippi,28113,3130,3129,1
85878,2021-03-25,Pontotoc,Mississippi,28115,4147,4147,0
85879,2021-03-25,Prentiss,Mississippi,28117,2740,2739,1
85880,2021-03-25,Quitman,Mississippi,28119,786,785,1
85881,2021-03-25,Rankin,Mississippi,28121,13170,13141,29
85882,2021-03-25,Scott,Mississippi,28123,3053,3047,6
85883,2021-03-25,Sharkey,Mississippi,28125,493,493,0
85884,2021-03-25,Simpson,Mississippi,28127,2845,2844,1
85885,2021-03-25,Smith,Mississippi,28129,1571,1567,4
85886,2021-03-25,Stone,Mississippi,28131,1766,1765,1
85887,2021-03-25,Sunflower,Mississippi,28133,3258,3255,3
85888,2021-03-25,Tallahatchie,Mississippi,28135,1741,1740,1
85889,2021-03-25,Tate,Mississippi,28137,3178,3176,2
85890,2021-03-25,Tippah,Mississippi,28139,2824,2824,0
85891,2021-03-25,Tishomingo,Mississippi,28141,2185,2182,3
85892,2021-03-25,Tunica,Mississippi,28143,1017,1016,1
85893,2021-03-25,Union,Mississippi,28145,4001,4000,1
85894,2021-03-25,Walthall,Mississippi,28147,1292,1288,4
85895,2021-03-25,Warren,Mississippi,28149,4229,4222,7
85896,2021-03-25,Washington,Mississippi,28151,5262,5260,2
85897,2021-03-25,Wayne,Mississippi,28153,2602,2600,2
85898,2021-03-25,Webster,Mississippi,28155,1131,1130,1
85899,2021-03-25,Wilkinson,Mississippi,28157,637,637,0
85900,2021-03-25,Winston,Mississippi,28159,2249,2245,4
85901,2021-03-25,Yalobusha,Mississippi,28161,1540,1535,5
85902,2021-03-25,Yazoo,Mississippi,28163,3017,3009,8
