,date,county,state,fips,cases,deaths
92393,2021-03-25,Adair,Missouri,29001,2384,20
92394,2021-03-25,Andrew,Missouri,29003,1861,18
92395,2021-03-25,Atchison,Missouri,29005,439,6
92396,2021-03-25,Audrain,Missouri,29007,2757,57
92397,2021-03-25,Barry,Missouri,29009,2883,45
92398,2021-03-25,Barton,Missouri,29011,1164,13
92399,2021-03-25,Bates,Missouri,29013,1306,27
92400,2021-03-25,Benton,Missouri,29015,1652,29
92401,2021-03-25,Bollinger,Missouri,29017,1127,12
92402,2021-03-25,Boone,Missouri,29019,17857,86
92403,2021-03-25,Buchanan,Missouri,29021,10200,179
92404,2021-03-25,Butler,Missouri,29023,4123,38
92405,2021-03-25,Caldwell,Missouri,29025,763,11
92406,2021-03-25,Callaway,Missouri,29027,4887,46
92407,2021-03-25,Camden,Missouri,29029,4000,84
92408,2021-03-25,Cape Girardeau,Missouri,29031,9359,133
92409,2021-03-25,Carroll,Missouri,29033,1056,23
92410,2021-03-25,Carter,Missouri,29035,544,9
92411,2021-03-25,Cass,Missouri,29037,8892,98
92412,2021-03-25,Cedar,Missouri,29039,1090,20
92413,2021-03-25,Chariton,Missouri,29041,664,6
92414,2021-03-25,Christian,Missouri,29043,8627,86
92415,2021-03-25,Clark,Missouri,29045,663,7
92416,2021-03-25,Clay,Missouri,29047,9885,158
92417,2021-03-25,Clinton,Missouri,29049,2031,65
92418,2021-03-25,Cole,Missouri,29051,9012,119
92419,2021-03-25,Cooper,Missouri,29053,1897,27
92420,2021-03-25,Crawford,Missouri,29055,2442,35
92421,2021-03-25,Dade,Missouri,29057,711,31
92422,2021-03-25,Dallas,Missouri,29059,1251,26
92423,2021-03-25,Daviess,Missouri,29061,734,11
92424,2021-03-25,DeKalb,Missouri,29063,1147,30
92425,2021-03-25,Dent,Missouri,29065,909,17
92426,2021-03-25,Douglas,Missouri,29067,895,27
92427,2021-03-25,Dunklin,Missouri,29069,2730,19
92428,2021-03-25,Franklin,Missouri,29071,10315,176
92429,2021-03-25,Gasconade,Missouri,29073,1556,43
92430,2021-03-25,Gentry,Missouri,29075,834,20
92431,2021-03-25,Greene,Missouri,29077,28240,450
92432,2021-03-25,Grundy,Missouri,29079,1008,34
92433,2021-03-25,Harrison,Missouri,29081,922,14
92434,2021-03-25,Henry,Missouri,29083,1999,38
92435,2021-03-25,Hickory,Missouri,29085,643,14
92436,2021-03-25,Holt,Missouri,29087,424,11
92437,2021-03-25,Howard,Missouri,29089,1057,7
92438,2021-03-25,Howell,Missouri,29091,3463,43
92439,2021-03-25,Iron,Missouri,29093,902,5
92440,2021-03-25,Jackson,Missouri,29095,37024,406
92441,2021-03-25,Jasper,Missouri,29097,9345,126
92442,2021-03-25,Jefferson,Missouri,29099,21864,232
92443,2021-03-25,Johnson,Missouri,29101,4911,48
92446,2021-03-25,Knox,Missouri,29103,370,2
92447,2021-03-25,Laclede,Missouri,29105,3249,67
92448,2021-03-25,Lafayette,Missouri,29107,3065,56
92449,2021-03-25,Lawrence,Missouri,29109,3395,79
92450,2021-03-25,Lewis,Missouri,29111,987,12
92451,2021-03-25,Lincoln,Missouri,29113,5485,39
92452,2021-03-25,Linn,Missouri,29115,1203,12
92453,2021-03-25,Livingston,Missouri,29117,1722,39
92458,2021-03-25,McDonald,Missouri,29119,2549,32
92454,2021-03-25,Macon,Missouri,29121,1542,15
92455,2021-03-25,Madison,Missouri,29123,1614,16
92456,2021-03-25,Maries,Missouri,29125,617,8
92457,2021-03-25,Marion,Missouri,29127,3501,42
92459,2021-03-25,Mercer,Missouri,29129,303,2
92460,2021-03-25,Miller,Missouri,29131,2504,53
92461,2021-03-25,Mississippi,Missouri,29133,1427,27
92462,2021-03-25,Moniteau,Missouri,29135,1772,29
92463,2021-03-25,Monroe,Missouri,29137,1012,11
92464,2021-03-25,Montgomery,Missouri,29139,1022,10
92465,2021-03-25,Morgan,Missouri,29141,1705,42
92466,2021-03-25,New Madrid,Missouri,29143,2093,42
92467,2021-03-25,Newton,Missouri,29145,5226,73
92468,2021-03-25,Nodaway,Missouri,29147,2641,25
92469,2021-03-25,Oregon,Missouri,29149,849,3
92470,2021-03-25,Osage,Missouri,29151,1614,14
92471,2021-03-25,Ozark,Missouri,29153,673,16
92472,2021-03-25,Pemiscot,Missouri,29155,1543,29
92473,2021-03-25,Perry,Missouri,29157,2153,29
92474,2021-03-25,Pettis,Missouri,29159,5059,77
92475,2021-03-25,Phelps,Missouri,29161,3669,126
92476,2021-03-25,Pike,Missouri,29163,1782,23
92477,2021-03-25,Platte,Missouri,29165,4031,45
