,date,county,state,fips,cases,yest,diff
86020,2021-03-25,Beaverhead,Montana,30001,890,888,2
86021,2021-03-25,Big Horn,Montana,30003,2451,2452,-1
86022,2021-03-25,Blaine,Montana,30005,729,729,0
86023,2021-03-25,Broadwater,Montana,30007,428,428,0
86024,2021-03-25,Carbon,Montana,30009,850,850,0
86025,2021-03-25,Carter,Montana,30011,146,146,0
86026,2021-03-25,Cascade,Montana,30013,8409,8401,8
86027,2021-03-25,Chouteau,Montana,30015,494,493,1
86028,2021-03-25,Custer,Montana,30017,1162,1159,3
86029,2021-03-25,Daniels,Montana,30019,197,197,0
86030,2021-03-25,Dawson,Montana,30021,1100,1099,1
86031,2021-03-25,Deer Lodge,Montana,30023,1059,1059,0
86032,2021-03-25,Fallon,Montana,30025,278,278,0
86033,2021-03-25,Fergus,Montana,30027,1084,1084,0
86034,2021-03-25,Flathead,Montana,30029,11357,11354,3
86035,2021-03-25,Gallatin,Montana,30031,13011,12944,67
86036,2021-03-25,Garfield,Montana,30033,78,78,0
86037,2021-03-25,Glacier,Montana,30035,1521,1527,-6
86038,2021-03-25,Golden Valley,Montana,30037,53,53,0
86039,2021-03-25,Granite,Montana,30039,189,189,0
86040,2021-03-25,Hill,Montana,30041,1939,1939,0
86041,2021-03-25,Jefferson,Montana,30043,1045,1043,2
86042,2021-03-25,Judith Basin,Montana,30045,88,88,0
86043,2021-03-25,Lake,Montana,30047,1973,1973,0
86044,2021-03-25,Lewis and Clark,Montana,30049,6535,6528,7
86045,2021-03-25,Liberty,Montana,30051,117,117,0
86046,2021-03-25,Lincoln,Montana,30053,1542,1535,7
86048,2021-03-25,McCone,Montana,30055,182,182,0
86047,2021-03-25,Madison,Montana,30057,723,723,0
86049,2021-03-25,Meagher,Montana,30059,125,125,0
86050,2021-03-25,Mineral,Montana,30061,250,250,0
86051,2021-03-25,Missoula,Montana,30063,8619,8604,15
86052,2021-03-25,Musselshell,Montana,30065,319,319,0
86053,2021-03-25,Park,Montana,30067,1175,1175,0
86054,2021-03-25,Petroleum,Montana,30069,12,12,0
86055,2021-03-25,Phillips,Montana,30071,517,516,1
86056,2021-03-25,Pondera,Montana,30073,457,457,0
86057,2021-03-25,Powder River,Montana,30075,118,118,0
86058,2021-03-25,Powell,Montana,30077,898,896,2
86059,2021-03-25,Prairie,Montana,30079,132,132,0
86060,2021-03-25,Ravalli,Montana,30081,2847,2840,7
86061,2021-03-25,Richland,Montana,30083,1092,1092,0
86062,2021-03-25,Roosevelt,Montana,30085,1586,1583,3
86063,2021-03-25,Rosebud,Montana,30087,1187,1187,0
86064,2021-03-25,Sanders,Montana,30089,599,599,0
86065,2021-03-25,Sheridan,Montana,30091,410,408,2
86066,2021-03-25,Silver Bow,Montana,30093,3932,3920,12
86067,2021-03-25,Stillwater,Montana,30095,708,708,0
86068,2021-03-25,Sweet Grass,Montana,30097,379,379,0
86069,2021-03-25,Teton,Montana,30099,438,436,2
86070,2021-03-25,Toole,Montana,30101,708,707,1
86071,2021-03-25,Treasure,Montana,30103,55,55,0
86072,2021-03-25,Valley,Montana,30105,865,863,2
86073,2021-03-25,Wheatland,Montana,30107,175,175,0
86074,2021-03-25,Wibaux,Montana,30109,119,119,0
86075,2021-03-25,Yellowstone,Montana,30111,16609,16585,24
