,date,county,state,fips,cases,yest,diff
86076,2021-03-25,Adams,Nebraska,31001,2785,2783,2
86077,2021-03-25,Antelope,Nebraska,31003,486,485,1
86078,2021-03-25,Arthur,Nebraska,31005,22,22,0
86079,2021-03-25,Banner,Nebraska,31007,35,35,0
86080,2021-03-25,Blaine,Nebraska,31009,20,20,0
86081,2021-03-25,Boone,Nebraska,31011,538,537,1
86082,2021-03-25,Box Butte,Nebraska,31013,922,921,1
86083,2021-03-25,Boyd,Nebraska,31015,174,174,0
86084,2021-03-25,Brown,Nebraska,31017,216,216,0
86085,2021-03-25,Buffalo,Nebraska,31019,5239,5230,9
86086,2021-03-25,Burt,Nebraska,31021,646,646,0
86087,2021-03-25,Butler,Nebraska,31023,844,844,0
86088,2021-03-25,Cass,Nebraska,31025,2411,2407,4
86089,2021-03-25,Cedar,Nebraska,31027,747,748,-1
86090,2021-03-25,Chase,Nebraska,31029,456,452,4
86091,2021-03-25,Cherry,Nebraska,31031,272,272,0
86092,2021-03-25,Cheyenne,Nebraska,31033,916,913,3
86093,2021-03-25,Clay,Nebraska,31035,673,674,-1
86094,2021-03-25,Colfax,Nebraska,31037,1560,1561,-1
86095,2021-03-25,Cuming,Nebraska,31039,1007,1005,2
86096,2021-03-25,Custer,Nebraska,31041,839,840,-1
86097,2021-03-25,Dakota,Nebraska,31043,3977,3977,0
86098,2021-03-25,Dawes,Nebraska,31045,722,721,1
86099,2021-03-25,Dawson,Nebraska,31047,2835,2831,4
86100,2021-03-25,Deuel,Nebraska,31049,100,100,0
86101,2021-03-25,Dixon,Nebraska,31051,589,584,5
86102,2021-03-25,Dodge,Nebraska,31053,4741,4736,5
86103,2021-03-25,Douglas,Nebraska,31055,65907,65768,139
86104,2021-03-25,Dundy,Nebraska,31057,178,178,0
86105,2021-03-25,Fillmore,Nebraska,31059,482,482,0
86106,2021-03-25,Franklin,Nebraska,31061,236,236,0
86107,2021-03-25,Frontier,Nebraska,31063,189,188,1
86108,2021-03-25,Furnas,Nebraska,31065,496,496,0
86109,2021-03-25,Gage,Nebraska,31067,2130,2128,2
86110,2021-03-25,Garden,Nebraska,31069,111,111,0
86111,2021-03-25,Garfield,Nebraska,31071,144,144,0
86112,2021-03-25,Gosper,Nebraska,31073,180,180,0
86113,2021-03-25,Grant,Nebraska,31075,38,38,0
86114,2021-03-25,Greeley,Nebraska,31077,207,208,-1
86115,2021-03-25,Hall,Nebraska,31079,7540,7540,0
86116,2021-03-25,Hamilton,Nebraska,31081,906,906,0
86117,2021-03-25,Harlan,Nebraska,31083,211,212,-1
86118,2021-03-25,Hayes,Nebraska,31085,57,57,0
86119,2021-03-25,Hitchcock,Nebraska,31087,253,252,1
86120,2021-03-25,Holt,Nebraska,31089,798,798,0
86121,2021-03-25,Hooker,Nebraska,31091,52,52,0
86122,2021-03-25,Howard,Nebraska,31093,531,529,2
86123,2021-03-25,Jefferson,Nebraska,31095,629,628,1
86124,2021-03-25,Johnson,Nebraska,31097,635,636,-1
86125,2021-03-25,Kearney,Nebraska,31099,671,671,0
86126,2021-03-25,Keith,Nebraska,31101,697,696,1
86127,2021-03-25,Keya Paha,Nebraska,31103,51,51,0
86128,2021-03-25,Kimball,Nebraska,31105,413,413,0
86129,2021-03-25,Knox,Nebraska,31107,854,854,0
86130,2021-03-25,Lancaster,Nebraska,31109,29344,29292,52
86131,2021-03-25,Lincoln,Nebraska,31111,3631,3629,2
86132,2021-03-25,Logan,Nebraska,31113,78,78,0
86133,2021-03-25,Loup,Nebraska,31115,40,40,0
86135,2021-03-25,McPherson,Nebraska,31117,29,29,0
86134,2021-03-25,Madison,Nebraska,31119,4437,4437,0
86136,2021-03-25,Merrick,Nebraska,31121,752,752,0
