,date,county,state,fips,cases,yest,diff
86170,2021-03-25,Churchill,Nevada,32001,1953,1953,0
86171,2021-03-25,Clark,Nevada,32003,233305,233110,195
86172,2021-03-25,Douglas,Nevada,32005,2653,2629,24
86173,2021-03-25,Elko,Nevada,32007,4656,4649,7
86174,2021-03-25,Esmeralda,Nevada,32009,38,38,0
86175,2021-03-25,Eureka,Nevada,32011,50,50,0
86176,2021-03-25,Humboldt,Nevada,32013,1078,1078,0
86177,2021-03-25,Lander,Nevada,32015,444,444,0
86178,2021-03-25,Lincoln,Nevada,32017,354,354,0
86179,2021-03-25,Lyon,Nevada,32019,2902,2858,44
86180,2021-03-25,Mineral,Nevada,32021,305,305,0
86181,2021-03-25,Nye,Nevada,32023,2865,2865,0
86182,2021-03-25,Pershing,Nevada,32027,943,943,0
86183,2021-03-25,Storey,Nevada,32029,88,87,1
86184,2021-03-25,Washoe,Nevada,32031,43883,43806,77
86185,2021-03-25,White Pine,Nevada,32033,558,558,0
86169,2021-03-25,Carson City,Nevada,32510,6134,6035,99
