,date,county,state,fips,cases,deaths
92687,2021-03-25,Atlantic,New Jersey,34001,27475,604
92688,2021-03-25,Bergen,New Jersey,34003,88162,2706
92689,2021-03-25,Burlington,New Jersey,34005,38780,785
92690,2021-03-25,Camden,New Jersey,34007,47701,1215
92691,2021-03-25,Cape May,New Jersey,34009,8006,193
92692,2021-03-25,Cumberland,New Jersey,34011,15136,397
92693,2021-03-25,Essex,New Jersey,34013,82264,2773
92694,2021-03-25,Gloucester,New Jersey,34015,26259,574
92695,2021-03-25,Hudson,New Jersey,34017,77390,2098
92696,2021-03-25,Hunterdon,New Jersey,34019,7929,169
92697,2021-03-25,Mercer,New Jersey,34021,30152,907
92698,2021-03-25,Middlesex,New Jersey,34023,80900,2188
92699,2021-03-25,Monmouth,New Jersey,34025,65718,1479
92700,2021-03-25,Morris,New Jersey,34027,43480,1168
92701,2021-03-25,Ocean,New Jersey,34029,66291,1981
92702,2021-03-25,Passaic,New Jersey,34031,62571,1773
92703,2021-03-25,Salem,New Jersey,34033,5100,168
92704,2021-03-25,Somerset,New Jersey,34035,25789,803
92705,2021-03-25,Sussex,New Jersey,34037,10882,282
92706,2021-03-25,Union,New Jersey,34039,62496,1843
92708,2021-03-25,Warren,New Jersey,34041,8157,224
92707,2021-03-25,Unknown,New Jersey,,1242,0
