,date,county,state,fips,cases,yest,diff
86219,2021-03-25,Bernalillo,New Mexico,35001,54322,54237,85
86220,2021-03-25,Catron,New Mexico,35003,83,83,0
86221,2021-03-25,Chaves,New Mexico,35005,8943,8938,5
86222,2021-03-25,Cibola,New Mexico,35006,3454,3454,0
86223,2021-03-25,Colfax,New Mexico,35007,869,869,0
86224,2021-03-25,Curry,New Mexico,35009,5025,5018,7
86225,2021-03-25,De Baca,New Mexico,35011,133,133,0
86226,2021-03-25,Doña Ana,New Mexico,35013,23900,23875,25
86227,2021-03-25,Eddy,New Mexico,35015,6644,6636,8
86228,2021-03-25,Grant,New Mexico,35017,1595,1594,1
86229,2021-03-25,Guadalupe,New Mexico,35019,622,620,2
86230,2021-03-25,Harding,New Mexico,35021,9,9,0
86231,2021-03-25,Hidalgo,New Mexico,35023,352,352,0
86232,2021-03-25,Lea,New Mexico,35025,8935,8934,1
86233,2021-03-25,Lincoln,New Mexico,35027,1581,1578,3
86234,2021-03-25,Los Alamos,New Mexico,35028,495,495,0
86235,2021-03-25,Luna,New Mexico,35029,3215,3209,6
86236,2021-03-25,McKinley,New Mexico,35031,12124,12117,7
86237,2021-03-25,Mora,New Mexico,35033,168,168,0
86238,2021-03-25,Otero,New Mexico,35035,4675,4675,0
86239,2021-03-25,Quay,New Mexico,35037,426,426,0
86240,2021-03-25,Rio Arriba,New Mexico,35039,3457,3452,5
86241,2021-03-25,Roosevelt,New Mexico,35041,1863,1863,0
86244,2021-03-25,Sandoval,New Mexico,35043,11259,11233,26
86242,2021-03-25,San Juan,New Mexico,35045,13668,13661,7
86243,2021-03-25,San Miguel,New Mexico,35047,1312,1312,0
86245,2021-03-25,Santa Fe,New Mexico,35049,10020,10010,10
86246,2021-03-25,Sierra,New Mexico,35051,712,713,-1
86247,2021-03-25,Socorro,New Mexico,35053,1239,1237,2
86248,2021-03-25,Taos,New Mexico,35055,1605,1603,2
86249,2021-03-25,Torrance,New Mexico,35057,720,719,1
86250,2021-03-25,Union,New Mexico,35059,411,411,0
86251,2021-03-25,Valencia,New Mexico,35061,6655,6641,14
