,0,1,2,3,4,5
95987,2021-03-25,Albany,New York,36001,22214,339
95988,2021-03-25,Allegany,New York,36003,2995,82
95989,2021-03-25,Broome,New York,36007,16295,342
95990,2021-03-25,Cattaraugus,New York,36009,4699,79
95991,2021-03-25,Cayuga,New York,36011,5557,90
95992,2021-03-25,Chautauqua,New York,36013,7792,130
95993,2021-03-25,Chemung,New York,36015,6705,131
95994,2021-03-25,Chenango,New York,36017,2700,72
95995,2021-03-25,Clinton,New York,36019,4061,30
95996,2021-03-25,Columbia,New York,36021,3623,97
95997,2021-03-25,Cortland,New York,36023,3363,60
95998,2021-03-25,Delaware,New York,36025,1834,34
95999,2021-03-25,Dutchess,New York,36027,25282,422
96000,2021-03-25,Erie,New York,36029,71439,1644
96001,2021-03-25,Essex,New York,36031,1428,26
96002,2021-03-25,Franklin,New York,36033,2270,12
96003,2021-03-25,Fulton,New York,36035,3680,85
96004,2021-03-25,Genesee,New York,36037,4709,121
96005,2021-03-25,Greene,New York,36039,2896,73
96006,2021-03-25,Hamilton,New York,36041,292,2
96007,2021-03-25,Herkimer,New York,36043,4727,107
96008,2021-03-25,Jefferson,New York,36045,5153,63
96009,2021-03-25,Lewis,New York,36049,2242,33
96010,2021-03-25,Livingston,New York,36051,3756,58
96011,2021-03-25,Madison,New York,36053,4029,85
96012,2021-03-25,Monroe,New York,36055,55675,1014
96013,2021-03-25,Montgomery,New York,36057,3470,111
96014,2021-03-25,Nassau,New York,36059,163785,3029
96016,2021-03-25,Niagara,New York,36063,16186,326
96017,2021-03-25,Oneida,New York,36065,20604,492
96018,2021-03-25,Onondaga,New York,36067,33805,650
96019,2021-03-25,Ontario,New York,36069,6210,90
96020,2021-03-25,Orange,New York,36071,41840,665
96021,2021-03-25,Orleans,New York,36073,2559,82
96022,2021-03-25,Oswego,New York,36075,6484,89
96023,2021-03-25,Otsego,New York,36077,2787,45
96024,2021-03-25,Putnam,New York,36079,9218,89
96025,2021-03-25,Rensselaer,New York,36083,9777,133
96026,2021-03-25,Rockland,New York,36087,42556,713
96032,2021-03-25,St. Lawrence,New York,36089,5865,94
96027,2021-03-25,Saratoga,New York,36091,13034,154
96028,2021-03-25,Schenectady,New York,36093,11586,186
96029,2021-03-25,Schoharie,New York,36095,1376,13
96030,2021-03-25,Schuyler,New York,36097,906,12
96031,2021-03-25,Seneca,New York,36099,1768,56
96033,2021-03-25,Steuben,New York,36101,5813,140
96034,2021-03-25,Suffolk,New York,36103,178077,3217
96035,2021-03-25,Sullivan,New York,36105,5336,64
96036,2021-03-25,Tioga,New York,36107,3055,56
96037,2021-03-25,Tompkins,New York,36109,3777,48
96038,2021-03-25,Ulster,New York,36111,11528,236
96039,2021-03-25,Warren,New York,36113,3099,55
96040,2021-03-25,Washington,New York,36115,2582,54
96041,2021-03-25,Wayne,New York,36117,4742,66
96042,2021-03-25,Westchester,New York,36119,117067,2182
96043,2021-03-25,Wyoming,New York,36121,3031,49
96044,2021-03-25,Yates,New York,36123,1048,26
96015,2021-03-25,New York City,New York,,821215,30852
