,date,county,state,fips,cases,yest,diff
86310,2021-03-25,Alamance,North Carolina,37001,16602,16541,61
86311,2021-03-25,Alexander,North Carolina,37003,4075,4050,25
86312,2021-03-25,Alleghany,North Carolina,37005,938,937,1
86313,2021-03-25,Anson,North Carolina,37007,2412,2410,2
86314,2021-03-25,Ashe,North Carolina,37009,1947,1946,1
86315,2021-03-25,Avery,North Carolina,37011,1957,1955,2
86316,2021-03-25,Beaufort,North Carolina,37013,4432,4420,12
86317,2021-03-25,Bertie,North Carolina,37015,1692,1691,1
86318,2021-03-25,Bladen,North Carolina,37017,3085,3080,5
86319,2021-03-25,Brunswick,North Carolina,37019,8473,8443,30
86320,2021-03-25,Buncombe,North Carolina,37021,16253,16229,24
86321,2021-03-25,Burke,North Carolina,37023,9498,9488,10
86322,2021-03-25,Cabarrus,North Carolina,37025,19444,19395,49
86323,2021-03-25,Caldwell,North Carolina,37027,8905,8891,14
86324,2021-03-25,Camden,North Carolina,37029,620,619,1
86325,2021-03-25,Carteret,North Carolina,37031,4642,4632,10
86326,2021-03-25,Caswell,North Carolina,37033,2047,2044,3
86327,2021-03-25,Catawba,North Carolina,37035,18079,18056,23
86328,2021-03-25,Chatham,North Carolina,37037,4314,4306,8
86329,2021-03-25,Cherokee,North Carolina,37039,2214,2210,4
86330,2021-03-25,Chowan,North Carolina,37041,1392,1392,0
86331,2021-03-25,Clay,North Carolina,37043,678,677,1
86332,2021-03-25,Cleveland,North Carolina,37045,10778,10766,12
86333,2021-03-25,Columbus,North Carolina,37047,6096,6082,14
86334,2021-03-25,Craven,North Carolina,37049,8796,8771,25
86335,2021-03-25,Cumberland,North Carolina,37051,25489,25420,69
86336,2021-03-25,Currituck,North Carolina,37053,1450,1442,8
86337,2021-03-25,Dare,North Carolina,37055,1959,1951,8
86338,2021-03-25,Davidson,North Carolina,37057,15154,15126,28
86339,2021-03-25,Davie,North Carolina,37059,3740,3732,8
86340,2021-03-25,Duplin,North Carolina,37061,5922,5904,18
86341,2021-03-25,Durham,North Carolina,37063,23396,23396,0
86342,2021-03-25,Edgecombe,North Carolina,37065,4927,4908,19
86343,2021-03-25,Forsyth,North Carolina,37067,33100,33038,62
86344,2021-03-25,Franklin,North Carolina,37069,5893,5877,16
86345,2021-03-25,Gaston,North Carolina,37071,24611,24573,38
86346,2021-03-25,Gates,North Carolina,37073,700,697,3
86347,2021-03-25,Graham,North Carolina,37075,569,569,0
86348,2021-03-25,Granville,North Carolina,37077,5510,5496,14
86349,2021-03-25,Greene,North Carolina,37079,2179,2179,0
86350,2021-03-25,Guilford,North Carolina,37081,42188,42025,163
86351,2021-03-25,Halifax,North Carolina,37083,5136,5122,14
86352,2021-03-25,Harnett,North Carolina,37085,10299,10254,45
86353,2021-03-25,Haywood,North Carolina,37087,3981,3969,12
86354,2021-03-25,Henderson,North Carolina,37089,9438,9419,19
86355,2021-03-25,Hertford,North Carolina,37091,1995,1993,2
86356,2021-03-25,Hoke,North Carolina,37093,4311,4302,9
86357,2021-03-25,Hyde,North Carolina,37095,629,630,-1
86358,2021-03-25,Iredell,North Carolina,37097,17246,17209,37
86359,2021-03-25,Jackson,North Carolina,37099,3468,3465,3
86360,2021-03-25,Johnston,North Carolina,37101,19130,19065,65
86361,2021-03-25,Jones,North Carolina,37103,770,769,1
86362,2021-03-25,Lee,North Carolina,37105,5621,5611,10
86363,2021-03-25,Lenoir,North Carolina,37107,5625,5618,7
86364,2021-03-25,Lincoln,North Carolina,37109,9191,9178,13
86368,2021-03-25,McDowell,North Carolina,37111,5016,5009,7
86365,2021-03-25,Macon,North Carolina,37113,2664,2656,8
86366,2021-03-25,Madison,North Carolina,37115,1438,1435,3
86367,2021-03-25,Martin,North Carolina,37117,2137,2132,5
86369,2021-03-25,Mecklenburg,North Carolina,37119,101328,101063,265
86370,2021-03-25,Mitchell,North Carolina,37121,1294,1290,4
86371,2021-03-25,Montgomery,North Carolina,37123,3188,3186,2
86372,2021-03-25,Moore,North Carolina,37125,8315,8282,33
86373,2021-03-25,Nash,North Carolina,37127,10350,10311,39
86374,2021-03-25,New Hanover,North Carolina,37129,17242,17177,65
86375,2021-03-25,Northampton,North Carolina,37131,1772,1769,3
86376,2021-03-25,Onslow,North Carolina,37133,15258,15231,27
86377,2021-03-25,Orange,North Carolina,37135,7987,7961,26
86378,2021-03-25,Pamlico,North Carolina,37137,1028,1024,4
86379,2021-03-25,Pasquotank,North Carolina,37139,3164,3159,5
86380,2021-03-25,Pender,North Carolina,37141,4973,4957,16
86381,2021-03-25,Perquimans,North Carolina,37143,940,940,0
86382,2021-03-25,Person,North Carolina,37145,3175,3166,9
86383,2021-03-25,Pitt,North Carolina,37147,18088,18064,24
86384,2021-03-25,Polk,North Carolina,37149,1397,1393,4
86385,2021-03-25,Randolph,North Carolina,37151,14069,14036,33
86386,2021-03-25,Richmond,North Carolina,37153,4331,4323,8
86387,2021-03-25,Robeson,North Carolina,37155,15627,15614,13
86388,2021-03-25,Rockingham,North Carolina,37157,7041,7030,11
86389,2021-03-25,Rowan,North Carolina,37159,15514,15481,33
86390,2021-03-25,Rutherford,North Carolina,37161,6915,6908,7
86391,2021-03-25,Sampson,North Carolina,37163,7308,7288,20
86392,2021-03-25,Scotland,North Carolina,37165,3555,3554,1
86393,2021-03-25,Stanly,North Carolina,37167,7200,7182,18
86394,2021-03-25,Stokes,North Carolina,37169,3750,3747,3
86395,2021-03-25,Surry,North Carolina,37171,7604,7595,9
86396,2021-03-25,Swain,North Carolina,37173,1182,1182,0
86397,2021-03-25,Transylvania,North Carolina,37175,2017,2010,7
86398,2021-03-25,Tyrrell,North Carolina,37177,308,308,0
86399,2021-03-25,Union,North Carolina,37179,22062,21977,85
86400,2021-03-25,Vance,North Carolina,37181,4583,4569,14
86401,2021-03-25,Wake,North Carolina,37183,84222,84021,201
86402,2021-03-25,Warren,North Carolina,37185,1679,1677,2
86403,2021-03-25,Washington,North Carolina,37187,1013,1010,3
86404,2021-03-25,Watauga,North Carolina,37189,4199,4183,16
86405,2021-03-25,Wayne,North Carolina,37191,10489,10476,13
86406,2021-03-25,Wilkes,North Carolina,37193,6258,6254,4
86407,2021-03-25,Wilson,North Carolina,37195,8905,8880,25
86408,2021-03-25,Yadkin,North Carolina,37197,3783,3781,2
86409,2021-03-25,Yancey,North Carolina,37199,1504,1500,4
