,0,1,2,3,4,5
96145,2021-03-25,Adams,North Dakota,38001,267,3
96146,2021-03-25,Barnes,North Dakota,38003,1319,31
96147,2021-03-25,Benson,North Dakota,38005,1035,18
96148,2021-03-25,Billings,North Dakota,38007,53,0
96149,2021-03-25,Bottineau,North Dakota,38009,700,20
96150,2021-03-25,Bowman,North Dakota,38011,400,5
96151,2021-03-25,Burke,North Dakota,38013,229,1
96152,2021-03-25,Burleigh,North Dakota,38015,14828,187
96153,2021-03-25,Cass,North Dakota,38017,22247,197
96154,2021-03-25,Cavalier,North Dakota,38019,423,5
96155,2021-03-25,Dickey,North Dakota,38021,759,32
96156,2021-03-25,Divide,North Dakota,38023,173,2
96157,2021-03-25,Dunn,North Dakota,38025,369,7
96158,2021-03-25,Eddy,North Dakota,38027,461,6
96159,2021-03-25,Emmons,North Dakota,38029,409,13
96160,2021-03-25,Foster,North Dakota,38031,571,19
96161,2021-03-25,Golden Valley,North Dakota,38033,253,2
96162,2021-03-25,Grand Forks,North Dakota,38035,9990,76
96163,2021-03-25,Grant,North Dakota,38037,187,7
96164,2021-03-25,Griggs,North Dakota,38039,308,2
96165,2021-03-25,Hettinger,North Dakota,38041,322,4
96166,2021-03-25,Kidder,North Dakota,38043,256,10
96167,2021-03-25,LaMoure,North Dakota,38045,504,17
96168,2021-03-25,Logan,North Dakota,38047,220,8
96169,2021-03-25,McHenry,North Dakota,38049,613,22
96170,2021-03-25,McIntosh,North Dakota,38051,324,7
96171,2021-03-25,McKenzie,North Dakota,38053,1188,12
96172,2021-03-25,McLean,North Dakota,38055,1233,30
96173,2021-03-25,Mercer,North Dakota,38057,1091,9
96174,2021-03-25,Morton,North Dakota,38059,4989,98
96175,2021-03-25,Mountrail,North Dakota,38061,1282,17
96176,2021-03-25,Nelson,North Dakota,38063,456,14
96177,2021-03-25,Oliver,North Dakota,38065,154,3
96178,2021-03-25,Pembina,North Dakota,38067,778,11
96179,2021-03-25,Pierce,North Dakota,38069,531,25
96180,2021-03-25,Ramsey,North Dakota,38071,1655,30
96181,2021-03-25,Ransom,North Dakota,38073,628,17
96182,2021-03-25,Renville,North Dakota,38075,311,13
96183,2021-03-25,Richland,North Dakota,38077,1866,17
96184,2021-03-25,Rolette,North Dakota,38079,2132,28
96185,2021-03-25,Sargent,North Dakota,38081,441,6
96186,2021-03-25,Sheridan,North Dakota,38083,105,2
96187,2021-03-25,Sioux,North Dakota,38085,642,11
96188,2021-03-25,Slope,North Dakota,38087,32,0
96189,2021-03-25,Stark,North Dakota,38089,4519,50
96190,2021-03-25,Steele,North Dakota,38091,174,2
96191,2021-03-25,Stutsman,North Dakota,38093,3322,79
96192,2021-03-25,Towner,North Dakota,38095,302,11
96193,2021-03-25,Traill,North Dakota,38097,1005,18
96195,2021-03-25,Walsh,North Dakota,38099,1786,24
96196,2021-03-25,Ward,North Dakota,38101,9331,192
96197,2021-03-25,Wells,North Dakota,38103,435,8
96198,2021-03-25,Williams,North Dakota,38105,4590,37
96194,2021-03-25,Unknown,North Dakota,,32,32
