,date,county,state,fips,cases,yest,diff
86466,2021-03-25,Adams,Ohio,39001,2225,2222,3
86467,2021-03-25,Allen,Ohio,39003,10961,10947,14
86468,2021-03-25,Ashland,Ohio,39005,3977,3973,4
86469,2021-03-25,Ashtabula,Ohio,39007,6155,6144,11
86470,2021-03-25,Athens,Ohio,39009,4779,4769,10
86471,2021-03-25,Auglaize,Ohio,39011,4620,4619,1
86472,2021-03-25,Belmont,Ohio,39013,5237,5220,17
86473,2021-03-25,Brown,Ohio,39015,3801,3797,4
86474,2021-03-25,Butler,Ohio,39017,36743,36701,42
86475,2021-03-25,Carroll,Ohio,39019,1854,1852,2
86476,2021-03-25,Champaign,Ohio,39021,3041,3036,5
86477,2021-03-25,Clark,Ohio,39023,12895,12857,38
86478,2021-03-25,Clermont,Ohio,39025,18951,18937,14
86479,2021-03-25,Clinton,Ohio,39027,3514,3514,0
86480,2021-03-25,Columbiana,Ohio,39029,8313,8306,7
86481,2021-03-25,Coshocton,Ohio,39031,2518,2514,4
86482,2021-03-25,Crawford,Ohio,39033,3734,3730,4
86483,2021-03-25,Cuyahoga,Ohio,39035,100504,100328,176
86484,2021-03-25,Darke,Ohio,39037,5118,5112,6
86485,2021-03-25,Defiance,Ohio,39039,3843,3834,9
86486,2021-03-25,Delaware,Ohio,39041,17153,17112,41
86487,2021-03-25,Erie,Ohio,39043,7172,7160,12
86488,2021-03-25,Fairfield,Ohio,39045,15016,14995,21
86489,2021-03-25,Fayette,Ohio,39047,2735,2732,3
86490,2021-03-25,Franklin,Ohio,39049,116365,116117,248
86491,2021-03-25,Fulton,Ohio,39051,3909,3904,5
86492,2021-03-25,Gallia,Ohio,39053,2275,2272,3
86493,2021-03-25,Geauga,Ohio,39055,6266,6260,6
86494,2021-03-25,Greene,Ohio,39057,13967,13947,20
86495,2021-03-25,Guernsey,Ohio,39059,2974,2972,2
86496,2021-03-25,Hamilton,Ohio,39061,75773,75684,89
86497,2021-03-25,Hancock,Ohio,39063,6241,6217,24
86498,2021-03-25,Hardin,Ohio,39065,2555,2551,4
86499,2021-03-25,Harrison,Ohio,39067,1029,1029,0
86500,2021-03-25,Henry,Ohio,39069,2542,2539,3
86501,2021-03-25,Highland,Ohio,39071,3395,3392,3
86502,2021-03-25,Hocking,Ohio,39073,2020,2018,2
86503,2021-03-25,Holmes,Ohio,39075,2483,2483,0
86504,2021-03-25,Huron,Ohio,39077,5078,5063,15
86505,2021-03-25,Jackson,Ohio,39079,2973,2971,2
86506,2021-03-25,Jefferson,Ohio,39081,4975,4969,6
86507,2021-03-25,Knox,Ohio,39083,4176,4163,13
86508,2021-03-25,Lake,Ohio,39085,19040,19021,19
86509,2021-03-25,Lawrence,Ohio,39087,5362,5360,2
86510,2021-03-25,Licking,Ohio,39089,15514,15494,20
86511,2021-03-25,Logan,Ohio,39091,3642,3642,0
86512,2021-03-25,Lorain,Ohio,39093,22915,22883,32
86513,2021-03-25,Lucas,Ohio,39095,37167,37090,77
86514,2021-03-25,Madison,Ohio,39097,4044,4043,1
86515,2021-03-25,Mahoning,Ohio,39099,20024,19989,35
86516,2021-03-25,Marion,Ohio,39101,8172,8165,7
86517,2021-03-25,Medina,Ohio,39103,14145,14128,17
86518,2021-03-25,Meigs,Ohio,39105,1375,1373,2
86519,2021-03-25,Mercer,Ohio,39107,4633,4631,2
86520,2021-03-25,Miami,Ohio,39109,10262,10256,6
86521,2021-03-25,Monroe,Ohio,39111,1239,1235,4
86522,2021-03-25,Montgomery,Ohio,39113,48349,48319,30
86523,2021-03-25,Morgan,Ohio,39115,1038,1037,1
86524,2021-03-25,Morrow,Ohio,39117,2671,2671,0
86525,2021-03-25,Muskingum,Ohio,39119,8427,8415,12
86526,2021-03-25,Noble,Ohio,39121,1307,1306,1
86527,2021-03-25,Ottawa,Ohio,39123,3365,3354,11
86528,2021-03-25,Paulding,Ohio,39125,1650,1650,0
86529,2021-03-25,Perry,Ohio,39127,2788,2786,2
86530,2021-03-25,Pickaway,Ohio,39129,8252,8245,7
86531,2021-03-25,Pike,Ohio,39131,2231,2227,4
86532,2021-03-25,Portage,Ohio,39133,11606,11584,22
86533,2021-03-25,Preble,Ohio,39135,3608,3604,4
86534,2021-03-25,Putnam,Ohio,39137,4054,4052,2
86535,2021-03-25,Richland,Ohio,39139,10604,10594,10
86536,2021-03-25,Ross,Ohio,39141,6369,6356,13
86537,2021-03-25,Sandusky,Ohio,39143,4913,4910,3
86538,2021-03-25,Scioto,Ohio,39145,6161,6150,11
86539,2021-03-25,Seneca,Ohio,39147,4892,4888,4
86540,2021-03-25,Shelby,Ohio,39149,4478,4471,7
86541,2021-03-25,Stark,Ohio,39151,30340,30298,42
86542,2021-03-25,Summit,Ohio,39153,42461,42375,86
86543,2021-03-25,Trumbull,Ohio,39155,14839,14819,20
86544,2021-03-25,Tuscarawas,Ohio,39157,8224,8217,7
86545,2021-03-25,Union,Ohio,39159,5355,5344,11
86547,2021-03-25,Van Wert,Ohio,39161,2330,2330,0
86548,2021-03-25,Vinton,Ohio,39163,785,783,2
86549,2021-03-25,Warren,Ohio,39165,23166,23144,22
86550,2021-03-25,Washington,Ohio,39167,4950,4937,13
86551,2021-03-25,Wayne,Ohio,39169,8192,8175,17
86552,2021-03-25,Williams,Ohio,39171,3095,3094,1
86553,2021-03-25,Wood,Ohio,39173,12083,12064,19
86554,2021-03-25,Wyandot,Ohio,39175,2199,2199,0
86546,2021-03-25,Unknown,Ohio,,0,0,0
