,date,county,state,fips,cases,yest,diff
86555,2021-03-25,Adair,Oklahoma,40001,3151,3151,0
86556,2021-03-25,Alfalfa,Oklahoma,40003,1151,1151,0
86557,2021-03-25,Atoka,Oklahoma,40005,1838,1838,0
86558,2021-03-25,Beaver,Oklahoma,40007,455,455,0
86559,2021-03-25,Beckham,Oklahoma,40009,2843,2843,0
86560,2021-03-25,Blaine,Oklahoma,40011,1013,1013,0
86561,2021-03-25,Bryan,Oklahoma,40013,6020,6020,0
86562,2021-03-25,Caddo,Oklahoma,40015,3901,3901,0
86563,2021-03-25,Canadian,Oklahoma,40017,16337,16337,0
86564,2021-03-25,Carter,Oklahoma,40019,5884,5884,0
86565,2021-03-25,Cherokee,Oklahoma,40021,5521,5521,0
86566,2021-03-25,Choctaw,Oklahoma,40023,1598,1598,0
86567,2021-03-25,Cimarron,Oklahoma,40025,203,203,0
86568,2021-03-25,Cleveland,Oklahoma,40027,29546,29546,0
86569,2021-03-25,Coal,Oklahoma,40029,687,687,0
86570,2021-03-25,Comanche,Oklahoma,40031,12821,12821,0
86571,2021-03-25,Cotton,Oklahoma,40033,662,662,0
86572,2021-03-25,Craig,Oklahoma,40035,1932,1932,0
86573,2021-03-25,Creek,Oklahoma,40037,6725,6725,0
86574,2021-03-25,Custer,Oklahoma,40039,4053,4053,0
86575,2021-03-25,Delaware,Oklahoma,40041,4502,4502,0
86576,2021-03-25,Dewey,Oklahoma,40043,540,540,0
86577,2021-03-25,Ellis,Oklahoma,40045,353,353,0
86578,2021-03-25,Garfield,Oklahoma,40047,7672,7672,0
86579,2021-03-25,Garvin,Oklahoma,40049,3521,3521,0
86580,2021-03-25,Grady,Oklahoma,40051,5778,5778,0
86581,2021-03-25,Grant,Oklahoma,40053,547,547,0
86582,2021-03-25,Greer,Oklahoma,40055,570,570,0
86583,2021-03-25,Harmon,Oklahoma,40057,302,302,0
86584,2021-03-25,Harper,Oklahoma,40059,409,409,0
86585,2021-03-25,Haskell,Oklahoma,40061,1238,1238,0
86586,2021-03-25,Hughes,Oklahoma,40063,1196,1196,0
86587,2021-03-25,Jackson,Oklahoma,40065,2999,2999,0
86588,2021-03-25,Jefferson,Oklahoma,40067,679,679,0
86589,2021-03-25,Johnston,Oklahoma,40069,1357,1357,0
86590,2021-03-25,Kay,Oklahoma,40071,5209,5209,0
86591,2021-03-25,Kingfisher,Oklahoma,40073,2018,2018,0
86592,2021-03-25,Kiowa,Oklahoma,40075,804,804,0
86593,2021-03-25,Latimer,Oklahoma,40077,828,828,0
86594,2021-03-25,Le Flore,Oklahoma,40079,5486,5486,0
86595,2021-03-25,Lincoln,Oklahoma,40081,3138,3138,0
86596,2021-03-25,Logan,Oklahoma,40083,4109,4109,0
86597,2021-03-25,Love,Oklahoma,40085,1450,1450,0
86601,2021-03-25,McClain,Oklahoma,40087,5127,5127,0
86602,2021-03-25,McCurtain,Oklahoma,40089,3876,3876,0
86603,2021-03-25,McIntosh,Oklahoma,40091,1960,1960,0
86598,2021-03-25,Major,Oklahoma,40093,949,949,0
86599,2021-03-25,Marshall,Oklahoma,40095,1947,1947,0
86600,2021-03-25,Mayes,Oklahoma,40097,4102,4102,0
86604,2021-03-25,Murray,Oklahoma,40099,1954,1954,0
86605,2021-03-25,Muskogee,Oklahoma,40101,9214,9214,0
86606,2021-03-25,Noble,Oklahoma,40103,1369,1369,0
86607,2021-03-25,Nowata,Oklahoma,40105,1123,1123,0
86608,2021-03-25,Okfuskee,Oklahoma,40107,1774,1774,0
86609,2021-03-25,Oklahoma,Oklahoma,40109,83161,83161,0
86610,2021-03-25,Okmulgee,Oklahoma,40111,3666,3666,0
86611,2021-03-25,Osage,Oklahoma,40113,4552,4552,0
86612,2021-03-25,Ottawa,Oklahoma,40115,3735,3735,0
86613,2021-03-25,Pawnee,Oklahoma,40117,1747,1747,0
86614,2021-03-25,Payne,Oklahoma,40119,8531,8531,0
86615,2021-03-25,Pittsburg,Oklahoma,40121,4568,4568,0
86616,2021-03-25,Pontotoc,Oklahoma,40123,5019,5019,0
86617,2021-03-25,Pottawatomie,Oklahoma,40125,8082,8082,0
86618,2021-03-25,Pushmataha,Oklahoma,40127,1003,1003,0
86619,2021-03-25,Roger Mills,Oklahoma,40129,386,386,0
86620,2021-03-25,Rogers,Oklahoma,40131,10147,10147,0
86621,2021-03-25,Seminole,Oklahoma,40133,2803,2803,0
86622,2021-03-25,Sequoyah,Oklahoma,40135,4030,4030,0
86623,2021-03-25,Stephens,Oklahoma,40137,4747,4747,0
86624,2021-03-25,Texas,Oklahoma,40139,3479,3479,0
86625,2021-03-25,Tillman,Oklahoma,40141,772,772,0
86626,2021-03-25,Tulsa,Oklahoma,40143,72378,72378,0
86628,2021-03-25,Wagoner,Oklahoma,40145,7826,7826,0
86629,2021-03-25,Washington,Oklahoma,40147,4992,4992,0
86630,2021-03-25,Washita,Oklahoma,40149,1064,1064,0
86631,2021-03-25,Woods,Oklahoma,40151,1196,1196,0
86632,2021-03-25,Woodward,Oklahoma,40153,3119,3119,0
86627,2021-03-25,Unknown,Oklahoma,,1060,691,369
