,date,county,state,fips,cases,yest,diff
86633,2021-03-25,Baker,Oregon,41001,718,708,10
86634,2021-03-25,Benton,Oregon,41003,2520,2519,1
86635,2021-03-25,Clackamas,Oregon,41005,14027,13986,41
86636,2021-03-25,Clatsop,Oregon,41007,825,816,9
86637,2021-03-25,Columbia,Oregon,41009,1328,1321,7
86638,2021-03-25,Coos,Oregon,41011,1830,1818,12
86639,2021-03-25,Crook,Oregon,41013,799,798,1
86640,2021-03-25,Curry,Oregon,41015,533,527,6
86641,2021-03-25,Deschutes,Oregon,41017,6244,6223,21
86642,2021-03-25,Douglas,Oregon,41019,2816,2803,13
86643,2021-03-25,Gilliam,Oregon,41021,54,54,0
86644,2021-03-25,Grant,Oregon,41023,266,266,0
86645,2021-03-25,Harney,Oregon,41025,283,283,0
86646,2021-03-25,Hood River,Oregon,41027,1080,1079,1
86647,2021-03-25,Jackson,Oregon,41029,9056,9033,23
86648,2021-03-25,Jefferson,Oregon,41031,2006,2006,0
86649,2021-03-25,Josephine,Oregon,41033,2714,2691,23
86650,2021-03-25,Klamath,Oregon,41035,2936,2927,9
86651,2021-03-25,Lake,Oregon,41037,399,396,3
86652,2021-03-25,Lane,Oregon,41039,10636,10620,16
86653,2021-03-25,Lincoln,Oregon,41041,1192,1188,4
86654,2021-03-25,Linn,Oregon,41043,3768,3751,17
86655,2021-03-25,Malheur,Oregon,41045,3389,3388,1
86656,2021-03-25,Marion,Oregon,41047,19206,19157,49
86657,2021-03-25,Morrow,Oregon,41049,1055,1055,0
86658,2021-03-25,Multnomah,Oregon,41051,32930,32866,64
86659,2021-03-25,Polk,Oregon,41053,3175,3167,8
86660,2021-03-25,Sherman,Oregon,41055,53,53,0
86661,2021-03-25,Tillamook,Oregon,41057,481,477,4
86662,2021-03-25,Umatilla,Oregon,41059,7844,7833,11
86663,2021-03-25,Union,Oregon,41061,1355,1354,1
86664,2021-03-25,Wallowa,Oregon,41063,145,145,0
86665,2021-03-25,Wasco,Oregon,41065,1240,1237,3
86666,2021-03-25,Washington,Oregon,41067,22055,22002,53
86667,2021-03-25,Wheeler,Oregon,41069,25,25,0
86668,2021-03-25,Yamhill,Oregon,41071,3895,3889,6
