,date,county,state,fips,cases,deaths
93159,2021-03-25,Adams,Pennsylvania,42001,7862,158
93160,2021-03-25,Allegheny,Pennsylvania,42003,83225,1793
93161,2021-03-25,Armstrong,Pennsylvania,42005,5097,119
93162,2021-03-25,Beaver,Pennsylvania,42007,12927,356
93163,2021-03-25,Bedford,Pennsylvania,42009,3931,130
93164,2021-03-25,Berks,Pennsylvania,42011,38848,924
93165,2021-03-25,Blair,Pennsylvania,42013,10997,312
93166,2021-03-25,Bradford,Pennsylvania,42015,4679,83
93167,2021-03-25,Bucks,Pennsylvania,42017,49342,1174
93168,2021-03-25,Butler,Pennsylvania,42019,14902,383
93169,2021-03-25,Cambria,Pennsylvania,42021,12132,402
93170,2021-03-25,Cameron,Pennsylvania,42023,273,6
93171,2021-03-25,Carbon,Pennsylvania,42025,5245,157
93172,2021-03-25,Centre,Pennsylvania,42027,14136,213
93173,2021-03-25,Chester,Pennsylvania,42029,33091,750
93174,2021-03-25,Clarion,Pennsylvania,42031,2795,88
93175,2021-03-25,Clearfield,Pennsylvania,42033,6949,128
93176,2021-03-25,Clinton,Pennsylvania,42035,3017,57
93177,2021-03-25,Columbia,Pennsylvania,42037,4863,125
93178,2021-03-25,Crawford,Pennsylvania,42039,6627,143
93179,2021-03-25,Cumberland,Pennsylvania,42041,17638,493
93180,2021-03-25,Dauphin,Pennsylvania,42043,21918,515
93181,2021-03-25,Delaware,Pennsylvania,42045,43647,1332
93182,2021-03-25,Elk,Pennsylvania,42047,2483,36
93183,2021-03-25,Erie,Pennsylvania,42049,18439,392
93184,2021-03-25,Fayette,Pennsylvania,42051,11031,286
93185,2021-03-25,Forest,Pennsylvania,42053,1392,21
93186,2021-03-25,Franklin,Pennsylvania,42055,13251,338
93187,2021-03-25,Fulton,Pennsylvania,42057,1175,15
93188,2021-03-25,Greene,Pennsylvania,42059,2796,36
93189,2021-03-25,Huntingdon,Pennsylvania,42061,4512,126
93190,2021-03-25,Indiana,Pennsylvania,42063,5274,160
93191,2021-03-25,Jefferson,Pennsylvania,42065,2938,91
93192,2021-03-25,Juniata,Pennsylvania,42067,1884,81
93193,2021-03-25,Lackawanna,Pennsylvania,42069,15148,432
93194,2021-03-25,Lancaster,Pennsylvania,42071,46758,1075
93195,2021-03-25,Lawrence,Pennsylvania,42073,6471,194
93196,2021-03-25,Lebanon,Pennsylvania,42075,13581,264
93197,2021-03-25,Lehigh,Pennsylvania,42077,33159,803
93198,2021-03-25,Luzerne,Pennsylvania,42079,26479,757
93199,2021-03-25,Lycoming,Pennsylvania,42081,9953,261
93200,2021-03-25,McKean,Pennsylvania,42083,3138,65
93201,2021-03-25,Mercer,Pennsylvania,42085,8447,246
93202,2021-03-25,Mifflin,Pennsylvania,42087,4729,175
93203,2021-03-25,Monroe,Pennsylvania,42089,10988,283
93204,2021-03-25,Montgomery,Pennsylvania,42091,58282,1598
93205,2021-03-25,Montour,Pennsylvania,42093,1808,60
93206,2021-03-25,Northampton,Pennsylvania,42095,29543,673
93207,2021-03-25,Northumberland,Pennsylvania,42097,8405,332
93208,2021-03-25,Perry,Pennsylvania,42099,3127,88
93209,2021-03-25,Philadelphia,Pennsylvania,42101,127137,3252
93210,2021-03-25,Pike,Pennsylvania,42103,3003,50
93211,2021-03-25,Potter,Pennsylvania,42105,975,22
93212,2021-03-25,Schuylkill,Pennsylvania,42107,12635,379
93213,2021-03-25,Snyder,Pennsylvania,42109,3241,82
93214,2021-03-25,Somerset,Pennsylvania,42111,6899,186
93215,2021-03-25,Sullivan,Pennsylvania,42113,339,20
93216,2021-03-25,Susquehanna,Pennsylvania,42115,1900,53
93217,2021-03-25,Tioga,Pennsylvania,42117,2555,95
93218,2021-03-25,Union,Pennsylvania,42119,5412,84
93219,2021-03-25,Venango,Pennsylvania,42121,3496,90
93220,2021-03-25,Warren,Pennsylvania,42123,2258,98
93221,2021-03-25,Washington,Pennsylvania,42125,14687,273
93222,2021-03-25,Wayne,Pennsylvania,42127,3297,70
93223,2021-03-25,Westmoreland,Pennsylvania,42129,28494,701
93224,2021-03-25,Wyoming,Pennsylvania,42131,1323,42
93225,2021-03-25,York,Pennsylvania,42133,38521,746
