,date,county,state,fips,cases,deaths
93226,2021-03-25,Adjuntas,Puerto Rico,72001,472,
93227,2021-03-25,Aguada,Puerto Rico,72003,1249,
93228,2021-03-25,Aguadilla,Puerto Rico,72005,1590,
93229,2021-03-25,Aguas Buenas,Puerto Rico,72007,1057,
93230,2021-03-25,Aibonito,Puerto Rico,72009,610,
93231,2021-03-25,Anasco,Puerto Rico,72011,841,
93232,2021-03-25,Arecibo,Puerto Rico,72013,2990,
93233,2021-03-25,Arroyo,Puerto Rico,72015,359,
93234,2021-03-25,Barceloneta,Puerto Rico,72017,757,
93235,2021-03-25,Barranquitas,Puerto Rico,72019,1337,
93236,2021-03-25,Bayamon,Puerto Rico,72021,10408,
93237,2021-03-25,Cabo Rojo,Puerto Rico,72023,946,
93238,2021-03-25,Caguas,Puerto Rico,72025,5884,
93239,2021-03-25,Camuy,Puerto Rico,72027,1166,
93240,2021-03-25,Canovanas,Puerto Rico,72029,1842,
93241,2021-03-25,Carolina,Puerto Rico,72031,8218,
93242,2021-03-25,Catano,Puerto Rico,72033,1237,
93243,2021-03-25,Cayey,Puerto Rico,72035,1346,
93244,2021-03-25,Ceiba,Puerto Rico,72037,413,
93245,2021-03-25,Ciales,Puerto Rico,72039,774,
93246,2021-03-25,Cidra,Puerto Rico,72041,1245,
93247,2021-03-25,Coamo,Puerto Rico,72043,978,
93248,2021-03-25,Comerio,Puerto Rico,72045,707,
93249,2021-03-25,Corozal,Puerto Rico,72047,1659,
93250,2021-03-25,Culebra,Puerto Rico,72049,28,
93251,2021-03-25,Dorado,Puerto Rico,72051,2201,
93252,2021-03-25,Fajardo,Puerto Rico,72053,1304,
93253,2021-03-25,Florida,Puerto Rico,72054,695,
93254,2021-03-25,Guanica,Puerto Rico,72055,258,
93255,2021-03-25,Guayama,Puerto Rico,72057,882,
93256,2021-03-25,Guayanilla,Puerto Rico,72059,451,
93257,2021-03-25,Guaynabo,Puerto Rico,72061,4492,
93258,2021-03-25,Gurabo,Puerto Rico,72063,1938,
93259,2021-03-25,Hatillo,Puerto Rico,72065,1133,
93260,2021-03-25,Hormigueros,Puerto Rico,72067,431,
93261,2021-03-25,Humacao,Puerto Rico,72069,1741,
93262,2021-03-25,Isabela,Puerto Rico,72071,1256,
93263,2021-03-25,Jayuya,Puerto Rico,72073,424,
93264,2021-03-25,Juana Diaz,Puerto Rico,72075,1178,
93265,2021-03-25,Juncos,Puerto Rico,72077,1835,
93266,2021-03-25,Lajas,Puerto Rico,72079,430,
93267,2021-03-25,Lares,Puerto Rico,72081,893,
93268,2021-03-25,Las Marias,Puerto Rico,72083,209,
93269,2021-03-25,Las Piedras,Puerto Rico,72085,1501,
93270,2021-03-25,Loiza,Puerto Rico,72087,1034,
93271,2021-03-25,Luquillo,Puerto Rico,72089,678,
93272,2021-03-25,Manati,Puerto Rico,72091,1580,
93273,2021-03-25,Maricao,Puerto Rico,72093,117,
93274,2021-03-25,Maunabo,Puerto Rico,72095,325,
93275,2021-03-25,Mayaguez,Puerto Rico,72097,2025,
93276,2021-03-25,Moca,Puerto Rico,72099,1408,
93277,2021-03-25,Morovis,Puerto Rico,72101,1366,
93278,2021-03-25,Naguabo,Puerto Rico,72103,826,
93279,2021-03-25,Naranjito,Puerto Rico,72105,1629,
93280,2021-03-25,Orocovis,Puerto Rico,72107,901,
93281,2021-03-25,Patillas,Puerto Rico,72109,383,
93282,2021-03-25,Penuelas,Puerto Rico,72111,551,
93283,2021-03-25,Ponce,Puerto Rico,72113,3268,
93284,2021-03-25,Quebradillas,Puerto Rico,72115,754,
93285,2021-03-25,Rincon,Puerto Rico,72117,465,
93286,2021-03-25,Rio Grande,Puerto Rico,72119,1847,
93287,2021-03-25,Sabana Grande,Puerto Rico,72121,424,
93288,2021-03-25,Salinas,Puerto Rico,72123,1048,
93289,2021-03-25,San German,Puerto Rico,72125,624,
93290,2021-03-25,San Juan,Puerto Rico,72127,18538,
93291,2021-03-25,San Lorenzo,Puerto Rico,72129,1557,
93292,2021-03-25,San Sebastian,Puerto Rico,72131,1684,
93293,2021-03-25,Santa Isabel,Puerto Rico,72133,583,
93294,2021-03-25,Toa Alta,Puerto Rico,72135,3829,
93295,2021-03-25,Toa Baja,Puerto Rico,72137,3956,
93296,2021-03-25,Trujillo Alto,Puerto Rico,72139,2972,
93298,2021-03-25,Utuado,Puerto Rico,72141,888,
93299,2021-03-25,Vega Alta,Puerto Rico,72143,1847,
93300,2021-03-25,Vega Baja,Puerto Rico,72145,2757,
93301,2021-03-25,Vieques,Puerto Rico,72147,199,
93302,2021-03-25,Villalba,Puerto Rico,72149,787,
93303,2021-03-25,Yabucoa,Puerto Rico,72151,1055,
93304,2021-03-25,Yauco,Puerto Rico,72153,1017,
93297,2021-03-25,Unknown,Puerto Rico,,4554,2106
