,0,1,2,3,4,5
96602,2021-03-25,Aurora,South Dakota,46003,457,15
96603,2021-03-25,Beadle,South Dakota,46005,2851,40
96604,2021-03-25,Bennett,South Dakota,46007,386,9
96605,2021-03-25,Bon Homme,South Dakota,46009,1514,26
96606,2021-03-25,Brookings,South Dakota,46011,3750,37
96607,2021-03-25,Brown,South Dakota,46013,5258,91
96608,2021-03-25,Brule,South Dakota,46015,699,9
96609,2021-03-25,Buffalo,South Dakota,46017,423,13
96610,2021-03-25,Butte,South Dakota,46019,1006,20
96611,2021-03-25,Campbell,South Dakota,46021,131,4
96612,2021-03-25,Charles Mix,South Dakota,46023,1337,21
96613,2021-03-25,Clark,South Dakota,46025,403,5
96614,2021-03-25,Clay,South Dakota,46027,1852,15
96615,2021-03-25,Codington,South Dakota,46029,4174,79
96616,2021-03-25,Corson,South Dakota,46031,475,12
96617,2021-03-25,Custer,South Dakota,46033,776,12
96618,2021-03-25,Davison,South Dakota,46035,3059,67
96619,2021-03-25,Day,South Dakota,46037,683,29
96620,2021-03-25,Deuel,South Dakota,46039,489,8
96621,2021-03-25,Dewey,South Dakota,46041,1435,26
96622,2021-03-25,Douglas,South Dakota,46043,442,9
96623,2021-03-25,Edmunds,South Dakota,46045,490,13
96624,2021-03-25,Fall River,South Dakota,46047,561,15
96625,2021-03-25,Faulk,South Dakota,46049,363,13
96626,2021-03-25,Grant,South Dakota,46051,1005,40
96627,2021-03-25,Gregory,South Dakota,46053,571,30
96628,2021-03-25,Haakon,South Dakota,46055,260,10
96629,2021-03-25,Hamlin,South Dakota,46057,738,38
96630,2021-03-25,Hand,South Dakota,46059,354,6
96631,2021-03-25,Hanson,South Dakota,46061,376,4
96632,2021-03-25,Harding,South Dakota,46063,92,1
96633,2021-03-25,Hughes,South Dakota,46065,2353,36
96634,2021-03-25,Hutchinson,South Dakota,46067,811,26
96635,2021-03-25,Hyde,South Dakota,46069,138,1
96636,2021-03-25,Jackson,South Dakota,46071,284,14
96637,2021-03-25,Jerauld,South Dakota,46073,275,16
96638,2021-03-25,Jones,South Dakota,46075,91,0
96639,2021-03-25,Kingsbury,South Dakota,46077,695,14
96640,2021-03-25,Lake,South Dakota,46079,1282,18
96641,2021-03-25,Lawrence,South Dakota,46081,2881,45
96642,2021-03-25,Lincoln,South Dakota,46083,8130,77
96643,2021-03-25,Lyman,South Dakota,46085,620,10
96645,2021-03-25,McCook,South Dakota,46087,776,24
96646,2021-03-25,McPherson,South Dakota,46089,240,4
96644,2021-03-25,Marshall,South Dakota,46091,364,6
96647,2021-03-25,Meade,South Dakota,46093,2683,31
96648,2021-03-25,Mellette,South Dakota,46095,255,2
96649,2021-03-25,Miner,South Dakota,46097,284,9
96650,2021-03-25,Minnehaha,South Dakota,46099,29317,341
96651,2021-03-25,Moody,South Dakota,46101,623,17
96652,2021-03-25,Oglala Lakota,South Dakota,46102,2083,49
96653,2021-03-25,Pennington,South Dakota,46103,13209,190
96654,2021-03-25,Perkins,South Dakota,46105,351,14
96655,2021-03-25,Potter,South Dakota,46107,387,4
96656,2021-03-25,Roberts,South Dakota,46109,1297,36
96657,2021-03-25,Sanborn,South Dakota,46111,336,3
96658,2021-03-25,Spink,South Dakota,46115,819,26
96659,2021-03-25,Stanley,South Dakota,46117,339,2
96660,2021-03-25,Sully,South Dakota,46119,137,3
96661,2021-03-25,Todd,South Dakota,46121,1220,29
96662,2021-03-25,Tripp,South Dakota,46123,732,17
96663,2021-03-25,Turner,South Dakota,46125,1127,53
96664,2021-03-25,Union,South Dakota,46127,2103,41
96665,2021-03-25,Walworth,South Dakota,46129,746,15
96666,2021-03-25,Yankton,South Dakota,46135,2888,28
96667,2021-03-25,Ziebach,South Dakota,46137,338,9
