,date,county,state,fips,cases,yest,diff
86933,2021-03-25,Anderson,Tennessee,47001,8394,8391,3
86934,2021-03-25,Bedford,Tennessee,47003,6147,6108,39
86935,2021-03-25,Benton,Tennessee,47005,1559,1554,5
86936,2021-03-25,Bledsoe,Tennessee,47007,2064,2059,5
86937,2021-03-25,Blount,Tennessee,47009,14630,14601,29
86938,2021-03-25,Bradley,Tennessee,47011,13879,13827,52
86939,2021-03-25,Campbell,Tennessee,47013,3986,3983,3
86940,2021-03-25,Cannon,Tennessee,47015,1845,1839,6
86941,2021-03-25,Carroll,Tennessee,47017,3525,3526,-1
86942,2021-03-25,Carter,Tennessee,47019,6144,6133,11
86943,2021-03-25,Cheatham,Tennessee,47021,4186,4174,12
86944,2021-03-25,Chester,Tennessee,47023,2065,2065,0
86945,2021-03-25,Claiborne,Tennessee,47025,2947,2941,6
86946,2021-03-25,Clay,Tennessee,47027,1076,1076,0
86947,2021-03-25,Cocke,Tennessee,47029,4313,4303,10
86948,2021-03-25,Coffee,Tennessee,47031,6655,6641,14
86949,2021-03-25,Crockett,Tennessee,47033,1977,1977,0
86950,2021-03-25,Cumberland,Tennessee,47035,6304,6288,16
86951,2021-03-25,Davidson,Tennessee,47037,93585,93436,149
86953,2021-03-25,Decatur,Tennessee,47039,1558,1557,1
86952,2021-03-25,DeKalb,Tennessee,47041,2716,2715,1
86954,2021-03-25,Dickson,Tennessee,47043,6467,6456,11
86955,2021-03-25,Dyer,Tennessee,47045,5302,5301,1
86956,2021-03-25,Fayette,Tennessee,47047,4777,4774,3
86957,2021-03-25,Fentress,Tennessee,47049,2341,2339,2
86958,2021-03-25,Franklin,Tennessee,47051,4954,4937,17
86959,2021-03-25,Gibson,Tennessee,47053,6265,6260,5
86960,2021-03-25,Giles,Tennessee,47055,3838,3834,4
86961,2021-03-25,Grainger,Tennessee,47057,2504,2503,1
86962,2021-03-25,Greene,Tennessee,47059,7454,7444,10
86963,2021-03-25,Grundy,Tennessee,47061,1737,1735,2
86964,2021-03-25,Hamblen,Tennessee,47063,8307,8298,9
86965,2021-03-25,Hamilton,Tennessee,47065,42273,42192,81
86966,2021-03-25,Hancock,Tennessee,47067,520,520,0
86967,2021-03-25,Hardeman,Tennessee,47069,3421,3421,0
86968,2021-03-25,Hardin,Tennessee,47071,3394,3389,5
86969,2021-03-25,Hawkins,Tennessee,47073,5495,5490,5
86970,2021-03-25,Haywood,Tennessee,47075,2664,2664,0
86971,2021-03-25,Henderson,Tennessee,47077,3650,3650,0
86972,2021-03-25,Henry,Tennessee,47079,3064,3062,2
86973,2021-03-25,Hickman,Tennessee,47081,2735,2735,0
86974,2021-03-25,Houston,Tennessee,47083,1056,1055,1
86975,2021-03-25,Humphreys,Tennessee,47085,1605,1602,3
