,date,county,state,fips,cases,yest,diff
87283,2021-03-25,Beaver,Utah,49001,745,745,0
87284,2021-03-25,Box Elder,Utah,49003,5013,5004,9
87285,2021-03-25,Cache,Utah,49005,15426,15400,26
87286,2021-03-25,Carbon,Utah,49007,1576,1574,2
87287,2021-03-25,Daggett,Utah,49009,38,38,0
87288,2021-03-25,Davis,Utah,49011,35978,35917,61
87289,2021-03-25,Duchesne,Utah,49013,1159,1158,1
87290,2021-03-25,Emery,Utah,49015,906,904,2
87291,2021-03-25,Garfield,Utah,49017,463,463,0
87292,2021-03-25,Grand,Utah,49019,728,726,2
87293,2021-03-25,Iron,Utah,49021,5323,5318,5
87294,2021-03-25,Juab,Utah,49023,1247,1246,1
87295,2021-03-25,Kane,Utah,49025,633,631,2
87296,2021-03-25,Millard,Utah,49027,1401,1401,0
87297,2021-03-25,Morgan,Utah,49029,1167,1159,8
87298,2021-03-25,Piute,Utah,49031,100,100,0
87299,2021-03-25,Rich,Utah,49033,139,139,0
87300,2021-03-25,Salt Lake,Utah,49035,142874,142677,197
87301,2021-03-25,San Juan,Utah,49037,1849,1847,2
87302,2021-03-25,Sanpete,Utah,49039,3652,3646,6
87303,2021-03-25,Sevier,Utah,49041,2118,2114,4
87304,2021-03-25,Summit,Utah,49043,5257,5243,14
87305,2021-03-25,Tooele,Utah,49045,6854,6840,14
87306,2021-03-25,Uintah,Utah,49047,2486,2482,4
87308,2021-03-25,Utah,Utah,49049,92525,92420,105
87309,2021-03-25,Wasatch,Utah,49051,4449,4442,7
87310,2021-03-25,Washington,Utah,49053,20459,20445,14
87311,2021-03-25,Wayne,Utah,49055,125,125,0
87312,2021-03-25,Weber,Utah,49057,27437,27396,41
87307,2021-03-25,Unknown,Utah,,1133,1191,-58
