,date,county,state,fips,cases,deaths
93803,2021-03-25,Addison,Vermont,50001,891,8
93804,2021-03-25,Bennington,Vermont,50003,1636,10
93805,2021-03-25,Caledonia,Vermont,50005,605,5
93806,2021-03-25,Chittenden,Vermont,50007,5753,95
93807,2021-03-25,Essex,Vermont,50009,203,1
93808,2021-03-25,Franklin,Vermont,50011,1618,37
93809,2021-03-25,Grand Isle,Vermont,50013,162,2
93810,2021-03-25,Lamoille,Vermont,50015,648,2
93811,2021-03-25,Orange,Vermont,50017,542,3
93812,2021-03-25,Orleans,Vermont,50019,807,7
93813,2021-03-25,Rutland,Vermont,50021,1566,13
93815,2021-03-25,Washington,Vermont,50023,1564,14
93816,2021-03-25,Windham,Vermont,50025,1065,14
93817,2021-03-25,Windsor,Vermont,50027,1146,12
93814,2021-03-25,Unknown,Vermont,,9,0
