,0,1,2,3,4,5
97066,2021-03-25,Accomack,Virginia,51001,2686,37
97067,2021-03-25,Albemarle,Virginia,51003,5210,76
97069,2021-03-25,Alleghany,Virginia,51005,1267,49
97070,2021-03-25,Amelia,Virginia,51007,813,26
97071,2021-03-25,Amherst,Virginia,51009,2773,33
97072,2021-03-25,Appomattox,Virginia,51011,1469,23
97073,2021-03-25,Arlington,Virginia,51013,13997,244
97074,2021-03-25,Augusta,Virginia,51015,5367,66
97075,2021-03-25,Bath,Virginia,51017,251,10
97076,2021-03-25,Bedford,Virginia,51019,6022,97
97077,2021-03-25,Bland,Virginia,51021,634,10
97078,2021-03-25,Botetourt,Virginia,51023,2387,34
97080,2021-03-25,Brunswick,Virginia,51025,1241,20
97081,2021-03-25,Buchanan,Virginia,51027,1349,36
97082,2021-03-25,Buckingham,Virginia,51029,2056,28
97084,2021-03-25,Campbell,Virginia,51031,4181,81
97085,2021-03-25,Caroline,Virginia,51033,1952,31
97086,2021-03-25,Carroll,Virginia,51035,2217,65
97087,2021-03-25,Charles City,Virginia,51036,439,15
97088,2021-03-25,Charlotte,Virginia,51037,786,16
97091,2021-03-25,Chesterfield,Virginia,51041,25047,388
97092,2021-03-25,Clarke,Virginia,51043,879,18
97095,2021-03-25,Craig,Virginia,51045,264,5
97096,2021-03-25,Culpeper,Virginia,51047,4242,56
97097,2021-03-25,Cumberland,Virginia,51049,414,9
97099,2021-03-25,Dickenson,Virginia,51051,898,15
97100,2021-03-25,Dinwiddie,Virginia,51053,1949,41
97102,2021-03-25,Essex,Virginia,51057,691,8
97103,2021-03-25,Fairfax,Virginia,51059,70426,1034
97106,2021-03-25,Fauquier,Virginia,51061,4214,61
97107,2021-03-25,Floyd,Virginia,51063,784,20
97108,2021-03-25,Fluvanna,Virginia,51065,1556,17
97109,2021-03-25,Franklin,Virginia,51067,3815,71
97111,2021-03-25,Frederick,Virginia,51069,7132,96
97114,2021-03-25,Giles,Virginia,51071,1147,17
97115,2021-03-25,Gloucester,Virginia,51073,2022,45
97116,2021-03-25,Goochland,Virginia,51075,1291,20
97117,2021-03-25,Grayson,Virginia,51077,1197,31
97118,2021-03-25,Greene,Virginia,51079,1098,15
97119,2021-03-25,Greensville,Virginia,51081,1504,24
97120,2021-03-25,Halifax,Virginia,51083,2640,72
97122,2021-03-25,Hanover,Virginia,51085,7158,147
97124,2021-03-25,Henrico,Virginia,51087,22745,566
97125,2021-03-25,Henry,Virginia,51089,4333,120
97126,2021-03-25,Highland,Virginia,51091,100,1
97128,2021-03-25,Isle of Wight,Virginia,51093,2859,58
97129,2021-03-25,James City,Virginia,51095,4161,69
97132,2021-03-25,King and Queen,Virginia,51097,344,8
97130,2021-03-25,King George,Virginia,51099,1499,18
97131,2021-03-25,King William,Virginia,51101,1042,10
97133,2021-03-25,Lancaster,Virginia,51103,681,15
97134,2021-03-25,Lee,Virginia,51105,2354,44
97136,2021-03-25,Loudoun,Virginia,51107,24794,264
97137,2021-03-25,Louisa,Virginia,51109,1770,27
97138,2021-03-25,Lunenburg,Virginia,51111,712,9
97140,2021-03-25,Madison,Virginia,51113,557,14
97144,2021-03-25,Mathews,Virginia,51115,572,12
97145,2021-03-25,Mecklenburg,Virginia,51117,2121,61
97146,2021-03-25,Middlesex,Virginia,51119,548,18
97147,2021-03-25,Montgomery,Virginia,51121,8683,86
97148,2021-03-25,Nelson,Virginia,51125,856,12
97149,2021-03-25,New Kent,Virginia,51127,1362,13
97152,2021-03-25,Northampton,Virginia,51131,737,34
97153,2021-03-25,Northumberland,Virginia,51133,701,19
97155,2021-03-25,Nottoway,Virginia,51135,1854,44
97156,2021-03-25,Orange,Virginia,51137,1974,35
97157,2021-03-25,Page,Virginia,51139,1890,57
97158,2021-03-25,Patrick,Virginia,51141,1275,41
97160,2021-03-25,Pittsylvania,Virginia,51143,5258,75
97163,2021-03-25,Powhatan,Virginia,51145,1751,10
97164,2021-03-25,Prince Edward,Virginia,51147,2000,31
97165,2021-03-25,Prince George,Virginia,51149,3191,22
97166,2021-03-25,Prince William,Virginia,51153,41324,467
97167,2021-03-25,Pulaski,Virginia,51155,2429,60
97169,2021-03-25,Rappahannock,Virginia,51157,316,2
97170,2021-03-25,Richmond,Virginia,51159,1429,12
97172,2021-03-25,Roanoke,Virginia,51161,7690,125
97174,2021-03-25,Rockbridge,Virginia,51163,1436,44
97175,2021-03-25,Rockingham,Virginia,51165,6296,102
97176,2021-03-25,Russell,Virginia,51167,2122,34
97178,2021-03-25,Scott,Virginia,51169,1677,50
97179,2021-03-25,Shenandoah,Virginia,51171,3866,127
97180,2021-03-25,Smyth,Virginia,51173,2592,89
97181,2021-03-25,Southampton,Virginia,51175,1897,52
97182,2021-03-25,Spotsylvania,Virginia,51177,8702,107
97183,2021-03-25,Stafford,Virginia,51179,10036,68
97186,2021-03-25,Surry,Virginia,51181,400,9
97187,2021-03-25,Sussex,Virginia,51183,1128,20
97188,2021-03-25,Tazewell,Virginia,51185,3353,64
97190,2021-03-25,Warren,Virginia,51187,2487,51
97191,2021-03-25,Washington,Virginia,51191,4436,100
97193,2021-03-25,Westmoreland,Virginia,51193,1168,22
97196,2021-03-25,Wise,Virginia,51195,2960,92
97197,2021-03-25,Wythe,Virginia,51197,2215,73
97198,2021-03-25,York,Virginia,51199,3367,50
97068,2021-03-25,Alexandria city,Virginia,51510,10825,128
97079,2021-03-25,Bristol city,Virginia,51520,1255,30
97083,2021-03-25,Buena Vista city,Virginia,51530,864,19
97089,2021-03-25,Charlottesville city,Virginia,51540,3800,53
97090,2021-03-25,Chesapeake city,Virginia,51550,19281,266
97093,2021-03-25,Colonial Heights city,Virginia,51570,1494,57
97094,2021-03-25,Covington city,Virginia,51580,567,12
97098,2021-03-25,Danville city,Virginia,51590,4159,122
97101,2021-03-25,Emporia city,Virginia,51595,645,41
97104,2021-03-25,Fairfax city,Virginia,51600,512,17
97105,2021-03-25,Falls Church city,Virginia,51610,382,10
97110,2021-03-25,Franklin city,Virginia,51620,1050,28
97112,2021-03-25,Fredericksburg city,Virginia,51630,1850,22
97113,2021-03-25,Galax city,Virginia,51640,1014,50
97121,2021-03-25,Hampton city,Virginia,51650,9344,150
97123,2021-03-25,Harrisonburg city,Virginia,51660,6103,95
97127,2021-03-25,Hopewell city,Virginia,51670,2295,64
97135,2021-03-25,Lexington city,Virginia,51678,1151,31
