,0,1,2,3,4,5
97199,2021-03-25,Adams,Washington,53001,1971,22
97200,2021-03-25,Asotin,Washington,53003,1323,28
97201,2021-03-25,Benton,Washington,53005,15549,210
97202,2021-03-25,Chelan,Washington,53007,6438,64
97203,2021-03-25,Clallam,Washington,53009,1020,8
97204,2021-03-25,Clark,Washington,53011,19903,245
97205,2021-03-25,Columbia,Washington,53013,116,5
97206,2021-03-25,Cowlitz,Washington,53015,4696,75
97207,2021-03-25,Douglas,Washington,53017,3396,22
97208,2021-03-25,Ferry,Washington,53019,218,4
97209,2021-03-25,Franklin,Washington,53021,11503,103
97210,2021-03-25,Garfield,Washington,53023,120,5
97211,2021-03-25,Grant,Washington,53025,9297,114
97212,2021-03-25,Grays Harbor,Washington,53027,3524,57
97213,2021-03-25,Island,Washington,53029,1466,28
97214,2021-03-25,Jefferson,Washington,53031,345,2
97215,2021-03-25,King,Washington,53033,88835,1462
97216,2021-03-25,Kitsap,Washington,53035,6236,91
97217,2021-03-25,Kittitas,Washington,53037,2463,30
97218,2021-03-25,Klickitat,Washington,53039,676,9
97219,2021-03-25,Lewis,Washington,53041,3888,51
97220,2021-03-25,Lincoln,Washington,53043,350,6
97221,2021-03-25,Mason,Washington,53045,2411,27
97222,2021-03-25,Okanogan,Washington,53047,2266,36
97223,2021-03-25,Pacific,Washington,53049,779,10
97224,2021-03-25,Pend Oreille,Washington,53051,667,7
97225,2021-03-25,Pierce,Washington,53053,41518,603
97226,2021-03-25,San Juan,Washington,53055,126,0
97227,2021-03-25,Skagit,Washington,53057,4692,63
97228,2021-03-25,Skamania,Washington,53059,263,1
97229,2021-03-25,Snohomish,Washington,53061,32336,558
97230,2021-03-25,Spokane,Washington,53063,38706,606
97231,2021-03-25,Stevens,Washington,53065,1732,26
97232,2021-03-25,Thurston,Washington,53067,7683,83
97233,2021-03-25,Wahkiakum,Washington,53069,101,0
97234,2021-03-25,Walla Walla,Washington,53071,4837,64
97235,2021-03-25,Whatcom,Washington,53073,7399,87
97236,2021-03-25,Whitman,Washington,53075,3734,46
97237,2021-03-25,Yakima,Washington,53077,28717,428
