,date,county,state,fips,cases,yest,diff
87503,2021-03-25,Barbour,West Virginia,54001,1312,1312,0
87504,2021-03-25,Berkeley,West Virginia,54003,10375,10329,46
87505,2021-03-25,Boone,West Virginia,54005,1718,1712,6
87506,2021-03-25,Braxton,West Virginia,54007,828,824,4
87507,2021-03-25,Brooke,West Virginia,54009,2050,2049,1
87508,2021-03-25,Cabell,West Virginia,54011,8260,8246,14
87509,2021-03-25,Calhoun,West Virginia,54013,240,238,2
87510,2021-03-25,Clay,West Virginia,54015,386,386,0
87511,2021-03-25,Doddridge,West Virginia,54017,512,509,3
87512,2021-03-25,Fayette,West Virginia,54019,2912,2901,11
87513,2021-03-25,Gilmer,West Virginia,54021,728,728,0
87514,2021-03-25,Grant,West Virginia,54023,1159,1155,4
87515,2021-03-25,Greenbrier,West Virginia,54025,2474,2468,6
87516,2021-03-25,Hampshire,West Virginia,54027,1595,1591,4
87517,2021-03-25,Hancock,West Virginia,54029,2617,2613,4
87518,2021-03-25,Hardy,West Virginia,54031,1370,1355,15
87519,2021-03-25,Harrison,West Virginia,54033,5081,5072,9
87520,2021-03-25,Jackson,West Virginia,54035,1747,1742,5
87521,2021-03-25,Jefferson,West Virginia,54037,3914,3884,30
87522,2021-03-25,Kanawha,West Virginia,54039,12772,12706,66
87523,2021-03-25,Lewis,West Virginia,54041,1087,1080,7
87524,2021-03-25,Lincoln,West Virginia,54043,1339,1336,3
87525,2021-03-25,Logan,West Virginia,54045,2917,2912,5
87529,2021-03-25,McDowell,West Virginia,54047,1406,1405,1
87526,2021-03-25,Marion,West Virginia,54049,3872,3862,10
87527,2021-03-25,Marshall,West Virginia,54051,3154,3153,1
87528,2021-03-25,Mason,West Virginia,54053,1848,1843,5
87530,2021-03-25,Mercer,West Virginia,54055,4351,4344,7
87531,2021-03-25,Mineral,West Virginia,54057,2623,2621,2
87532,2021-03-25,Mingo,West Virginia,54059,2266,2261,5
87533,2021-03-25,Monongalia,West Virginia,54061,8515,8494,21
87534,2021-03-25,Monroe,West Virginia,54063,1007,1004,3
87535,2021-03-25,Morgan,West Virginia,54065,979,975,4
87536,2021-03-25,Nicholas,West Virginia,54067,1355,1348,7
87537,2021-03-25,Ohio,West Virginia,54069,3782,3774,8
87538,2021-03-25,Pendleton,West Virginia,54071,647,643,4
87539,2021-03-25,Pleasants,West Virginia,54073,817,817,0
87540,2021-03-25,Pocahontas,West Virginia,54075,611,609,2
87541,2021-03-25,Preston,West Virginia,54077,2687,2675,12
87542,2021-03-25,Putnam,West Virginia,54079,4461,4450,11
87543,2021-03-25,Raleigh,West Virginia,54081,5262,5232,30
87544,2021-03-25,Randolph,West Virginia,54083,2446,2443,3
87545,2021-03-25,Ritchie,West Virginia,54085,638,636,2
87546,2021-03-25,Roane,West Virginia,54087,511,511,0
87547,2021-03-25,Summers,West Virginia,54089,719,718,1
87548,2021-03-25,Taylor,West Virginia,54091,1134,1132,2
87549,2021-03-25,Tucker,West Virginia,54093,514,513,1
87550,2021-03-25,Tyler,West Virginia,54095,655,655,0
87551,2021-03-25,Upshur,West Virginia,54097,1761,1754,7
87552,2021-03-25,Wayne,West Virginia,54099,2710,2705,5
87553,2021-03-25,Webster,West Virginia,54101,433,426,7
87554,2021-03-25,Wetzel,West Virginia,54103,1146,1141,5
87555,2021-03-25,Wirt,West Virginia,54105,367,367,0
87556,2021-03-25,Wood,West Virginia,54107,7378,7359,19
87557,2021-03-25,Wyoming,West Virginia,54109,1803,1800,3
