,0,1,2,3,4,5
97293,2021-03-25,Adams,Wisconsin,55001,1781,15
97294,2021-03-25,Ashland,Wisconsin,55003,1269,16
97295,2021-03-25,Barron,Wisconsin,55005,5664,76
97296,2021-03-25,Bayfield,Wisconsin,55007,1162,19
97297,2021-03-25,Brown,Wisconsin,55009,33593,266
97298,2021-03-25,Buffalo,Wisconsin,55011,1358,7
97299,2021-03-25,Burnett,Wisconsin,55013,1364,22
97300,2021-03-25,Calumet,Wisconsin,55015,6182,50
97301,2021-03-25,Chippewa,Wisconsin,55017,7352,95
97302,2021-03-25,Clark,Wisconsin,55019,3557,62
97303,2021-03-25,Columbia,Wisconsin,55021,5535,68
97304,2021-03-25,Crawford,Wisconsin,55023,1731,17
97305,2021-03-25,Dane,Wisconsin,55025,43280,312
97306,2021-03-25,Dodge,Wisconsin,55027,12381,182
97307,2021-03-25,Door,Wisconsin,55029,2706,26
97308,2021-03-25,Douglas,Wisconsin,55031,4349,46
97309,2021-03-25,Dunn,Wisconsin,55033,4698,30
97310,2021-03-25,Eau Claire,Wisconsin,55035,11539,116
97311,2021-03-25,Florence,Wisconsin,55037,479,12
97312,2021-03-25,Fond du Lac,Wisconsin,55039,13237,111
97313,2021-03-25,Forest,Wisconsin,55041,1006,26
97314,2021-03-25,Grant,Wisconsin,55043,5422,88
97315,2021-03-25,Green,Wisconsin,55045,3419,22
97316,2021-03-25,Green Lake,Wisconsin,55047,1964,21
97317,2021-03-25,Iowa,Wisconsin,55049,2032,12
97318,2021-03-25,Iron,Wisconsin,55051,683,40
97319,2021-03-25,Jackson,Wisconsin,55053,2638,28
97320,2021-03-25,Jefferson,Wisconsin,55055,9068,126
97321,2021-03-25,Juneau,Wisconsin,55057,3144,22
97322,2021-03-25,Kenosha,Wisconsin,55059,17373,318
97323,2021-03-25,Kewaunee,Wisconsin,55061,2607,30
97324,2021-03-25,La Crosse,Wisconsin,55063,13151,80
97325,2021-03-25,Lafayette,Wisconsin,55065,1643,7
97326,2021-03-25,Langlade,Wisconsin,55067,2103,45
97327,2021-03-25,Lincoln,Wisconsin,55069,3136,77
97328,2021-03-25,Manitowoc,Wisconsin,55071,8494,84
97329,2021-03-25,Marathon,Wisconsin,55073,15272,218
97330,2021-03-25,Marinette,Wisconsin,55075,4406,68
97331,2021-03-25,Marquette,Wisconsin,55077,1506,27
97332,2021-03-25,Menominee,Wisconsin,55078,797,11
97333,2021-03-25,Milwaukee,Wisconsin,55079,109515,1299
97334,2021-03-25,Monroe,Wisconsin,55081,4470,35
97335,2021-03-25,Oconto,Wisconsin,55083,4787,56
97336,2021-03-25,Oneida,Wisconsin,55085,3622,73
97337,2021-03-25,Outagamie,Wisconsin,55087,22379,213
97338,2021-03-25,Ozaukee,Wisconsin,55089,8771,88
97339,2021-03-25,Pepin,Wisconsin,55091,840,7
97340,2021-03-25,Pierce,Wisconsin,55093,4502,41
97341,2021-03-25,Polk,Wisconsin,55095,4117,48
97342,2021-03-25,Portage,Wisconsin,55097,7077,69
97343,2021-03-25,Price,Wisconsin,55099,1271,7
97344,2021-03-25,Racine,Wisconsin,55101,23344,361
97345,2021-03-25,Richland,Wisconsin,55103,1340,15
97346,2021-03-25,Rock,Wisconsin,55105,16287,179
97347,2021-03-25,Rusk,Wisconsin,55107,1322,17
97352,2021-03-25,St. Croix,Wisconsin,55109,8298,54
97348,2021-03-25,Sauk,Wisconsin,55111,5698,50
97349,2021-03-25,Sawyer,Wisconsin,55113,1596,22
97350,2021-03-25,Shawano,Wisconsin,55115,5167,81
97351,2021-03-25,Sheboygan,Wisconsin,55117,14009,142
97353,2021-03-25,Taylor,Wisconsin,55119,2041,32
97354,2021-03-25,Trempealeau,Wisconsin,55121,3531,41
97355,2021-03-25,Vernon,Wisconsin,55123,1932,41
97356,2021-03-25,Vilas,Wisconsin,55125,2323,41
97357,2021-03-25,Walworth,Wisconsin,55127,11736,153
97358,2021-03-25,Washburn,Wisconsin,55129,1420,20
97359,2021-03-25,Washington,Wisconsin,55131,15910,149
97360,2021-03-25,Waukesha,Wisconsin,55133,46205,543
97361,2021-03-25,Waupaca,Wisconsin,55135,5814,161
97362,2021-03-25,Waushara,Wisconsin,55137,2433,35
97363,2021-03-25,Winnebago,Wisconsin,55139,20277,207
97364,2021-03-25,Wood,Wisconsin,55141,7216,90
