,date,county,state,fips,cases,deaths
94120,2021-03-25,Albany,Wyoming,56001,3952,11
94121,2021-03-25,Big Horn,Wyoming,56003,1107,32
94122,2021-03-25,Campbell,Wyoming,56005,4731,59
94123,2021-03-25,Carbon,Wyoming,56007,1513,23
94124,2021-03-25,Converse,Wyoming,56009,982,17
94125,2021-03-25,Crook,Wyoming,56011,422,11
94126,2021-03-25,Fremont,Wyoming,56013,5035,82
94127,2021-03-25,Goshen,Wyoming,56015,1167,23
94128,2021-03-25,Hot Springs,Wyoming,56017,363,3
94129,2021-03-25,Johnson,Wyoming,56019,712,10
94130,2021-03-25,Laramie,Wyoming,56021,8528,110
94131,2021-03-25,Lincoln,Wyoming,56023,1327,12
94132,2021-03-25,Natrona,Wyoming,56025,7788,133
94133,2021-03-25,Niobrara,Wyoming,56027,150,2
94134,2021-03-25,Park,Wyoming,56029,2641,30
94135,2021-03-25,Platte,Wyoming,56031,607,11
94136,2021-03-25,Sheridan,Wyoming,56033,3057,31
94137,2021-03-25,Sublette,Wyoming,56035,692,7
94138,2021-03-25,Sweetwater,Wyoming,56037,3961,36
94139,2021-03-25,Teton,Wyoming,56039,3549,9
94140,2021-03-25,Uinta,Wyoming,56041,2115,12
94141,2021-03-25,Washakie,Wyoming,56043,889,26
94142,2021-03-25,Weston,Wyoming,56045,632,5
