,0,1,2,3,4,5
94143,2021-03-26,Autauga,Alabama,01001,6543,99
94144,2021-03-26,Baldwin,Alabama,01003,20423,301
94145,2021-03-26,Barbour,Alabama,01005,2221,54
94146,2021-03-26,Bibb,Alabama,01007,2535,58
94147,2021-03-26,Blount,Alabama,01009,6415,131
94148,2021-03-26,Bullock,Alabama,01011,1201,39
94149,2021-03-26,Butler,Alabama,01013,2087,66
94150,2021-03-26,Calhoun,Alabama,01015,14192,304
94151,2021-03-26,Chambers,Alabama,01017,3481,116
94152,2021-03-26,Cherokee,Alabama,01019,1801,43
94153,2021-03-26,Chilton,Alabama,01021,4019,109
94154,2021-03-26,Choctaw,Alabama,01023,583,24
94155,2021-03-26,Clarke,Alabama,01025,3460,58
94156,2021-03-26,Clay,Alabama,01027,1480,54
94157,2021-03-26,Cleburne,Alabama,01029,1449,41
94158,2021-03-26,Coffee,Alabama,01031,5373,108
94159,2021-03-26,Colbert,Alabama,01033,6151,125
94160,2021-03-26,Conecuh,Alabama,01035,1086,26
94161,2021-03-26,Coosa,Alabama,01037,942,24
94162,2021-03-26,Covington,Alabama,01039,4034,111
94163,2021-03-26,Crenshaw,Alabama,01041,1495,57
94164,2021-03-26,Cullman,Alabama,01043,9339,186
94165,2021-03-26,Dale,Alabama,01045,4746,109
94166,2021-03-26,Dallas,Alabama,01047,3510,148
94167,2021-03-26,DeKalb,Alabama,01049,8690,179
94168,2021-03-26,Elmore,Alabama,01051,9892,201
94169,2021-03-26,Escambia,Alabama,01053,3856,74
94170,2021-03-26,Etowah,Alabama,01055,13631,342
94171,2021-03-26,Fayette,Alabama,01057,2060,59
94172,2021-03-26,Franklin,Alabama,01059,4183,82
94173,2021-03-26,Geneva,Alabama,01061,2440,73
94174,2021-03-26,Greene,Alabama,01063,903,34
94175,2021-03-26,Hale,Alabama,01065,2158,73
94176,2021-03-26,Henry,Alabama,01067,1865,42
94177,2021-03-26,Houston,Alabama,01069,10299,271
94178,2021-03-26,Jackson,Alabama,01071,6714,106
94179,2021-03-26,Jefferson,Alabama,01073,74399,1455
94180,2021-03-26,Lamar,Alabama,01075,1382,33
94181,2021-03-26,Lauderdale,Alabama,01077,9076,218
94182,2021-03-26,Lawrence,Alabama,01079,2914,94
94183,2021-03-26,Lee,Alabama,01081,15371,166
94184,2021-03-26,Limestone,Alabama,01083,9709,145
94185,2021-03-26,Lowndes,Alabama,01085,1358,53
94186,2021-03-26,Macon,Alabama,01087,1530,47
94187,2021-03-26,Madison,Alabama,01089,33401,488
94188,2021-03-26,Marengo,Alabama,01091,2495,58
94189,2021-03-26,Marion,Alabama,01093,3049,99
94190,2021-03-26,Marshall,Alabama,01095,11830,217
94191,2021-03-26,Mobile,Alabama,01097,37420,786
94192,2021-03-26,Monroe,Alabama,01099,1699,39
94193,2021-03-26,Montgomery,Alabama,01101,23539,550
94194,2021-03-26,Morgan,Alabama,01103,14108,263
94195,2021-03-26,Perry,Alabama,01105,1077,27
94196,2021-03-26,Pickens,Alabama,01107,2321,57
94197,2021-03-26,Pike,Alabama,01109,3035,74
94198,2021-03-26,Randolph,Alabama,01111,1738,41
94199,2021-03-26,Russell,Alabama,01113,4210,36
94201,2021-03-26,St. Clair,Alabama,01115,9314,232
94200,2021-03-26,Shelby,Alabama,01117,22930,232
94202,2021-03-26,Sumter,Alabama,01119,1023,32
94203,2021-03-26,Talladega,Alabama,01121,7941,167
94204,2021-03-26,Tallapoosa,Alabama,01123,3843,144
94205,2021-03-26,Tuscaloosa,Alabama,01125,24986,434
94206,2021-03-26,Walker,Alabama,01127,7032,274
94207,2021-03-26,Washington,Alabama,01129,1637,38
94208,2021-03-26,Wilcox,Alabama,01131,1246,26
94209,2021-03-26,Winston,Alabama,01133,2710,71
