,0,1,2,3,4,5
94329,2021-03-26,Alameda,California,06001,82966,1395
94330,2021-03-26,Alpine,California,06003,84,0
94331,2021-03-26,Amador,California,06005,3529,45
94332,2021-03-26,Butte,California,06007,11270,188
94333,2021-03-26,Calaveras,California,06009,1982,50
94334,2021-03-26,Colusa,California,06011,2164,16
94335,2021-03-26,Contra Costa,California,06013,64961,757
94336,2021-03-26,Del Norte,California,06015,1125,6
94337,2021-03-26,El Dorado,California,06017,9331,105
94338,2021-03-26,Fresno,California,06019,98602,1593
94339,2021-03-26,Glenn,California,06021,2803,25
94340,2021-03-26,Humboldt,California,06023,3448,35
94341,2021-03-26,Imperial,California,06025,27352,711
94342,2021-03-26,Inyo,California,06027,1369,35
94343,2021-03-26,Kern,California,06029,105912,1206
94344,2021-03-26,Kings,California,06031,22578,241
94345,2021-03-26,Lake,California,06033,3312,43
94346,2021-03-26,Lassen,California,06035,5649,1
94347,2021-03-26,Los Angeles,California,06037,1217686,23055
94348,2021-03-26,Madera,California,06039,15937,231
94349,2021-03-26,Marin,California,06041,13538,219
94350,2021-03-26,Mariposa,California,06043,408,7
94351,2021-03-26,Mendocino,California,06045,3935,46
94352,2021-03-26,Merced,California,06047,30419,434
94353,2021-03-26,Modoc,California,06049,343,3
94354,2021-03-26,Mono,California,06051,1235,4
94355,2021-03-26,Monterey,California,06053,42868,340
94356,2021-03-26,Napa,California,06055,9337,78
94357,2021-03-26,Nevada,California,06057,4219,84
94358,2021-03-26,Orange,California,06059,265536,4684
94359,2021-03-26,Placer,California,06061,20736,263
94360,2021-03-26,Plumas,California,06063,654,4
94361,2021-03-26,Riverside,California,06065,293831,4248
94362,2021-03-26,Sacramento,California,06067,96989,1599
94363,2021-03-26,San Benito,California,06069,5850,61
94364,2021-03-26,San Bernardino,California,06071,290315,4222
94365,2021-03-26,San Diego,California,06073,269112,3525
94366,2021-03-26,San Francisco,California,06075,35157,468
94367,2021-03-26,San Joaquin,California,06077,69448,1250
94368,2021-03-26,San Luis Obispo,California,06079,20402,255
94369,2021-03-26,San Mateo,California,06081,40147,547
94370,2021-03-26,Santa Barbara,California,06083,33020,439
94371,2021-03-26,Santa Clara,California,06085,114015,1935
94372,2021-03-26,Santa Cruz,California,06087,15306,201
94373,2021-03-26,Shasta,California,06089,11319,200
94374,2021-03-26,Sierra,California,06091,50,0
94375,2021-03-26,Siskiyou,California,06093,1870,15
94376,2021-03-26,Solano,California,06095,31014,193
94377,2021-03-26,Sonoma,California,06097,29090,310
94378,2021-03-26,Stanislaus,California,06099,58602,992
94379,2021-03-26,Sutter,California,06101,9110,104
94380,2021-03-26,Tehama,California,06103,4719,52
94381,2021-03-26,Trinity,California,06105,311,3
94382,2021-03-26,Tulare,California,06107,48960,811
94383,2021-03-26,Tuolumne,California,06109,4024,62
94384,2021-03-26,Ventura,California,06111,79472,969
94385,2021-03-26,Yolo,California,06113,13287,196
94386,2021-03-26,Yuba,California,06115,5953,42
