,date,county,state,fips,cases,deaths
94533,2021-03-26,Appling,Georgia,13001,2255,68
94534,2021-03-26,Atkinson,Georgia,13003,990,17
94535,2021-03-26,Bacon,Georgia,13005,1602,36
94536,2021-03-26,Baker,Georgia,13007,224,9
94537,2021-03-26,Baldwin,Georgia,13009,4395,122
94538,2021-03-26,Banks,Georgia,13011,1769,34
94539,2021-03-26,Barrow,Georgia,13013,9425,126
94540,2021-03-26,Bartow,Georgia,13015,13943,212
94541,2021-03-26,Ben Hill,Georgia,13017,2071,74
94542,2021-03-26,Berrien,Georgia,13019,1784,41
94543,2021-03-26,Bibb,Georgia,13021,15354,416
94544,2021-03-26,Bleckley,Georgia,13023,1447,50
94545,2021-03-26,Brantley,Georgia,13025,1565,34
94546,2021-03-26,Brooks,Georgia,13027,1361,47
94547,2021-03-26,Bryan,Georgia,13029,3441,36
94548,2021-03-26,Bulloch,Georgia,13031,6612,108
94549,2021-03-26,Burke,Georgia,13033,2471,57
94550,2021-03-26,Butts,Georgia,13035,2819,77
94551,2021-03-26,Calhoun,Georgia,13037,570,14
94552,2021-03-26,Camden,Georgia,13039,3828,32
94553,2021-03-26,Candler,Georgia,13043,932,64
94554,2021-03-26,Carroll,Georgia,13045,10893,225
94555,2021-03-26,Catoosa,Georgia,13047,5921,66
94556,2021-03-26,Charlton,Georgia,13049,1342,30
94557,2021-03-26,Chatham,Georgia,13051,22054,410
94558,2021-03-26,Chattahoochee,Georgia,13053,3433,13
94559,2021-03-26,Chattooga,Georgia,13055,2693,67
94560,2021-03-26,Cherokee,Georgia,13057,29423,295
94561,2021-03-26,Clarke,Georgia,13059,14568,134
94562,2021-03-26,Clay,Georgia,13061,232,3
94563,2021-03-26,Clayton,Georgia,13063,24602,421
94564,2021-03-26,Clinch,Georgia,13065,934,26
94565,2021-03-26,Cobb,Georgia,13067,73706,977
94566,2021-03-26,Coffee,Georgia,13069,5257,164
94567,2021-03-26,Colquitt,Georgia,13071,4595,113
94568,2021-03-26,Columbia,Georgia,13073,16179,195
94569,2021-03-26,Cook,Georgia,13075,1775,40
94570,2021-03-26,Coweta,Georgia,13077,13525,191
94571,2021-03-26,Crawford,Georgia,13079,645,17
94572,2021-03-26,Crisp,Georgia,13081,2018,71
94573,2021-03-26,Dade,Georgia,13083,1368,11
94574,2021-03-26,Dawson,Georgia,13085,2932,39
94576,2021-03-26,Decatur,Georgia,13087,2837,67
94575,2021-03-26,DeKalb,Georgia,13089,61052,920
94577,2021-03-26,Dodge,Georgia,13091,2096,101
94578,2021-03-26,Dooly,Georgia,13093,1056,43
94579,2021-03-26,Dougherty,Georgia,13095,7226,290
94580,2021-03-26,Douglas,Georgia,13097,14174,200
94581,2021-03-26,Early,Georgia,13099,1152,45
94582,2021-03-26,Echols,Georgia,13101,466,8
94583,2021-03-26,Effingham,Georgia,13103,4384,65
94584,2021-03-26,Elbert,Georgia,13105,2267,65
94585,2021-03-26,Emanuel,Georgia,13107,2513,79
94586,2021-03-26,Evans,Georgia,13109,936,28
94587,2021-03-26,Fannin,Georgia,13111,2264,64
94588,2021-03-26,Fayette,Georgia,13113,8502,156
94589,2021-03-26,Floyd,Georgia,13115,11637,207
94590,2021-03-26,Forsyth,Georgia,13117,21347,168
94591,2021-03-26,Franklin,Georgia,13119,2610,47
94592,2021-03-26,Fulton,Georgia,13121,91209,1254
94593,2021-03-26,Gilmer,Georgia,13123,2860,80
94594,2021-03-26,Glascock,Georgia,13125,263,18
94595,2021-03-26,Glynn,Georgia,13127,7795,167
94596,2021-03-26,Gordon,Georgia,13129,7932,106
94597,2021-03-26,Grady,Georgia,13131,2061,57
94598,2021-03-26,Greene,Georgia,13133,1776,57
94599,2021-03-26,Gwinnett,Georgia,13135,96319,1048
94600,2021-03-26,Habersham,Georgia,13137,5085,151
94601,2021-03-26,Hall,Georgia,13139,26409,430
94602,2021-03-26,Hancock,Georgia,13141,898,60
94603,2021-03-26,Haralson,Georgia,13143,2531,78
94604,2021-03-26,Harris,Georgia,13145,2452,53
94605,2021-03-26,Hart,Georgia,13147,2326,50
94606,2021-03-26,Heard,Georgia,13149,827,18
94607,2021-03-26,Henry,Georgia,13151,23550,297
94608,2021-03-26,Houston,Georgia,13153,14011,240
94609,2021-03-26,Irwin,Georgia,13155,905,28
94610,2021-03-26,Jackson,Georgia,13157,9484,141
94611,2021-03-26,Jasper,Georgia,13159,1372,37
94612,2021-03-26,Jeff Davis,Georgia,13161,1835,46
94613,2021-03-26,Jefferson,Georgia,13163,1897,62
94614,2021-03-26,Jenkins,Georgia,13165,833,42
94615,2021-03-26,Johnson,Georgia,13167,1102,48
94616,2021-03-26,Jones,Georgia,13169,1952,55
94617,2021-03-26,Lamar,Georgia,13171,1949,54
94618,2021-03-26,Lanier,Georgia,13173,759,13
94619,2021-03-26,Laurens,Georgia,13175,5459,163
94620,2021-03-26,Lee,Georgia,13177,2686,55
94621,2021-03-26,Liberty,Georgia,13179,3595,59
94622,2021-03-26,Lincoln,Georgia,13181,777,26
94623,2021-03-26,Long,Georgia,13183,804,11
94624,2021-03-26,Lowndes,Georgia,13185,12154,193
94625,2021-03-26,Lumpkin,Georgia,13187,2863,66
94629,2021-03-26,McDuffie,Georgia,13189,2374,43
94630,2021-03-26,McIntosh,Georgia,13191,809,16
94626,2021-03-26,Macon,Georgia,13193,820,27
94627,2021-03-26,Madison,Georgia,13195,3154,54
94628,2021-03-26,Marion,Georgia,13197,544,19
94631,2021-03-26,Meriwether,Georgia,13199,1912,73
94632,2021-03-26,Miller,Georgia,13201,822,12
94633,2021-03-26,Mitchell,Georgia,13205,2002,78
94634,2021-03-26,Monroe,Georgia,13207,2545,97
94635,2021-03-26,Montgomery,Georgia,13209,866,21
94636,2021-03-26,Morgan,Georgia,13211,2136,26
94637,2021-03-26,Murray,Georgia,13213,4663,77
94638,2021-03-26,Muscogee,Georgia,13215,15341,414
94639,2021-03-26,Newton,Georgia,13217,10306,220
94640,2021-03-26,Oconee,Georgia,13219,3880,67
94641,2021-03-26,Oglethorpe,Georgia,13221,1444,28
94642,2021-03-26,Paulding,Georgia,13223,15669,200
94643,2021-03-26,Peach,Georgia,13225,2532,52
94644,2021-03-26,Pickens,Georgia,13227,3277,74
94645,2021-03-26,Pierce,Georgia,13229,2372,55
94646,2021-03-26,Pike,Georgia,13231,2148,36
94647,2021-03-26,Polk,Georgia,13233,5471,87
94648,2021-03-26,Pulaski,Georgia,13235,909,41
94649,2021-03-26,Putnam,Georgia,13237,2115,52
94650,2021-03-26,Quitman,Georgia,13239,161,2
