,0,1,2,3,4,5
94846,2021-03-26,Adams,Indiana,18001,3379,52
94847,2021-03-26,Allen,Indiana,18003,37492,681
94848,2021-03-26,Bartholomew,Indiana,18005,7681,156
94849,2021-03-26,Benton,Indiana,18007,930,13
94850,2021-03-26,Blackford,Indiana,18009,1299,29
94851,2021-03-26,Boone,Indiana,18011,6347,102
94852,2021-03-26,Brown,Indiana,18013,967,40
94853,2021-03-26,Carroll,Indiana,18015,1801,22
94854,2021-03-26,Cass,Indiana,18017,5601,103
94855,2021-03-26,Clark,Indiana,18019,12389,194
94856,2021-03-26,Clay,Indiana,18021,2465,44
94857,2021-03-26,Clinton,Indiana,18023,4051,58
94858,2021-03-26,Crawford,Indiana,18025,955,14
94859,2021-03-26,Daviess,Indiana,18027,2875,100
94861,2021-03-26,Dearborn,Indiana,18029,5588,76
94862,2021-03-26,Decatur,Indiana,18031,2806,96
94860,2021-03-26,DeKalb,Indiana,18033,3961,84
94863,2021-03-26,Delaware,Indiana,18035,10081,188
94864,2021-03-26,Dubois,Indiana,18037,6019,115
94865,2021-03-26,Elkhart,Indiana,18039,26220,442
94866,2021-03-26,Fayette,Indiana,18041,2881,61
94867,2021-03-26,Floyd,Indiana,18043,7392,179
94868,2021-03-26,Fountain,Indiana,18045,2052,45
94869,2021-03-26,Franklin,Indiana,18047,1645,36
94870,2021-03-26,Fulton,Indiana,18049,1855,39
94871,2021-03-26,Gibson,Indiana,18051,4178,90
94872,2021-03-26,Grant,Indiana,18053,7023,171
94873,2021-03-26,Greene,Indiana,18055,2676,86
94874,2021-03-26,Hamilton,Indiana,18057,33241,421
94875,2021-03-26,Hancock,Indiana,18059,7671,139
94876,2021-03-26,Harrison,Indiana,18061,4188,71
94877,2021-03-26,Hendricks,Indiana,18063,16330,326
94878,2021-03-26,Henry,Indiana,18065,5503,101
94879,2021-03-26,Howard,Indiana,18067,9363,213
94880,2021-03-26,Huntington,Indiana,18069,3662,81
94881,2021-03-26,Jackson,Indiana,18071,4762,68
94882,2021-03-26,Jasper,Indiana,18073,3284,48
94883,2021-03-26,Jay,Indiana,18075,1836,30
94884,2021-03-26,Jefferson,Indiana,18077,3008,78
94885,2021-03-26,Jennings,Indiana,18079,2219,48
94886,2021-03-26,Johnson,Indiana,18081,16990,385
94887,2021-03-26,Knox,Indiana,18083,3596,87
94888,2021-03-26,Kosciusko,Indiana,18085,8799,116
94889,2021-03-26,LaGrange,Indiana,18087,2465,72
94891,2021-03-26,Lake,Indiana,18089,49747,955
94890,2021-03-26,LaPorte,Indiana,18091,10133,205
94892,2021-03-26,Lawrence,Indiana,18093,4252,119
94893,2021-03-26,Madison,Indiana,18095,12035,352
94894,2021-03-26,Marion,Indiana,18097,93229,1756
94895,2021-03-26,Marshall,Indiana,18099,5582,107
94896,2021-03-26,Martin,Indiana,18101,816,15
94897,2021-03-26,Miami,Indiana,18103,3666,66
94898,2021-03-26,Monroe,Indiana,18105,10798,168
94899,2021-03-26,Montgomery,Indiana,18107,4054,86
94900,2021-03-26,Morgan,Indiana,18109,6260,140
94901,2021-03-26,Newton,Indiana,18111,997,35
94902,2021-03-26,Noble,Indiana,18113,5232,82
94903,2021-03-26,Ohio,Indiana,18115,545,11
94904,2021-03-26,Orange,Indiana,18117,1738,55
94905,2021-03-26,Owen,Indiana,18119,1881,58
94906,2021-03-26,Parke,Indiana,18121,1430,16
94907,2021-03-26,Perry,Indiana,18123,1780,37
94908,2021-03-26,Pike,Indiana,18125,1290,34
94909,2021-03-26,Porter,Indiana,18127,16513,302
94910,2021-03-26,Posey,Indiana,18129,2653,32
94911,2021-03-26,Pulaski,Indiana,18131,1103,45
94912,2021-03-26,Putnam,Indiana,18133,3464,60
94913,2021-03-26,Randolph,Indiana,18135,2339,80
94914,2021-03-26,Ripley,Indiana,18137,3306,66
94915,2021-03-26,Rush,Indiana,18139,1734,24
94919,2021-03-26,St. Joseph,Indiana,18141,31820,541
94916,2021-03-26,Scott,Indiana,18143,2558,54
94917,2021-03-26,Shelby,Indiana,18145,5663,104
94918,2021-03-26,Spencer,Indiana,18147,2250,31
94920,2021-03-26,Starke,Indiana,18149,1932,54
94921,2021-03-26,Steuben,Indiana,18151,3485,59
94922,2021-03-26,Sullivan,Indiana,18153,2061,41
94923,2021-03-26,Switzerland,Indiana,18155,764,8
94924,2021-03-26,Tippecanoe,Indiana,18157,20720,212
94925,2021-03-26,Tipton,Indiana,18159,1568,44
94926,2021-03-26,Union,Indiana,18161,717,11
94927,2021-03-26,Vanderburgh,Indiana,18163,21672,393
94928,2021-03-26,Vermillion,Indiana,18165,1639,43
94929,2021-03-26,Vigo,Indiana,18167,11942,245
94930,2021-03-26,Wabash,Indiana,18169,3400,77
94931,2021-03-26,Warren,Indiana,18171,776,16
94932,2021-03-26,Warrick,Indiana,18173,7559,158
94933,2021-03-26,Washington,Indiana,18175,2202,29
94934,2021-03-26,Wayne,Indiana,18177,7149,200
94935,2021-03-26,Wells,Indiana,18179,2762,81
94936,2021-03-26,White,Indiana,18181,3024,55
94937,2021-03-26,Whitley,Indiana,18183,3616,40
