,0,1,2,3,4,5
95346,2021-03-26,Allegany,Maryland,24001,6479,202
95347,2021-03-26,Anne Arundel,Maryland,24003,38322,562
95348,2021-03-26,Baltimore,Maryland,24005,54774,1358
95350,2021-03-26,Calvert,Maryland,24009,3870,74
95351,2021-03-26,Caroline,Maryland,24011,2099,22
95352,2021-03-26,Carroll,Maryland,24013,8103,217
95353,2021-03-26,Cecil,Maryland,24015,5291,126
95354,2021-03-26,Charles,Maryland,24017,9598,170
95355,2021-03-26,Dorchester,Maryland,24019,2456,48
95356,2021-03-26,Frederick,Maryland,24021,17970,298
95357,2021-03-26,Garrett,Maryland,24023,1895,62
95358,2021-03-26,Harford,Maryland,24025,13638,255
95359,2021-03-26,Howard,Maryland,24027,16965,225
95360,2021-03-26,Kent,Maryland,24029,1217,44
95361,2021-03-26,Montgomery,Maryland,24031,66159,1468
95362,2021-03-26,Prince George's,Maryland,24033,77182,1380
95363,2021-03-26,Queen Anne's,Maryland,24035,2688,40
95365,2021-03-26,St. Mary's,Maryland,24037,5378,121
95364,2021-03-26,Somerset,Maryland,24039,2468,36
95366,2021-03-26,Talbot,Maryland,24041,1944,36
95368,2021-03-26,Washington,Maryland,24043,13049,262
95369,2021-03-26,Wicomico,Maryland,24045,7039,149
95370,2021-03-26,Worcester,Maryland,24047,3343,92
95349,2021-03-26,Baltimore city,Maryland,24510,43600,938
95367,2021-03-26,Unknown,Maryland,,1,47
