,0,1,2,3,4,5
95907,2021-03-26,Churchill,Nevada,32001,1954,49
95908,2021-03-26,Clark,Nevada,32003,233671,4088
95909,2021-03-26,Douglas,Nevada,32005,2657,35
95910,2021-03-26,Elko,Nevada,32007,4667,53
95911,2021-03-26,Esmeralda,Nevada,32009,38,0
95912,2021-03-26,Eureka,Nevada,32011,50,0
95913,2021-03-26,Humboldt,Nevada,32013,1078,13
95914,2021-03-26,Lander,Nevada,32015,444,9
95915,2021-03-26,Lincoln,Nevada,32017,354,2
95916,2021-03-26,Lyon,Nevada,32019,2905,60
95917,2021-03-26,Mineral,Nevada,32021,305,7
95918,2021-03-26,Nye,Nevada,32023,2865,100
95919,2021-03-26,Pershing,Nevada,32027,943,20
95920,2021-03-26,Storey,Nevada,32029,88,3
95921,2021-03-26,Washoe,Nevada,32031,43942,661
95922,2021-03-26,White Pine,Nevada,32033,558,5
95906,2021-03-26,Carson City,Nevada,32510,6136,121
