,0,1,2,3,4,5
96047,2021-03-26,Alamance,North Carolina,37001,16638,239
96048,2021-03-26,Alexander,North Carolina,37003,4080,82
96049,2021-03-26,Alleghany,North Carolina,37005,939,5
96050,2021-03-26,Anson,North Carolina,37007,2414,55
96051,2021-03-26,Ashe,North Carolina,37009,1950,40
96052,2021-03-26,Avery,North Carolina,37011,1958,20
96053,2021-03-26,Beaufort,North Carolina,37013,4439,88
96054,2021-03-26,Bertie,North Carolina,37015,1693,42
96055,2021-03-26,Bladen,North Carolina,37017,3087,41
96056,2021-03-26,Brunswick,North Carolina,37019,8503,142
96057,2021-03-26,Buncombe,North Carolina,37021,16280,306
96058,2021-03-26,Burke,North Carolina,37023,9503,146
96059,2021-03-26,Cabarrus,North Carolina,37025,19495,240
96060,2021-03-26,Caldwell,North Carolina,37027,8922,100
96061,2021-03-26,Camden,North Carolina,37029,620,5
96062,2021-03-26,Carteret,North Carolina,37031,4648,45
96063,2021-03-26,Caswell,North Carolina,37033,2047,25
96064,2021-03-26,Catawba,North Carolina,37035,18102,291
96065,2021-03-26,Chatham,North Carolina,37037,4326,80
96066,2021-03-26,Cherokee,North Carolina,37039,2218,20
96067,2021-03-26,Chowan,North Carolina,37041,1395,22
96068,2021-03-26,Clay,North Carolina,37043,679,18
96069,2021-03-26,Cleveland,North Carolina,37045,10801,218
96070,2021-03-26,Columbus,North Carolina,37047,6104,149
96071,2021-03-26,Craven,North Carolina,37049,8811,119
96072,2021-03-26,Cumberland,North Carolina,37051,25555,290
96073,2021-03-26,Currituck,North Carolina,37053,1454,15
96074,2021-03-26,Dare,North Carolina,37055,1964,8
96075,2021-03-26,Davidson,North Carolina,37057,15191,178
96076,2021-03-26,Davie,North Carolina,37059,3756,35
96077,2021-03-26,Duplin,North Carolina,37061,5936,128
96078,2021-03-26,Durham,North Carolina,37063,23396,215
96079,2021-03-26,Edgecombe,North Carolina,37065,4948,101
96080,2021-03-26,Forsyth,North Carolina,37067,33163,359
96081,2021-03-26,Franklin,North Carolina,37069,5917,47
96082,2021-03-26,Gaston,North Carolina,37071,24657,399
96083,2021-03-26,Gates,North Carolina,37073,700,12
96084,2021-03-26,Graham,North Carolina,37075,571,12
96085,2021-03-26,Granville,North Carolina,37077,5517,78
96086,2021-03-26,Greene,North Carolina,37079,2183,42
96087,2021-03-26,Guilford,North Carolina,37081,42309,603
96088,2021-03-26,Halifax,North Carolina,37083,5148,103
96089,2021-03-26,Harnett,North Carolina,37085,10345,162
96090,2021-03-26,Haywood,North Carolina,37087,3995,91
96091,2021-03-26,Henderson,North Carolina,37089,9454,153
96092,2021-03-26,Hertford,North Carolina,37091,1998,63
96093,2021-03-26,Hoke,North Carolina,37093,4323,55
96094,2021-03-26,Hyde,North Carolina,37095,628,8
96095,2021-03-26,Iredell,North Carolina,37097,17284,203
96096,2021-03-26,Jackson,North Carolina,37099,3468,55
96097,2021-03-26,Johnston,North Carolina,37101,19187,206
96098,2021-03-26,Jones,North Carolina,37103,771,16
96099,2021-03-26,Lee,North Carolina,37105,5629,73
96100,2021-03-26,Lenoir,North Carolina,37107,5639,109
96101,2021-03-26,Lincoln,North Carolina,37109,9209,78
96105,2021-03-26,McDowell,North Carolina,37111,5020,63
96102,2021-03-26,Macon,North Carolina,37113,2673,29
96103,2021-03-26,Madison,North Carolina,37115,1441,40
96104,2021-03-26,Martin,North Carolina,37117,2137,37
96106,2021-03-26,Mecklenburg,North Carolina,37119,101603,910
96107,2021-03-26,Mitchell,North Carolina,37121,1301,16
96108,2021-03-26,Montgomery,North Carolina,37123,3192,90
96109,2021-03-26,Moore,North Carolina,37125,8330,181
96110,2021-03-26,Nash,North Carolina,37127,10383,174
96111,2021-03-26,New Hanover,North Carolina,37129,17312,161
96112,2021-03-26,Northampton,North Carolina,37131,1775,39
96113,2021-03-26,Onslow,North Carolina,37133,15276,139
96114,2021-03-26,Orange,North Carolina,37135,8006,100
96115,2021-03-26,Pamlico,North Carolina,37137,1033,11
96116,2021-03-26,Pasquotank,North Carolina,37139,3170,78
96117,2021-03-26,Pender,North Carolina,37141,4985,69
96118,2021-03-26,Perquimans,North Carolina,37143,940,9
96119,2021-03-26,Person,North Carolina,37145,3190,67
