,date,county,state,fips,cases,deaths
96203,2021-03-26,Adams,Ohio,39001,2231,47
96204,2021-03-26,Allen,Ohio,39003,10989,225
96205,2021-03-26,Ashland,Ohio,39005,3988,86
96206,2021-03-26,Ashtabula,Ohio,39007,6167,158
96207,2021-03-26,Athens,Ohio,39009,4788,52
96208,2021-03-26,Auglaize,Ohio,39011,4627,84
96209,2021-03-26,Belmont,Ohio,39013,5258,159
96210,2021-03-26,Brown,Ohio,39015,3803,55
96211,2021-03-26,Butler,Ohio,39017,36824,557
96212,2021-03-26,Carroll,Ohio,39019,1854,46
96213,2021-03-26,Champaign,Ohio,39021,3063,53
96214,2021-03-26,Clark,Ohio,39023,12961,280
96215,2021-03-26,Clermont,Ohio,39025,18976,219
96216,2021-03-26,Clinton,Ohio,39027,3516,59
96217,2021-03-26,Columbiana,Ohio,39029,8325,221
96218,2021-03-26,Coshocton,Ohio,39031,2523,57
96219,2021-03-26,Crawford,Ohio,39033,3737,100
96220,2021-03-26,Cuyahoga,Ohio,39035,100824,1991
96221,2021-03-26,Darke,Ohio,39037,5127,121
96222,2021-03-26,Defiance,Ohio,39039,3850,94
96223,2021-03-26,Delaware,Ohio,39041,17209,129
96224,2021-03-26,Erie,Ohio,39043,7199,151
96225,2021-03-26,Fairfield,Ohio,39045,15054,195
96226,2021-03-26,Fayette,Ohio,39047,2736,48
96227,2021-03-26,Franklin,Ohio,39049,116726,1316
96228,2021-03-26,Fulton,Ohio,39051,3915,64
96229,2021-03-26,Gallia,Ohio,39053,2277,44
96230,2021-03-26,Geauga,Ohio,39055,6281,144
96231,2021-03-26,Greene,Ohio,39057,14001,229
96232,2021-03-26,Guernsey,Ohio,39059,2983,48
96233,2021-03-26,Hamilton,Ohio,39061,75922,1142
96234,2021-03-26,Hancock,Ohio,39063,6263,122
96235,2021-03-26,Hardin,Ohio,39065,2561,62
96236,2021-03-26,Harrison,Ohio,39067,1030,36
96237,2021-03-26,Henry,Ohio,39069,2552,64
96238,2021-03-26,Highland,Ohio,39071,3405,57
96239,2021-03-26,Hocking,Ohio,39073,2030,57
96240,2021-03-26,Holmes,Ohio,39075,2484,100
96241,2021-03-26,Huron,Ohio,39077,5094,111
96242,2021-03-26,Jackson,Ohio,39079,2982,51
96243,2021-03-26,Jefferson,Ohio,39081,5001,144
96244,2021-03-26,Knox,Ohio,39083,4188,107
96245,2021-03-26,Lake,Ohio,39085,19077,354
96246,2021-03-26,Lawrence,Ohio,39087,5365,98
96247,2021-03-26,Licking,Ohio,39089,15549,202
96248,2021-03-26,Logan,Ohio,39091,3646,76
96249,2021-03-26,Lorain,Ohio,39093,22986,457
96250,2021-03-26,Lucas,Ohio,39095,37340,751
96251,2021-03-26,Madison,Ohio,39097,4053,57
96252,2021-03-26,Mahoning,Ohio,39099,20062,574
96253,2021-03-26,Marion,Ohio,39101,8184,133
96254,2021-03-26,Medina,Ohio,39103,14201,250
96255,2021-03-26,Meigs,Ohio,39105,1376,37
96256,2021-03-26,Mercer,Ohio,39107,4634,84
96257,2021-03-26,Miami,Ohio,39109,10281,205
96258,2021-03-26,Monroe,Ohio,39111,1238,39
96259,2021-03-26,Montgomery,Ohio,39113,48479,973
96260,2021-03-26,Morgan,Ohio,39115,1039,22
96261,2021-03-26,Morrow,Ohio,39117,2674,39
96262,2021-03-26,Muskingum,Ohio,39119,8442,123
96263,2021-03-26,Noble,Ohio,39121,1307,37
96264,2021-03-26,Ottawa,Ohio,39123,3375,76
96265,2021-03-26,Paulding,Ohio,39125,1654,38
96266,2021-03-26,Perry,Ohio,39127,2801,49
96267,2021-03-26,Pickaway,Ohio,39129,8265,118
96268,2021-03-26,Pike,Ohio,39131,2237,30
96269,2021-03-26,Portage,Ohio,39133,11668,192
96270,2021-03-26,Preble,Ohio,39135,3615,93
96271,2021-03-26,Putnam,Ohio,39137,4061,98
96272,2021-03-26,Richland,Ohio,39139,10622,198
96273,2021-03-26,Ross,Ohio,39141,6398,141
96274,2021-03-26,Sandusky,Ohio,39143,4926,117
96275,2021-03-26,Scioto,Ohio,39145,6164,96
96276,2021-03-26,Seneca,Ohio,39147,4907,113
96277,2021-03-26,Shelby,Ohio,39149,4484,88
96278,2021-03-26,Stark,Ohio,39151,30422,881
96279,2021-03-26,Summit,Ohio,39153,42640,887
96280,2021-03-26,Trumbull,Ohio,39155,14883,451
96281,2021-03-26,Tuscarawas,Ohio,39157,8235,237
96282,2021-03-26,Union,Ohio,39159,5371,45
96284,2021-03-26,Van Wert,Ohio,39161,2332,60
96285,2021-03-26,Vinton,Ohio,39163,787,13
96286,2021-03-26,Warren,Ohio,39165,23219,288
96287,2021-03-26,Washington,Ohio,39167,4952,105
96288,2021-03-26,Wayne,Ohio,39169,8209,209
96289,2021-03-26,Williams,Ohio,39171,3100,73
96290,2021-03-26,Wood,Ohio,39173,12126,181
96291,2021-03-26,Wyandot,Ohio,39175,2203,52
96283,2021-03-26,Unknown,Ohio,,0,1
