,0,1,2,3,4,5
96558,2021-03-26,Abbeville,South Carolina,45001,2406,37
96559,2021-03-26,Aiken,South Carolina,45003,16418,215
96560,2021-03-26,Allendale,South Carolina,45005,888,15
96561,2021-03-26,Anderson,South Carolina,45007,21530,493
96562,2021-03-26,Bamberg,South Carolina,45009,1503,51
96563,2021-03-26,Barnwell,South Carolina,45011,2467,53
96564,2021-03-26,Beaufort,South Carolina,45013,16163,197
96565,2021-03-26,Berkeley,South Carolina,45015,16021,181
96566,2021-03-26,Calhoun,South Carolina,45017,1271,36
96567,2021-03-26,Charleston,South Carolina,45019,40259,477
96568,2021-03-26,Cherokee,South Carolina,45021,5703,145
96569,2021-03-26,Chester,South Carolina,45023,3934,69
96570,2021-03-26,Chesterfield,South Carolina,45025,4548,98
96571,2021-03-26,Clarendon,South Carolina,45027,3284,105
96572,2021-03-26,Colleton,South Carolina,45029,3376,120
96573,2021-03-26,Darlington,South Carolina,45031,8115,171
96574,2021-03-26,Dillon,South Carolina,45033,4192,80
96575,2021-03-26,Dorchester,South Carolina,45035,16156,205
96576,2021-03-26,Edgefield,South Carolina,45037,2946,41
96577,2021-03-26,Fairfield,South Carolina,45039,2252,77
96578,2021-03-26,Florence,South Carolina,45041,17138,396
96579,2021-03-26,Georgetown,South Carolina,45043,6439,137
96580,2021-03-26,Greenville,South Carolina,45045,68520,937
96581,2021-03-26,Greenwood,South Carolina,45047,7571,165
96582,2021-03-26,Hampton,South Carolina,45049,1818,46
96583,2021-03-26,Horry,South Carolina,45051,36616,552
96584,2021-03-26,Jasper,South Carolina,45053,2217,43
96585,2021-03-26,Kershaw,South Carolina,45055,7005,133
96586,2021-03-26,Lancaster,South Carolina,45057,10015,157
96587,2021-03-26,Laurens,South Carolina,45059,6634,164
96588,2021-03-26,Lee,South Carolina,45061,1826,59
96589,2021-03-26,Lexington,South Carolina,45063,31345,461
96592,2021-03-26,McCormick,South Carolina,45065,984,27
96590,2021-03-26,Marion,South Carolina,45067,3389,101
96591,2021-03-26,Marlboro,South Carolina,45069,3112,51
96593,2021-03-26,Newberry,South Carolina,45071,4639,94
96594,2021-03-26,Oconee,South Carolina,45073,8846,131
96595,2021-03-26,Orangeburg,South Carolina,45075,9248,233
96596,2021-03-26,Pickens,South Carolina,45077,17346,277
96597,2021-03-26,Richland,South Carolina,45079,43492,525
96598,2021-03-26,Saluda,South Carolina,45081,1698,48
96599,2021-03-26,Spartanburg,South Carolina,45083,38216,759
96600,2021-03-26,Sumter,South Carolina,45085,10043,194
96601,2021-03-26,Union,South Carolina,45087,2828,84
96602,2021-03-26,Williamsburg,South Carolina,45089,3922,95
96603,2021-03-26,York,South Carolina,45091,28331,357
