,0,1,2,3,4,5
96766,2021-03-26,Anderson,Texas,48001,6094,112
96767,2021-03-26,Andrews,Texas,48003,1739,47
96768,2021-03-26,Angelina,Texas,48005,8164,268
96769,2021-03-26,Aransas,Texas,48007,1185,37
96770,2021-03-26,Archer,Texas,48009,790,12
96771,2021-03-26,Armstrong,Texas,48011,155,6
96772,2021-03-26,Atascosa,Texas,48013,5558,146
96773,2021-03-26,Austin,Texas,48015,1989,34
96774,2021-03-26,Bailey,Texas,48017,817,18
96775,2021-03-26,Bandera,Texas,48019,1323,27
96776,2021-03-26,Bastrop,Texas,48021,8757,90
96777,2021-03-26,Baylor,Texas,48023,295,12
96778,2021-03-26,Bee,Texas,48025,3467,68
96779,2021-03-26,Bell,Texas,48027,21395,408
96780,2021-03-26,Bexar,Texas,48029,203382,3275
96781,2021-03-26,Blanco,Texas,48031,698,19
96782,2021-03-26,Borden,Texas,48033,31,2
96783,2021-03-26,Bosque,Texas,48035,1631,33
96784,2021-03-26,Bowie,Texas,48037,6790,201
96785,2021-03-26,Brazoria,Texas,48039,35190,444
96786,2021-03-26,Brazos,Texas,48041,24945,234
96787,2021-03-26,Brewster,Texas,48043,903,13
96788,2021-03-26,Briscoe,Texas,48045,139,5
96789,2021-03-26,Brooks,Texas,48047,774,36
96790,2021-03-26,Brown,Texas,48049,4217,135
96791,2021-03-26,Burleson,Texas,48051,2297,38
96792,2021-03-26,Burnet,Texas,48053,4450,61
96793,2021-03-26,Caldwell,Texas,48055,5345,92
96794,2021-03-26,Calhoun,Texas,48057,2129,21
96795,2021-03-26,Callahan,Texas,48059,1161,38
96796,2021-03-26,Cameron,Texas,48061,38357,1572
96797,2021-03-26,Camp,Texas,48063,1202,42
96798,2021-03-26,Carson,Texas,48065,435,14
96799,2021-03-26,Cass,Texas,48067,1835,79
96800,2021-03-26,Castro,Texas,48069,922,30
96801,2021-03-26,Chambers,Texas,48071,4595,47
96802,2021-03-26,Cherokee,Texas,48073,4089,134
96803,2021-03-26,Childress,Texas,48075,1345,17
96804,2021-03-26,Clay,Texas,48077,1018,16
96805,2021-03-26,Cochran,Texas,48079,262,14
96806,2021-03-26,Coke,Texas,48081,439,12
96807,2021-03-26,Coleman,Texas,48083,735,32
96808,2021-03-26,Collin,Texas,48085,86015,787
96809,2021-03-26,Collingsworth,Texas,48087,282,9
96810,2021-03-26,Colorado,Texas,48089,1628,25
96811,2021-03-26,Comal,Texas,48091,9622,305
96812,2021-03-26,Comanche,Texas,48093,1517,51
96813,2021-03-26,Concho,Texas,48095,364,8
96814,2021-03-26,Cooke,Texas,48097,3607,67
96815,2021-03-26,Coryell,Texas,48099,6991,83
96816,2021-03-26,Cottle,Texas,48101,190,7
96817,2021-03-26,Crane,Texas,48103,516,12
96818,2021-03-26,Crockett,Texas,48105,573,15
96819,2021-03-26,Crosby,Texas,48107,547,28
96820,2021-03-26,Culberson,Texas,48109,352,8
96821,2021-03-26,Dallam,Texas,48111,930,24
96822,2021-03-26,Dallas,Texas,48113,290796,3821
96823,2021-03-26,Dawson,Texas,48115,1717,68
96825,2021-03-26,Deaf Smith,Texas,48117,2746,64
96826,2021-03-26,Delta,Texas,48119,308,11
96827,2021-03-26,Denton,Texas,48121,71484,718
96824,2021-03-26,DeWitt,Texas,48123,1895,58
96828,2021-03-26,Dickens,Texas,48125,160,10
96829,2021-03-26,Dimmit,Texas,48127,1701,28
96830,2021-03-26,Donley,Texas,48129,359,15
96831,2021-03-26,Duval,Texas,48131,1212,39
96832,2021-03-26,Eastland,Texas,48133,1321,47
96833,2021-03-26,Ector,Texas,48135,16602,349
96834,2021-03-26,Edwards,Texas,48137,247,5
96836,2021-03-26,Ellis,Texas,48139,22033,302
96835,2021-03-26,El Paso,Texas,48141,128769,2528
96837,2021-03-26,Erath,Texas,48143,4051,67
96838,2021-03-26,Falls,Texas,48145,2019,29
96839,2021-03-26,Fannin,Texas,48147,3398,107
96840,2021-03-26,Fayette,Texas,48149,2473,56
96841,2021-03-26,Fisher,Texas,48151,291,14
96842,2021-03-26,Floyd,Texas,48153,786,29
96843,2021-03-26,Foard,Texas,48155,120,10
96844,2021-03-26,Fort Bend,Texas,48157,62851,628
96845,2021-03-26,Franklin,Texas,48159,705,26
96846,2021-03-26,Freestone,Texas,48161,1802,48
96847,2021-03-26,Frio,Texas,48163,2733,47
96848,2021-03-26,Gaines,Texas,48165,1418,42
96849,2021-03-26,Galveston,Texas,48167,36788,386
96850,2021-03-26,Garza,Texas,48169,397,22
96851,2021-03-26,Gillespie,Texas,48171,2493,48
96852,2021-03-26,Glasscock,Texas,48173,99,2
96853,2021-03-26,Goliad,Texas,48175,433,13
96854,2021-03-26,Gonzales,Texas,48177,2677,55
96855,2021-03-26,Gray,Texas,48179,2046,54
96856,2021-03-26,Grayson,Texas,48181,11032,335
96857,2021-03-26,Gregg,Texas,48183,10872,341
96858,2021-03-26,Grimes,Texas,48185,3505,66
96859,2021-03-26,Guadalupe,Texas,48187,13811,203
96860,2021-03-26,Hale,Texas,48189,6073,153
96861,2021-03-26,Hall,Texas,48191,429,14
96862,2021-03-26,Hamilton,Texas,48193,754,26
96863,2021-03-26,Hansford,Texas,48195,851,23
96864,2021-03-26,Hardeman,Texas,48197,367,12
96865,2021-03-26,Hardin,Texas,48199,5335,104
96866,2021-03-26,Harris,Texas,48201,372888,5727
96867,2021-03-26,Harrison,Texas,48203,4659,104
96868,2021-03-26,Hartley,Texas,48205,614,2
96869,2021-03-26,Haskell,Texas,48207,437,27
96870,2021-03-26,Hays,Texas,48209,18916,236
96871,2021-03-26,Hemphill,Texas,48211,550,2
96872,2021-03-26,Henderson,Texas,48213,5694,176
96873,2021-03-26,Hidalgo,Texas,48215,84460,2754
96874,2021-03-26,Hill,Texas,48217,4382,104
96875,2021-03-26,Hockley,Texas,48219,2415,100
96876,2021-03-26,Hood,Texas,48221,6390,122
96877,2021-03-26,Hopkins,Texas,48223,3010,107
96878,2021-03-26,Houston,Texas,48225,1585,49
96879,2021-03-26,Howard,Texas,48227,4546,100
96880,2021-03-26,Hudspeth,Texas,48229,509,11
96881,2021-03-26,Hunt,Texas,48231,5498,162
96882,2021-03-26,Hutchinson,Texas,48233,1644,71
96883,2021-03-26,Irion,Texas,48235,123,1
96884,2021-03-26,Jack,Texas,48237,604,16
96885,2021-03-26,Jackson,Texas,48239,1719,30
96886,2021-03-26,Jasper,Texas,48241,2363,84
96887,2021-03-26,Jeff Davis,Texas,48243,184,4
96888,2021-03-26,Jefferson,Texas,48245,18785,387
96889,2021-03-26,Jim Hogg,Texas,48247,605,15
96890,2021-03-26,Jim Wells,Texas,48249,4089,93
96891,2021-03-26,Johnson,Texas,48251,19206,357
96892,2021-03-26,Jones,Texas,48253,2722,53
96893,2021-03-26,Karnes,Texas,48255,1824,34
96894,2021-03-26,Kaufman,Texas,48257,15428,237
96895,2021-03-26,Kendall,Texas,48259,3101,70
96896,2021-03-26,Kenedy,Texas,48261,36,2
96897,2021-03-26,Kent,Texas,48263,98,2
96898,2021-03-26,Kerr,Texas,48265,4326,84
96899,2021-03-26,Kimble,Texas,48267,260,6
96900,2021-03-26,King,Texas,48269,11,0
96901,2021-03-26,Kinney,Texas,48271,338,6
96902,2021-03-26,Kleberg,Texas,48273,2487,88
96903,2021-03-26,Knox,Texas,48275,255,16
96905,2021-03-26,Lamar,Texas,48277,5750,152
96906,2021-03-26,Lamb,Texas,48279,2030,80
96907,2021-03-26,Lampasas,Texas,48281,2093,32
96904,2021-03-26,La Salle,Texas,48283,1022,27
96908,2021-03-26,Lavaca,Texas,48285,2370,75
96909,2021-03-26,Lee,Texas,48287,2099,37
96910,2021-03-26,Leon,Texas,48289,1581,41
96911,2021-03-26,Liberty,Texas,48291,7369,170
96912,2021-03-26,Limestone,Texas,48293,2677,71
96913,2021-03-26,Lipscomb,Texas,48295,304,12
96914,2021-03-26,Live Oak,Texas,48297,1117,20
96915,2021-03-26,Llano,Texas,48299,1590,50
96916,2021-03-26,Loving,Texas,48301,1,0
96917,2021-03-26,Lubbock,Texas,48303,48537,775
96918,2021-03-26,Lynn,Texas,48305,611,23
96925,2021-03-26,McCulloch,Texas,48307,562,19
96926,2021-03-26,McLennan,Texas,48309,25991,461
96927,2021-03-26,McMullen,Texas,48311,83,5
96919,2021-03-26,Madison,Texas,48313,1916,28
96920,2021-03-26,Marion,Texas,48315,525,33
96921,2021-03-26,Martin,Texas,48317,614,18
96922,2021-03-26,Mason,Texas,48319,391,6
96923,2021-03-26,Matagorda,Texas,48321,3374,96
96924,2021-03-26,Maverick,Texas,48323,10327,338
96928,2021-03-26,Medina,Texas,48325,4782,103
96929,2021-03-26,Menard,Texas,48327,208,9
96930,2021-03-26,Midland,Texas,48329,16852,260
96931,2021-03-26,Milam,Texas,48331,2430,45
96932,2021-03-26,Mills,Texas,48333,647,21
96933,2021-03-26,Mitchell,Texas,48335,598,30
96934,2021-03-26,Montague,Texas,48337,2048,70
96935,2021-03-26,Montgomery,Texas,48339,48926,510
96936,2021-03-26,Moore,Texas,48341,2315,71
96937,2021-03-26,Morris,Texas,48343,851,33
96938,2021-03-26,Motley,Texas,48345,89,8
96939,2021-03-26,Nacogdoches,Texas,48347,4336,163
96940,2021-03-26,Navarro,Texas,48349,5623,142
96941,2021-03-26,Newton,Texas,48351,587,34
96942,2021-03-26,Nolan,Texas,48353,1519,50
96943,2021-03-26,Nueces,Texas,48355,39332,747
96944,2021-03-26,Ochiltree,Texas,48357,1062,25
96945,2021-03-26,Oldham,Texas,48359,249,4
96946,2021-03-26,Orange,Texas,48361,8204,130
96947,2021-03-26,Palo Pinto,Texas,48363,2830,71
96948,2021-03-26,Panola,Texas,48365,1567,74
96949,2021-03-26,Parker,Texas,48367,15217,170
96950,2021-03-26,Parmer,Texas,48369,1213,35
96951,2021-03-26,Pecos,Texas,48371,1558,34
96952,2021-03-26,Polk,Texas,48373,3062,103
96953,2021-03-26,Potter,Texas,48375,17128,426
96954,2021-03-26,Presidio,Texas,48377,799,24
96955,2021-03-26,Rains,Texas,48379,782,25
96956,2021-03-26,Randall,Texas,48381,16429,284
96957,2021-03-26,Reagan,Texas,48383,375,8
96958,2021-03-26,Real,Texas,48385,306,12
96959,2021-03-26,Red River,Texas,48387,667,36
96960,2021-03-26,Reeves,Texas,48389,1701,40
96961,2021-03-26,Refugio,Texas,48391,634,20
96962,2021-03-26,Roberts,Texas,48393,59,1
96963,2021-03-26,Robertson,Texas,48395,2053,39
96964,2021-03-26,Rockwall,Texas,48397,11024,150
96965,2021-03-26,Runnels,Texas,48399,1263,36
96966,2021-03-26,Rusk,Texas,48401,3842,104
96967,2021-03-26,Sabine,Texas,48403,507,41
96968,2021-03-26,San Augustine,Texas,48405,550,30
96969,2021-03-26,San Jacinto,Texas,48407,1147,33
96970,2021-03-26,San Patricio,Texas,48409,4152,144
96971,2021-03-26,San Saba,Texas,48411,795,23
96972,2021-03-26,Schleicher,Texas,48413,233,6
96973,2021-03-26,Scurry,Texas,48415,2366,62
96974,2021-03-26,Shackelford,Texas,48417,255,5
96975,2021-03-26,Shelby,Texas,48419,1588,66
96976,2021-03-26,Sherman,Texas,48421,210,12
96977,2021-03-26,Smith,Texas,48423,19454,441
96978,2021-03-26,Somervell,Texas,48425,1052,14
96979,2021-03-26,Starr,Texas,48427,9251,284
96980,2021-03-26,Stephens,Texas,48429,767,25
96981,2021-03-26,Sterling,Texas,48431,107,4
96982,2021-03-26,Stonewall,Texas,48433,156,6
96983,2021-03-26,Sutton,Texas,48435,473,8
96984,2021-03-26,Swisher,Texas,48437,784,17
96985,2021-03-26,Tarrant,Texas,48439,249921,3258
96986,2021-03-26,Taylor,Texas,48441,15466,391
96987,2021-03-26,Terrell,Texas,48443,75,2
96988,2021-03-26,Terry,Texas,48445,1686,54
96989,2021-03-26,Throckmorton,Texas,48447,73,5
96990,2021-03-26,Titus,Texas,48449,3652,83
96991,2021-03-26,Tom Green,Texas,48451,16561,266
96992,2021-03-26,Travis,Texas,48453,78661,943
96993,2021-03-26,Trinity,Texas,48455,708,23
96994,2021-03-26,Tyler,Texas,48457,1247,37
96995,2021-03-26,Upshur,Texas,48459,3193,67
96996,2021-03-26,Upton,Texas,48461,381,9
96997,2021-03-26,Uvalde,Texas,48463,3500,68
96998,2021-03-26,Val Verde,Texas,48465,7776,211
96999,2021-03-26,Van Zandt,Texas,48467,4099,112
97000,2021-03-26,Victoria,Texas,48469,8085,194
97001,2021-03-26,Walker,Texas,48471,8504,122
97002,2021-03-26,Waller,Texas,48473,3815,45
97003,2021-03-26,Ward,Texas,48475,1157,21
97004,2021-03-26,Washington,Texas,48477,3805,86
97005,2021-03-26,Webb,Texas,48479,43103,816
97006,2021-03-26,Wharton,Texas,48481,3899,111
97007,2021-03-26,Wheeler,Texas,48483,496,10
97008,2021-03-26,Wichita,Texas,48485,14808,368
97009,2021-03-26,Wilbarger,Texas,48487,1883,55
97010,2021-03-26,Willacy,Texas,48489,2544,86
97011,2021-03-26,Williamson,Texas,48491,42823,446
97012,2021-03-26,Wilson,Texas,48493,4281,66
97013,2021-03-26,Winkler,Texas,48495,741,21
97014,2021-03-26,Wise,Texas,48497,7136,115
97015,2021-03-26,Wood,Texas,48499,3336,122
97016,2021-03-26,Yoakum,Texas,48501,865,27
97017,2021-03-26,Young,Texas,48503,2130,44
97018,2021-03-26,Zapata,Texas,48505,1757,30
97019,2021-03-26,Zavala,Texas,48507,1877,43
