,0,1,2,3,4,5
97020,2021-03-26,Beaver,Utah,49001,746,6
97021,2021-03-26,Box Elder,Utah,49003,5029,47
97022,2021-03-26,Cache,Utah,49005,15441,43
97023,2021-03-26,Carbon,Utah,49007,1581,15
97024,2021-03-26,Daggett,Utah,49009,38,0
97025,2021-03-26,Davis,Utah,49011,36030,155
97026,2021-03-26,Duchesne,Utah,49013,1160,9
97027,2021-03-26,Emery,Utah,49015,910,9
97028,2021-03-26,Garfield,Utah,49017,463,10
97029,2021-03-26,Grand,Utah,49019,730,3
97030,2021-03-26,Iron,Utah,49021,5338,31
97031,2021-03-26,Juab,Utah,49023,1250,12
97032,2021-03-26,Kane,Utah,49025,636,5
97033,2021-03-26,Millard,Utah,49027,1404,12
97034,2021-03-26,Morgan,Utah,49029,1169,11
97035,2021-03-26,Piute,Utah,49031,100,2
97036,2021-03-26,Rich,Utah,49033,139,0
97037,2021-03-26,Salt Lake,Utah,49035,143049,816
97038,2021-03-26,San Juan,Utah,49037,1850,37
97039,2021-03-26,Sanpete,Utah,49039,3655,21
97040,2021-03-26,Sevier,Utah,49041,2119,12
97041,2021-03-26,Summit,Utah,49043,5264,11
97042,2021-03-26,Tooele,Utah,49045,6872,39
97043,2021-03-26,Uintah,Utah,49047,2486,19
97045,2021-03-26,Utah,Utah,49049,92612,359
97046,2021-03-26,Wasatch,Utah,49051,4451,21
97047,2021-03-26,Washington,Utah,49053,20470,203
97048,2021-03-26,Wayne,Utah,49055,126,0
97049,2021-03-26,Weber,Utah,49057,27471,183
97044,2021-03-26,Unknown,Utah,,1182,0
