,date,county,state,fips,cases,deaths
97296,2021-03-26,Adams,Wisconsin,55001,1783,15
97297,2021-03-26,Ashland,Wisconsin,55003,1271,16
97298,2021-03-26,Barron,Wisconsin,55005,5665,76
97299,2021-03-26,Bayfield,Wisconsin,55007,1164,19
97300,2021-03-26,Brown,Wisconsin,55009,33632,268
97301,2021-03-26,Buffalo,Wisconsin,55011,1358,7
97302,2021-03-26,Burnett,Wisconsin,55013,1364,22
97303,2021-03-26,Calumet,Wisconsin,55015,6188,50
97304,2021-03-26,Chippewa,Wisconsin,55017,7355,95
97305,2021-03-26,Clark,Wisconsin,55019,3557,62
97306,2021-03-26,Columbia,Wisconsin,55021,5540,68
97307,2021-03-26,Crawford,Wisconsin,55023,1732,17
97308,2021-03-26,Dane,Wisconsin,55025,43339,311
97309,2021-03-26,Dodge,Wisconsin,55027,12392,182
97310,2021-03-26,Door,Wisconsin,55029,2713,26
97311,2021-03-26,Douglas,Wisconsin,55031,4362,46
97312,2021-03-26,Dunn,Wisconsin,55033,4716,30
97313,2021-03-26,Eau Claire,Wisconsin,55035,11555,116
97314,2021-03-26,Florence,Wisconsin,55037,479,12
97315,2021-03-26,Fond du Lac,Wisconsin,55039,13248,111
97316,2021-03-26,Forest,Wisconsin,55041,1006,26
97317,2021-03-26,Grant,Wisconsin,55043,5430,88
97318,2021-03-26,Green,Wisconsin,55045,3434,22
97319,2021-03-26,Green Lake,Wisconsin,55047,1966,21
97320,2021-03-26,Iowa,Wisconsin,55049,2036,11
97321,2021-03-26,Iron,Wisconsin,55051,682,40
97322,2021-03-26,Jackson,Wisconsin,55053,2638,28
97323,2021-03-26,Jefferson,Wisconsin,55055,9088,126
97324,2021-03-26,Juneau,Wisconsin,55057,3145,22
97325,2021-03-26,Kenosha,Wisconsin,55059,17386,318
97326,2021-03-26,Kewaunee,Wisconsin,55061,2607,30
97327,2021-03-26,La Crosse,Wisconsin,55063,13159,80
97328,2021-03-26,Lafayette,Wisconsin,55065,1643,7
97329,2021-03-26,Langlade,Wisconsin,55067,2103,45
97330,2021-03-26,Lincoln,Wisconsin,55069,3142,78
97331,2021-03-26,Manitowoc,Wisconsin,55071,8506,85
97332,2021-03-26,Marathon,Wisconsin,55073,15289,218
97333,2021-03-26,Marinette,Wisconsin,55075,4407,68
97334,2021-03-26,Marquette,Wisconsin,55077,1506,27
97335,2021-03-26,Menominee,Wisconsin,55078,797,11
97336,2021-03-26,Milwaukee,Wisconsin,55079,109653,1300
97337,2021-03-26,Monroe,Wisconsin,55081,4472,35
97338,2021-03-26,Oconto,Wisconsin,55083,4790,56
97339,2021-03-26,Oneida,Wisconsin,55085,3633,73
97340,2021-03-26,Outagamie,Wisconsin,55087,22418,213
97341,2021-03-26,Ozaukee,Wisconsin,55089,8780,88
97342,2021-03-26,Pepin,Wisconsin,55091,840,7
97343,2021-03-26,Pierce,Wisconsin,55093,4516,41
97344,2021-03-26,Polk,Wisconsin,55095,4119,48
97345,2021-03-26,Portage,Wisconsin,55097,7079,69
97346,2021-03-26,Price,Wisconsin,55099,1271,7
97347,2021-03-26,Racine,Wisconsin,55101,23368,361
97348,2021-03-26,Richland,Wisconsin,55103,1339,15
97349,2021-03-26,Rock,Wisconsin,55105,16316,179
97350,2021-03-26,Rusk,Wisconsin,55107,1322,17
97355,2021-03-26,St. Croix,Wisconsin,55109,8319,54
97351,2021-03-26,Sauk,Wisconsin,55111,5713,50
97352,2021-03-26,Sawyer,Wisconsin,55113,1600,22
97353,2021-03-26,Shawano,Wisconsin,55115,5168,81
97354,2021-03-26,Sheboygan,Wisconsin,55117,14030,142
97356,2021-03-26,Taylor,Wisconsin,55119,2043,32
97357,2021-03-26,Trempealeau,Wisconsin,55121,3540,41
97358,2021-03-26,Vernon,Wisconsin,55123,1933,41
97359,2021-03-26,Vilas,Wisconsin,55125,2326,41
97360,2021-03-26,Walworth,Wisconsin,55127,11757,154
97361,2021-03-26,Washburn,Wisconsin,55129,1423,20
97362,2021-03-26,Washington,Wisconsin,55131,15925,149
97363,2021-03-26,Waukesha,Wisconsin,55133,46289,543
97364,2021-03-26,Waupaca,Wisconsin,55135,5818,161
97365,2021-03-26,Waushara,Wisconsin,55137,2432,35
97366,2021-03-26,Winnebago,Wisconsin,55139,20321,207
97367,2021-03-26,Wood,Wisconsin,55141,7218,90
