,0,1,2,3,4,5
97368,2021-03-26,Albany,Wyoming,56001,3961,11
97369,2021-03-26,Big Horn,Wyoming,56003,1109,32
97370,2021-03-26,Campbell,Wyoming,56005,4733,59
97371,2021-03-26,Carbon,Wyoming,56007,1516,23
97372,2021-03-26,Converse,Wyoming,56009,982,17
97373,2021-03-26,Crook,Wyoming,56011,422,11
97374,2021-03-26,Fremont,Wyoming,56013,5044,82
97375,2021-03-26,Goshen,Wyoming,56015,1168,23
97376,2021-03-26,Hot Springs,Wyoming,56017,363,3
97377,2021-03-26,Johnson,Wyoming,56019,712,10
97378,2021-03-26,Laramie,Wyoming,56021,8561,110
97379,2021-03-26,Lincoln,Wyoming,56023,1328,12
97380,2021-03-26,Natrona,Wyoming,56025,7798,133
97381,2021-03-26,Niobrara,Wyoming,56027,150,2
97382,2021-03-26,Park,Wyoming,56029,2643,30
97383,2021-03-26,Platte,Wyoming,56031,607,11
97384,2021-03-26,Sheridan,Wyoming,56033,3064,31
97385,2021-03-26,Sublette,Wyoming,56035,693,7
97386,2021-03-26,Sweetwater,Wyoming,56037,3990,36
97387,2021-03-26,Teton,Wyoming,56039,3562,9
97388,2021-03-26,Uinta,Wyoming,56041,2119,12
97389,2021-03-26,Washakie,Wyoming,56043,889,26
97390,2021-03-26,Weston,Wyoming,56045,632,5
