,date,county,state,fips,cases,deaths
91087,2021-03-27,Alameda,California,06001,83064,1395
91088,2021-03-27,Alpine,California,06003,85,0
91089,2021-03-27,Amador,California,06005,3531,45
91090,2021-03-27,Butte,California,06007,11278,191
91091,2021-03-27,Calaveras,California,06009,1989,50
91092,2021-03-27,Colusa,California,06011,2164,16
91093,2021-03-27,Contra Costa,California,06013,65065,761
91094,2021-03-27,Del Norte,California,06015,1125,6
91095,2021-03-27,El Dorado,California,06017,9353,105
91096,2021-03-27,Fresno,California,06019,98731,1601
91097,2021-03-27,Glenn,California,06021,2803,25
91098,2021-03-27,Humboldt,California,06023,3448,35
91099,2021-03-27,Imperial,California,06025,27374,711
91100,2021-03-27,Inyo,California,06027,1369,35
91101,2021-03-27,Kern,California,06029,105994,1211
91102,2021-03-27,Kings,California,06031,22588,241
91103,2021-03-27,Lake,California,06033,3314,43
91104,2021-03-27,Lassen,California,06035,5649,1
91105,2021-03-27,Los Angeles,California,06037,1218359,23080
91106,2021-03-27,Madera,California,06039,15952,231
91107,2021-03-27,Marin,California,06041,13553,221
91108,2021-03-27,Mariposa,California,06043,408,7
91109,2021-03-27,Mendocino,California,06045,3935,46
91110,2021-03-27,Merced,California,06047,30419,434
91111,2021-03-27,Modoc,California,06049,344,3
91112,2021-03-27,Mono,California,06051,1236,4
91113,2021-03-27,Monterey,California,06053,42890,340
91114,2021-03-27,Napa,California,06055,9350,78
91115,2021-03-27,Nevada,California,06057,4222,83
91116,2021-03-27,Orange,California,06059,265653,4711
91117,2021-03-27,Placer,California,06061,20736,263
91118,2021-03-27,Plumas,California,06063,654,4
91119,2021-03-27,Riverside,California,06065,293831,4248
91120,2021-03-27,Sacramento,California,06067,97039,1599
91121,2021-03-27,San Benito,California,06069,5855,61
91122,2021-03-27,San Bernardino,California,06071,290505,4288
91123,2021-03-27,San Diego,California,06073,269338,3540
91124,2021-03-27,San Francisco,California,06075,35189,472
91125,2021-03-27,San Joaquin,California,06077,69448,1250
91126,2021-03-27,San Luis Obispo,California,06079,20402,255
91127,2021-03-27,San Mateo,California,06081,40199,547
91128,2021-03-27,Santa Barbara,California,06083,33045,439
91129,2021-03-27,Santa Clara,California,06085,114183,1935
91130,2021-03-27,Santa Cruz,California,06087,15306,201
91131,2021-03-27,Shasta,California,06089,11319,200
91132,2021-03-27,Sierra,California,06091,50,0
91133,2021-03-27,Siskiyou,California,06093,1870,15
91134,2021-03-27,Solano,California,06095,31014,205
91135,2021-03-27,Sonoma,California,06097,29122,310
91136,2021-03-27,Stanislaus,California,06099,58602,992
91137,2021-03-27,Sutter,California,06101,9110,104
91138,2021-03-27,Tehama,California,06103,4722,51
91139,2021-03-27,Trinity,California,06105,312,3
91140,2021-03-27,Tulare,California,06107,48960,813
91141,2021-03-27,Tuolumne,California,06109,4024,62
91142,2021-03-27,Ventura,California,06111,79472,969
91143,2021-03-27,Yolo,California,06113,13299,196
91144,2021-03-27,Yuba,California,06115,5953,42
