,date,county,state,fips,cases,yest,diff
91145,2021-03-27,Adams,Colorado,08001,51972,51597,375
91146,2021-03-27,Alamosa,Colorado,08003,1341,1339,2
91147,2021-03-27,Arapahoe,Colorado,08005,52505,52055,450
91148,2021-03-27,Archuleta,Colorado,08007,742,738,4
91149,2021-03-27,Baca,Colorado,08009,278,278,0
91150,2021-03-27,Bent,Colorado,08011,1483,1483,0
91151,2021-03-27,Boulder,Colorado,08013,20402,20335,67
91152,2021-03-27,Broomfield,Colorado,08014,4144,4124,20
91153,2021-03-27,Chaffee,Colorado,08015,1495,1491,4
91154,2021-03-27,Cheyenne,Colorado,08017,126,126,0
91155,2021-03-27,Clear Creek,Colorado,08019,398,394,4
91156,2021-03-27,Conejos,Colorado,08021,460,460,0
91157,2021-03-27,Costilla,Colorado,08023,202,202,0
91158,2021-03-27,Crowley,Colorado,08025,2140,2138,2
91159,2021-03-27,Custer,Colorado,08027,171,171,0
91160,2021-03-27,Delta,Colorado,08029,2537,2532,5
91161,2021-03-27,Denver,Colorado,08031,63651,63496,155
91162,2021-03-27,Dolores,Colorado,08033,67,67,0
91163,2021-03-27,Douglas,Colorado,08035,23988,23683,305
91164,2021-03-27,Eagle,Colorado,08037,5663,5645,18
91166,2021-03-27,Elbert,Colorado,08039,1399,1396,3
91165,2021-03-27,El Paso,Colorado,08041,55931,55757,174
91167,2021-03-27,Fremont,Colorado,08043,5631,5621,10
91168,2021-03-27,Garfield,Colorado,08045,5373,5364,9
91169,2021-03-27,Gilpin,Colorado,08047,185,184,1
91170,2021-03-27,Grand,Colorado,08049,1324,1322,2
91171,2021-03-27,Gunnison,Colorado,08051,1238,1232,6
91172,2021-03-27,Hinsdale,Colorado,08053,17,17,0
91173,2021-03-27,Huerfano,Colorado,08055,333,333,0
91174,2021-03-27,Jackson,Colorado,08057,52,52,0
91175,2021-03-27,Jefferson,Colorado,08059,40037,39925,112
91176,2021-03-27,Kiowa,Colorado,08061,91,91,0
91177,2021-03-27,Kit Carson,Colorado,08063,584,579,5
91179,2021-03-27,Lake,Colorado,08065,697,694,3
91178,2021-03-27,La Plata,Colorado,08067,3296,3280,16
91180,2021-03-27,Larimer,Colorado,08069,21939,21842,97
91181,2021-03-27,Las Animas,Colorado,08071,1038,1038,0
91182,2021-03-27,Lincoln,Colorado,08073,1004,1004,0
91183,2021-03-27,Logan,Colorado,08075,3819,3816,3
91184,2021-03-27,Mesa,Colorado,08077,13679,13659,20
91185,2021-03-27,Mineral,Colorado,08079,86,86,0
91186,2021-03-27,Moffat,Colorado,08081,695,695,0
91187,2021-03-27,Montezuma,Colorado,08083,1785,1784,1
91188,2021-03-27,Montrose,Colorado,08085,3320,3315,5
91189,2021-03-27,Morgan,Colorado,08087,2526,2523,3
91190,2021-03-27,Otero,Colorado,08089,1881,1880,1
91191,2021-03-27,Ouray,Colorado,08091,272,272,0
91192,2021-03-27,Park,Colorado,08093,607,603,4
91193,2021-03-27,Phillips,Colorado,08095,347,346,1
91194,2021-03-27,Pitkin,Colorado,08097,2385,2370,15
91195,2021-03-27,Prowers,Colorado,08099,1169,1169,0
91196,2021-03-27,Pueblo,Colorado,08101,15651,15614,37
91197,2021-03-27,Rio Blanco,Colorado,08103,515,514,1
91198,2021-03-27,Rio Grande,Colorado,08105,752,752,0
91199,2021-03-27,Routt,Colorado,08107,2048,2044,4
91200,2021-03-27,Saguache,Colorado,08109,331,328,3
91201,2021-03-27,San Juan,Colorado,08111,44,44,0
91202,2021-03-27,San Miguel,Colorado,08113,848,848,0
91203,2021-03-27,Sedgwick,Colorado,08115,199,199,0
91204,2021-03-27,Summit,Colorado,08117,3335,3307,28
91205,2021-03-27,Teller,Colorado,08119,1403,1400,3
91206,2021-03-27,Washington,Colorado,08121,434,433,1
91207,2021-03-27,Weld,Colorado,08123,27215,27188,27
91208,2021-03-27,Yuma,Colorado,08125,834,832,2
