,date,county,state,fips,cases,deaths
91223,2021-03-27,Alachua,Florida,12001,23239,258
91224,2021-03-27,Baker,Florida,12003,3350,59
91225,2021-03-27,Bay,Florida,12005,19470,373
91226,2021-03-27,Bradford,Florida,12007,2914,54
91227,2021-03-27,Brevard,Florida,12009,36859,803
91228,2021-03-27,Broward,Florida,12011,211935,2623
91229,2021-03-27,Calhoun,Florida,12013,1653,42
91230,2021-03-27,Charlotte,Florida,12015,11402,390
91231,2021-03-27,Citrus,Florida,12017,10251,425
91232,2021-03-27,Clay,Florida,12019,17291,325
91233,2021-03-27,Collier,Florida,12021,32191,492
91234,2021-03-27,Columbia,Florida,12023,7817,162
91235,2021-03-27,DeSoto,Florida,12027,4042,83
91236,2021-03-27,Dixie,Florida,12029,1548,23
91237,2021-03-27,Duval,Florida,12031,92143,1293
91238,2021-03-27,Escambia,Florida,12033,34749,664
91239,2021-03-27,Flagler,Florida,12035,6580,96
91240,2021-03-27,Franklin,Florida,12037,1294,16
91241,2021-03-27,Gadsden,Florida,12039,5528,89
91242,2021-03-27,Gilchrist,Florida,12041,1483,37
91243,2021-03-27,Glades,Florida,12043,924,19
91244,2021-03-27,Gulf,Florida,12045,1910,41
91245,2021-03-27,Hamilton,Florida,12047,1586,23
91246,2021-03-27,Hardee,Florida,12049,2891,37
91247,2021-03-27,Hendry,Florida,12051,4457,77
91248,2021-03-27,Hernando,Florida,12053,12262,439
91249,2021-03-27,Highlands,Florida,12055,7600,317
91250,2021-03-27,Hillsborough,Florida,12057,120274,1601
91251,2021-03-27,Holmes,Florida,12059,2210,46
91252,2021-03-27,Indian River,Florida,12061,11645,279
91253,2021-03-27,Jackson,Florida,12063,6049,154
91254,2021-03-27,Jefferson,Florida,12065,1425,24
91255,2021-03-27,Lafayette,Florida,12067,1605,25
91256,2021-03-27,Lake,Florida,12069,26418,600
91257,2021-03-27,Lee,Florida,12071,61967,910
91258,2021-03-27,Leon,Florida,12073,30212,301
91259,2021-03-27,Levy,Florida,12075,3067,43
91260,2021-03-27,Liberty,Florida,12077,1051,16
91261,2021-03-27,Madison,Florida,12079,2030,43
91262,2021-03-27,Manatee,Florida,12081,34487,633
91263,2021-03-27,Marion,Florida,12083,28889,916
91264,2021-03-27,Martin,Florida,12085,11275,302
91265,2021-03-27,Miami-Dade,Florida,12086,441274,5797
91266,2021-03-27,Monroe,Florida,12087,6355,48
91267,2021-03-27,Nassau,Florida,12089,7952,122
91268,2021-03-27,Okaloosa,Florida,12091,19703,348
91269,2021-03-27,Okeechobee,Florida,12093,3709,84
91270,2021-03-27,Orange,Florida,12095,122409,1173
91271,2021-03-27,Osceola,Florida,12097,39271,481
91272,2021-03-27,Palm Beach,Florida,12099,130356,2635
91273,2021-03-27,Pasco,Florida,12101,35990,687
91274,2021-03-27,Pinellas,Florida,12103,71499,1543
91275,2021-03-27,Polk,Florida,12105,60602,1237
91276,2021-03-27,Putnam,Florida,12107,6010,134
91280,2021-03-27,St. Johns,Florida,12109,21025,204
91281,2021-03-27,St. Lucie,Florida,12111,23815,577
91277,2021-03-27,Santa Rosa,Florida,12113,17693,278
91278,2021-03-27,Sarasota,Florida,12115,28997,785
91279,2021-03-27,Seminole,Florida,12117,29653,463
91282,2021-03-27,Sumter,Florida,12119,8730,244
91283,2021-03-27,Suwannee,Florida,12121,5210,135
91284,2021-03-27,Taylor,Florida,12123,2694,45
91285,2021-03-27,Union,Florida,12125,1771,70
91287,2021-03-27,Volusia,Florida,12127,37623,711
91288,2021-03-27,Wakulla,Florida,12129,3241,55
91289,2021-03-27,Walton,Florida,12131,7293,83
91290,2021-03-27,Washington,Florida,12133,2666,49
91286,2021-03-27,Unknown,Florida,,3540,0
