,date,county,state,fips,cases,deaths
91501,2021-03-27,Adams,Illinois,17001,8075,144
91502,2021-03-27,Alexander,Illinois,17003,456,10
91503,2021-03-27,Bond,Illinois,17005,1933,30
91504,2021-03-27,Boone,Illinois,17007,6073,83
91505,2021-03-27,Brown,Illinois,17009,680,12
91506,2021-03-27,Bureau,Illinois,17011,3407,91
91507,2021-03-27,Calhoun,Illinois,17013,505,5
91508,2021-03-27,Carroll,Illinois,17015,1627,36
91509,2021-03-27,Cass,Illinois,17017,1923,33
91510,2021-03-27,Champaign,Illinois,17019,18897,143
91511,2021-03-27,Christian,Illinois,17021,3397,89
91512,2021-03-27,Clark,Illinois,17023,1718,40
91513,2021-03-27,Clay,Illinois,17025,1454,47
91514,2021-03-27,Clinton,Illinois,17027,5661,98
91515,2021-03-27,Coles,Illinois,17029,5403,95
91516,2021-03-27,Cook,Illinois,17031,493968,10183
91517,2021-03-27,Crawford,Illinois,17033,2051,40
91518,2021-03-27,Cumberland,Illinois,17035,1262,31
91520,2021-03-27,DeKalb,Illinois,17037,8749,122
91519,2021-03-27,De Witt,Illinois,17039,1315,30
91521,2021-03-27,Douglas,Illinois,17041,2513,41
91522,2021-03-27,DuPage,Illinois,17043,81165,1313
91523,2021-03-27,Edgar,Illinois,17045,1631,59
91524,2021-03-27,Edwards,Illinois,17047,540,13
91525,2021-03-27,Effingham,Illinois,17049,4555,80
91526,2021-03-27,Fayette,Illinois,17051,3085,57
91527,2021-03-27,Ford,Illinois,17053,1636,54
91528,2021-03-27,Franklin,Illinois,17055,4249,80
91529,2021-03-27,Fulton,Illinois,17057,3225,58
91530,2021-03-27,Gallatin,Illinois,17059,450,5
91531,2021-03-27,Greene,Illinois,17061,1402,45
91532,2021-03-27,Grundy,Illinois,17063,5394,73
91533,2021-03-27,Hamilton,Illinois,17065,800,18
91534,2021-03-27,Hancock,Illinois,17067,1697,40
91535,2021-03-27,Hardin,Illinois,17069,359,12
91536,2021-03-27,Henderson,Illinois,17071,515,23
91537,2021-03-27,Henry,Illinois,17073,4479,89
91538,2021-03-27,Iroquois,Illinois,17075,2836,65
91539,2021-03-27,Jackson,Illinois,17077,4723,73
91540,2021-03-27,Jasper,Illinois,17079,1129,19
91541,2021-03-27,Jefferson,Illinois,17081,4059,119
91542,2021-03-27,Jersey,Illinois,17083,2551,67
91543,2021-03-27,Jo Daviess,Illinois,17085,1664,25
91544,2021-03-27,Johnson,Illinois,17087,1369,20
91545,2021-03-27,Kane,Illinois,17089,52522,794
91546,2021-03-27,Kankakee,Illinois,17091,12939,200
91547,2021-03-27,Kendall,Illinois,17093,12009,97
91548,2021-03-27,Knox,Illinois,17095,5100,166
91550,2021-03-27,Lake,Illinois,17097,61869,1020
91549,2021-03-27,LaSalle,Illinois,17099,11210,281
91551,2021-03-27,Lawrence,Illinois,17101,2366,33
91552,2021-03-27,Lee,Illinois,17103,3669,86
91553,2021-03-27,Livingston,Illinois,17105,4387,91
91554,2021-03-27,Logan,Illinois,17107,3443,67
91562,2021-03-27,McDonough,Illinois,17109,2400,54
91563,2021-03-27,McHenry,Illinois,17111,25450,297
91564,2021-03-27,McLean,Illinois,17113,15410,201
91555,2021-03-27,Macon,Illinois,17115,9824,198
91556,2021-03-27,Macoupin,Illinois,17117,4481,110
91557,2021-03-27,Madison,Illinois,17119,29072,575
91558,2021-03-27,Marion,Illinois,17121,4351,120
91559,2021-03-27,Marshall,Illinois,17123,905,19
91560,2021-03-27,Mason,Illinois,17125,1333,42
91561,2021-03-27,Massac,Illinois,17127,1307,40
91565,2021-03-27,Menard,Illinois,17129,1123,13
91566,2021-03-27,Mercer,Illinois,17131,1313,33
91567,2021-03-27,Monroe,Illinois,17133,4187,90
91568,2021-03-27,Montgomery,Illinois,17135,3591,77
91569,2021-03-27,Morgan,Illinois,17137,3756,101
91570,2021-03-27,Moultrie,Illinois,17139,1530,33
91571,2021-03-27,Ogle,Illinois,17141,5354,86
91572,2021-03-27,Peoria,Illinois,17143,18207,288
91573,2021-03-27,Perry,Illinois,17145,3107,68
91574,2021-03-27,Piatt,Illinois,17147,1389,20
91575,2021-03-27,Pike,Illinois,17149,1734,53
91576,2021-03-27,Pope,Illinois,17151,298,3
91577,2021-03-27,Pulaski,Illinois,17153,673,7
91578,2021-03-27,Putnam,Illinois,17155,431,4
91579,2021-03-27,Randolph,Illinois,17157,4030,88
91580,2021-03-27,Richland,Illinois,17159,1677,48
91581,2021-03-27,Rock Island,Illinois,17161,13587,339
91587,2021-03-27,St. Clair,Illinois,17163,29270,536
91582,2021-03-27,Saline,Illinois,17165,2415,66
91583,2021-03-27,Sangamon,Illinois,17167,16840,268
91584,2021-03-27,Schuyler,Illinois,17169,686,17
91585,2021-03-27,Scott,Illinois,17171,456,1
91586,2021-03-27,Shelby,Illinois,17173,2202,39
91588,2021-03-27,Stark,Illinois,17175,553,23
91589,2021-03-27,Stephenson,Illinois,17177,4250,98
91590,2021-03-27,Tazewell,Illinois,17179,14275,278
91591,2021-03-27,Union,Illinois,17181,2226,43
91593,2021-03-27,Vermilion,Illinois,17183,8844,138
91594,2021-03-27,Wabash,Illinois,17185,1330,15
91595,2021-03-27,Warren,Illinois,17187,1677,47
91596,2021-03-27,Washington,Illinois,17189,1608,31
91597,2021-03-27,Wayne,Illinois,17191,1704,50
91598,2021-03-27,White,Illinois,17193,1645,35
91599,2021-03-27,Whiteside,Illinois,17195,6322,197
91600,2021-03-27,Will,Illinois,17197,68028,1014
91601,2021-03-27,Williamson,Illinois,17199,7023,137
91602,2021-03-27,Winnebago,Illinois,17201,29068,482
91603,2021-03-27,Woodford,Illinois,17203,3976,74
91592,2021-03-27,Unknown,Illinois,,0,257
