,date,county,state,fips,cases,yest,diff
91604,2021-03-27,Adams,Indiana,18001,3382,3379,3
91605,2021-03-27,Allen,Indiana,18003,37569,37492,77
91606,2021-03-27,Bartholomew,Indiana,18005,7690,7681,9
91607,2021-03-27,Benton,Indiana,18007,930,930,0
91608,2021-03-27,Blackford,Indiana,18009,1300,1299,1
91609,2021-03-27,Boone,Indiana,18011,6354,6347,7
91610,2021-03-27,Brown,Indiana,18013,967,967,0
91611,2021-03-27,Carroll,Indiana,18015,1802,1801,1
91612,2021-03-27,Cass,Indiana,18017,5601,5601,0
91613,2021-03-27,Clark,Indiana,18019,12406,12389,17
91614,2021-03-27,Clay,Indiana,18021,2467,2465,2
91615,2021-03-27,Clinton,Indiana,18023,4052,4051,1
91616,2021-03-27,Crawford,Indiana,18025,958,955,3
91617,2021-03-27,Daviess,Indiana,18027,2875,2875,0
91619,2021-03-27,Dearborn,Indiana,18029,5591,5588,3
91620,2021-03-27,Decatur,Indiana,18031,2807,2806,1
91618,2021-03-27,DeKalb,Indiana,18033,3970,3961,9
91621,2021-03-27,Delaware,Indiana,18035,10095,10081,14
91622,2021-03-27,Dubois,Indiana,18037,6021,6019,2
91623,2021-03-27,Elkhart,Indiana,18039,26249,26220,29
91624,2021-03-27,Fayette,Indiana,18041,2884,2881,3
91625,2021-03-27,Floyd,Indiana,18043,7404,7392,12
91626,2021-03-27,Fountain,Indiana,18045,2054,2052,2
91627,2021-03-27,Franklin,Indiana,18047,1648,1645,3
91628,2021-03-27,Fulton,Indiana,18049,1856,1855,1
91629,2021-03-27,Gibson,Indiana,18051,4185,4178,7
91630,2021-03-27,Grant,Indiana,18053,7031,7023,8
91631,2021-03-27,Greene,Indiana,18055,2676,2676,0
91632,2021-03-27,Hamilton,Indiana,18057,33301,33241,60
91633,2021-03-27,Hancock,Indiana,18059,7671,7671,0
91634,2021-03-27,Harrison,Indiana,18061,4195,4188,7
91635,2021-03-27,Hendricks,Indiana,18063,16342,16330,12
91636,2021-03-27,Henry,Indiana,18065,5511,5503,8
91637,2021-03-27,Howard,Indiana,18067,9382,9363,19
91638,2021-03-27,Huntington,Indiana,18069,3670,3662,8
91639,2021-03-27,Jackson,Indiana,18071,4771,4762,9
91640,2021-03-27,Jasper,Indiana,18073,3295,3284,11
91641,2021-03-27,Jay,Indiana,18075,1838,1836,2
91642,2021-03-27,Jefferson,Indiana,18077,3007,3008,-1
91643,2021-03-27,Jennings,Indiana,18079,2221,2219,2
91644,2021-03-27,Johnson,Indiana,18081,17020,16990,30
91645,2021-03-27,Knox,Indiana,18083,3599,3596,3
91646,2021-03-27,Kosciusko,Indiana,18085,8809,8799,10
91647,2021-03-27,LaGrange,Indiana,18087,2467,2465,2
91649,2021-03-27,Lake,Indiana,18089,49827,49747,80
91648,2021-03-27,LaPorte,Indiana,18091,10168,10133,35
91650,2021-03-27,Lawrence,Indiana,18093,4254,4252,2
91651,2021-03-27,Madison,Indiana,18095,12044,12035,9
91652,2021-03-27,Marion,Indiana,18097,93377,93229,148
91653,2021-03-27,Marshall,Indiana,18099,5585,5582,3
91654,2021-03-27,Martin,Indiana,18101,817,816,1
91655,2021-03-27,Miami,Indiana,18103,3670,3666,4
91656,2021-03-27,Monroe,Indiana,18105,10823,10798,25
91657,2021-03-27,Montgomery,Indiana,18107,4066,4054,12
91658,2021-03-27,Morgan,Indiana,18109,6268,6260,8
91659,2021-03-27,Newton,Indiana,18111,1000,997,3
91660,2021-03-27,Noble,Indiana,18113,5236,5232,4
91661,2021-03-27,Ohio,Indiana,18115,545,545,0
91662,2021-03-27,Orange,Indiana,18117,1739,1738,1
91663,2021-03-27,Owen,Indiana,18119,1881,1881,0
91664,2021-03-27,Parke,Indiana,18121,1434,1430,4
91665,2021-03-27,Perry,Indiana,18123,1781,1780,1
91666,2021-03-27,Pike,Indiana,18125,1290,1290,0
91667,2021-03-27,Porter,Indiana,18127,16535,16513,22
91668,2021-03-27,Posey,Indiana,18129,2655,2653,2
91669,2021-03-27,Pulaski,Indiana,18131,1103,1103,0
91670,2021-03-27,Putnam,Indiana,18133,3472,3464,8
91671,2021-03-27,Randolph,Indiana,18135,2343,2339,4
91672,2021-03-27,Ripley,Indiana,18137,3306,3306,0
