,date,county,state,fips,cases,deaths
91902,2021-03-27,Adair,Kentucky,21001,1769,53
91903,2021-03-27,Allen,Kentucky,21003,1905,32
91904,2021-03-27,Anderson,Kentucky,21005,1681,17
91905,2021-03-27,Ballard,Kentucky,21007,374,8
91906,2021-03-27,Barren,Kentucky,21009,4239,84
91907,2021-03-27,Bath,Kentucky,21011,818,20
91908,2021-03-27,Bell,Kentucky,21013,2922,49
91909,2021-03-27,Boone,Kentucky,21015,13628,108
91910,2021-03-27,Bourbon,Kentucky,21017,1614,13
91911,2021-03-27,Boyd,Kentucky,21019,4755,67
91912,2021-03-27,Boyle,Kentucky,21021,3265,64
91913,2021-03-27,Bracken,Kentucky,21023,538,6
91914,2021-03-27,Breathitt,Kentucky,21025,971,8
91915,2021-03-27,Breckinridge,Kentucky,21027,1141,12
91916,2021-03-27,Bullitt,Kentucky,21029,6764,69
91917,2021-03-27,Butler,Kentucky,21031,1412,24
91918,2021-03-27,Caldwell,Kentucky,21033,1287,28
91919,2021-03-27,Calloway,Kentucky,21035,3438,47
91920,2021-03-27,Campbell,Kentucky,21037,8475,71
91921,2021-03-27,Carlisle,Kentucky,21039,452,8
91922,2021-03-27,Carroll,Kentucky,21041,954,16
91923,2021-03-27,Carter,Kentucky,21043,2132,31
91924,2021-03-27,Casey,Kentucky,21045,1320,34
91925,2021-03-27,Christian,Kentucky,21047,6539,97
91926,2021-03-27,Clark,Kentucky,21049,2616,28
91927,2021-03-27,Clay,Kentucky,21051,2568,36
91928,2021-03-27,Clinton,Kentucky,21053,1438,29
91929,2021-03-27,Crittenden,Kentucky,21055,588,18
91930,2021-03-27,Cumberland,Kentucky,21057,673,9
91931,2021-03-27,Daviess,Kentucky,21059,10114,175
91932,2021-03-27,Edmonson,Kentucky,21061,929,21
91933,2021-03-27,Elliott,Kentucky,21063,943,2
91934,2021-03-27,Estill,Kentucky,21065,1028,11
91935,2021-03-27,Fayette,Kentucky,21067,33990,281
91936,2021-03-27,Fleming,Kentucky,21069,1114,20
91937,2021-03-27,Floyd,Kentucky,21071,3162,60
91938,2021-03-27,Franklin,Kentucky,21073,3852,44
91939,2021-03-27,Fulton,Kentucky,21075,489,14
91940,2021-03-27,Gallatin,Kentucky,21077,676,25
91941,2021-03-27,Garrard,Kentucky,21079,1453,29
91942,2021-03-27,Grant,Kentucky,21081,2318,16
91943,2021-03-27,Graves,Kentucky,21083,4038,90
91944,2021-03-27,Grayson,Kentucky,21085,2043,50
91945,2021-03-27,Green,Kentucky,21087,1168,15
91946,2021-03-27,Greenup,Kentucky,21089,3422,49
91947,2021-03-27,Hancock,Kentucky,21091,835,16
91948,2021-03-27,Hardin,Kentucky,21093,9236,137
91949,2021-03-27,Harlan,Kentucky,21095,2508,77
91950,2021-03-27,Harrison,Kentucky,21097,1598,21
91951,2021-03-27,Hart,Kentucky,21099,1902,45
91952,2021-03-27,Henderson,Kentucky,21101,4474,71
91953,2021-03-27,Henry,Kentucky,21103,1288,10
91954,2021-03-27,Hickman,Kentucky,21105,344,10
91955,2021-03-27,Hopkins,Kentucky,21107,4193,133
91956,2021-03-27,Jackson,Kentucky,21109,1271,30
91957,2021-03-27,Jefferson,Kentucky,21111,77455,1082
91958,2021-03-27,Jessamine,Kentucky,21113,4353,60
91959,2021-03-27,Johnson,Kentucky,21115,1851,29
91960,2021-03-27,Kenton,Kentucky,21117,16150,163
91961,2021-03-27,Knott,Kentucky,21119,1107,22
91962,2021-03-27,Knox,Kentucky,21121,3214,30
91963,2021-03-27,Larue,Kentucky,21123,1273,24
91964,2021-03-27,Laurel,Kentucky,21125,6239,53
91965,2021-03-27,Lawrence,Kentucky,21127,1327,20
91966,2021-03-27,Lee,Kentucky,21129,1241,22
91967,2021-03-27,Leslie,Kentucky,21131,858,6
91968,2021-03-27,Letcher,Kentucky,21133,1763,39
91969,2021-03-27,Lewis,Kentucky,21135,1127,31
91970,2021-03-27,Lincoln,Kentucky,21137,2180,45
91971,2021-03-27,Livingston,Kentucky,21139,783,20
91972,2021-03-27,Logan,Kentucky,21141,2636,59
91973,2021-03-27,Lyon,Kentucky,21143,1571,19
91980,2021-03-27,McCracken,Kentucky,21145,6126,114
91981,2021-03-27,McCreary,Kentucky,21147,1881,30
91982,2021-03-27,McLean,Kentucky,21149,854,27
91974,2021-03-27,Madison,Kentucky,21151,8966,107
91975,2021-03-27,Magoffin,Kentucky,21153,888,14
91976,2021-03-27,Marion,Kentucky,21155,2207,35
91977,2021-03-27,Marshall,Kentucky,21157,2638,53
91978,2021-03-27,Martin,Kentucky,21159,978,20
91979,2021-03-27,Mason,Kentucky,21161,1504,33
91983,2021-03-27,Meade,Kentucky,21163,1931,22
91984,2021-03-27,Menifee,Kentucky,21165,415,15
91985,2021-03-27,Mercer,Kentucky,21167,2450,45
91986,2021-03-27,Metcalfe,Kentucky,21169,990,24
91987,2021-03-27,Monroe,Kentucky,21171,1272,40
91988,2021-03-27,Montgomery,Kentucky,21173,2423,30
91989,2021-03-27,Morgan,Kentucky,21175,2101,3
91990,2021-03-27,Muhlenberg,Kentucky,21177,2845,57
91991,2021-03-27,Nelson,Kentucky,21179,4731,50
91992,2021-03-27,Nicholas,Kentucky,21181,492,7
91993,2021-03-27,Ohio,Kentucky,21183,2431,53
91994,2021-03-27,Oldham,Kentucky,21185,7274,80
91995,2021-03-27,Owen,Kentucky,21187,642,12
91996,2021-03-27,Owsley,Kentucky,21189,474,12
91997,2021-03-27,Pendleton,Kentucky,21191,985,3
91998,2021-03-27,Perry,Kentucky,21193,2503,60
91999,2021-03-27,Pike,Kentucky,21195,5331,83
92000,2021-03-27,Powell,Kentucky,21197,1063,8
92001,2021-03-27,Pulaski,Kentucky,21199,6056,93
92002,2021-03-27,Robertson,Kentucky,21201,197,14
92003,2021-03-27,Rockcastle,Kentucky,21203,1414,18
92004,2021-03-27,Rowan,Kentucky,21205,2085,17
92005,2021-03-27,Russell,Kentucky,21207,1801,42
92006,2021-03-27,Scott,Kentucky,21209,4563,31
92007,2021-03-27,Shelby,Kentucky,21211,4469,67
92008,2021-03-27,Simpson,Kentucky,21213,1892,33
92009,2021-03-27,Spencer,Kentucky,21215,1512,16
92010,2021-03-27,Taylor,Kentucky,21217,2940,40
92011,2021-03-27,Todd,Kentucky,21219,1029,24
92012,2021-03-27,Trigg,Kentucky,21221,1149,13
92013,2021-03-27,Trimble,Kentucky,21223,646,6
92014,2021-03-27,Union,Kentucky,21225,1294,15
92015,2021-03-27,Warren,Kentucky,21227,15083,158
92016,2021-03-27,Washington,Kentucky,21229,1393,35
92017,2021-03-27,Wayne,Kentucky,21231,2155,44
92018,2021-03-27,Webster,Kentucky,21233,1190,19
92019,2021-03-27,Whitley,Kentucky,21235,4525,46
92020,2021-03-27,Wolfe,Kentucky,21237,464,5
92021,2021-03-27,Woodford,Kentucky,21239,2063,18
